Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Burroughs,Wayne Gates,Kay Green,Rob Nicholson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Niagara Falls/Niagara Falls"," 1","Niagara-on-the-Lake",113,19,17,111,2,262,465
"Niagara Falls/Niagara Falls"," 2","Niagara-on-the-Lake",73,18,7,82,0,180,320
"Niagara Falls/Niagara Falls"," 3","Niagara-on-the-Lake",87,17,9,77,0,190,410
"Niagara Falls/Niagara Falls"," 4","Niagara-on-the-Lake",119,43,11,164,1,338,550
"Niagara Falls/Niagara Falls"," 5","Niagara-on-the-Lake",69,22,9,89,0,189,343
"Niagara Falls/Niagara Falls"," 6A","Niagara-on-the-Lake",86,32,12,86,1,217,409
"Niagara Falls/Niagara Falls"," 6B","Niagara-on-the-Lake",75,20,8,76,0,179,342
"Niagara Falls/Niagara Falls"," 7","Niagara-on-the-Lake",52,17,11,93,2,175,278
"Niagara Falls/Niagara Falls"," 8","Niagara-on-the-Lake",126,30,11,165,3,335,552
"Niagara Falls/Niagara Falls"," 9","Niagara-on-the-Lake",105,20,8,99,0,232,360
"Niagara Falls/Niagara Falls"," 10","Niagara-on-the-Lake",88,21,12,68,0,189,354
"Niagara Falls/Niagara Falls"," 11","Niagara-on-the-Lake",71,22,14,102,0,209,331
"Niagara Falls/Niagara Falls"," 12","Niagara-on-the-Lake",72,21,15,97,0,205,285
"Niagara Falls/Niagara Falls"," 13A","Niagara-on-the-Lake",91,33,8,124,2,258,390
"Niagara Falls/Niagara Falls"," 13B","Niagara-on-the-Lake",76,25,9,80,0,190,324
"Niagara Falls/Niagara Falls"," 14","Niagara-on-the-Lake",68,27,13,114,2,224,345
"Niagara Falls/Niagara Falls"," 15","Niagara-on-the-Lake",124,29,22,227,0,402,566
"Niagara Falls/Niagara Falls"," 16A","Niagara-on-the-Lake",112,20,6,200,3,341,434
"Niagara Falls/Niagara Falls"," 16B","Mobile poll/Bureau itinérant",Merged with No. 64B/Fusionné avec le nº 64B,,,,,,52
"Niagara Falls/Niagara Falls"," 17","Niagara-on-the-Lake",100,30,14,183,0,327,479
"Niagara Falls/Niagara Falls"," 18A","Niagara-on-the-Lake",111,30,12,147,1,301,536
"Niagara Falls/Niagara Falls"," 18B","Niagara-on-the-Lake",99,30,11,133,1,274,498
"Niagara Falls/Niagara Falls"," 19","Niagara-on-the-Lake",110,32,16,115,0,273,420
"Niagara Falls/Niagara Falls"," 20","Niagara-on-the-Lake",65,19,11,105,2,202,352
"Niagara Falls/Niagara Falls"," 21","Niagara-on-the-Lake",89,32,15,143,0,279,387
"Niagara Falls/Niagara Falls"," 22","Niagara-on-the-Lake",72,23,10,113,0,218,339
"Niagara Falls/Niagara Falls"," 23","Niagara-on-the-Lake",62,22,5,93,1,183,270
"Niagara Falls/Niagara Falls"," 24","Niagara-on-the-Lake",89,32,11,103,0,235,372
