Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gus Gutoski,Jason Kenney,Eric Leavitt,James Ludwar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary Southeast/Calgary-Sud-Est"," 1","Calgary",16,163,12,12,0,203,308
"Calgary Southeast/Calgary-Sud-Est"," 2","Calgary",25,161,17,18,0,221,340
"Calgary Southeast/Calgary-Sud-Est"," 3","Calgary",12,198,23,27,3,263,451
"Calgary Southeast/Calgary-Sud-Est"," 4","Calgary",11,125,20,17,2,175,292
"Calgary Southeast/Calgary-Sud-Est"," 5","Calgary",20,167,27,38,1,253,369
"Calgary Southeast/Calgary-Sud-Est"," 6","Calgary",20,154,13,14,0,201,316
"Calgary Southeast/Calgary-Sud-Est"," 7","Calgary",21,136,29,31,1,218,353
"Calgary Southeast/Calgary-Sud-Est"," 8","Calgary",26,107,22,28,1,184,455
"Calgary Southeast/Calgary-Sud-Est"," 9","Calgary",3,100,4,21,0,128,260
"Calgary Southeast/Calgary-Sud-Est"," 10","Calgary",10,113,19,40,0,182,401
"Calgary Southeast/Calgary-Sud-Est"," 11","Calgary",13,67,10,8,1,99,236
"Calgary Southeast/Calgary-Sud-Est"," 12","Calgary",13,101,23,18,2,157,278
"Calgary Southeast/Calgary-Sud-Est"," 13","Calgary",10,137,27,20,1,195,318
"Calgary Southeast/Calgary-Sud-Est"," 14","Calgary",14,152,19,22,0,207,310
"Calgary Southeast/Calgary-Sud-Est"," 15","Calgary",18,59,17,20,0,114,243
"Calgary Southeast/Calgary-Sud-Est"," 16","Calgary",19,91,22,14,0,146,342
"Calgary Southeast/Calgary-Sud-Est"," 17","Calgary",10,169,14,14,0,207,356
"Calgary Southeast/Calgary-Sud-Est"," 18","Calgary",18,134,19,17,0,188,356
"Calgary Southeast/Calgary-Sud-Est"," 19","Calgary",20,174,17,27,2,240,506
"Calgary Southeast/Calgary-Sud-Est"," 20","Calgary",20,111,12,25,2,170,300
"Calgary Southeast/Calgary-Sud-Est"," 21","Calgary",18,130,21,19,0,188,352
"Calgary Southeast/Calgary-Sud-Est"," 22","Calgary",20,182,22,32,1,257,409
"Calgary Southeast/Calgary-Sud-Est"," 23","Calgary",Merged with No. 24/Fusionné avec le nº 24,,,,,,153
"Calgary Southeast/Calgary-Sud-Est"," 24","Calgary",9,97,23,27,1,157,179
"Calgary Southeast/Calgary-Sud-Est"," 25","Calgary",17,104,23,31,2,177,447
"Calgary Southeast/Calgary-Sud-Est"," 26","Calgary",14,129,12,34,0,189,513
"Calgary Southeast/Calgary-Sud-Est"," 27","Calgary",14,73,29,39,0,155,411
"Calgary Southeast/Calgary-Sud-Est"," 28","Calgary",14,175,16,23,0,228,378
"Calgary Southeast/Calgary-Sud-Est"," 29","Calgary",12,145,15,13,1,186,334
"Calgary Southeast/Calgary-Sud-Est"," 30","Calgary",23,203,35,28,0,289,444
"Calgary Southeast/Calgary-Sud-Est"," 31","Calgary",8,141,12,12,0,173,266
"Calgary Southeast/Calgary-Sud-Est"," 32","Calgary",26,241,37,39,0,343,561
"Calgary Southeast/Calgary-Sud-Est"," 33","Calgary",24,176,21,24,0,245,316
"Calgary Southeast/Calgary-Sud-Est"," 34","Calgary",31,179,19,26,0,255,383
"Calgary Southeast/Calgary-Sud-Est"," 35","Calgary",16,141,14,16,0,187,301
"Calgary Southeast/Calgary-Sud-Est"," 36","Calgary",16,113,30,14,0,173,311
"Calgary Southeast/Calgary-Sud-Est"," 37","Calgary",18,98,13,21,1,151,323
"Calgary Southeast/Calgary-Sud-Est"," 38","Calgary",14,123,15,21,1,174,356
"Calgary Southeast/Calgary-Sud-Est"," 39","Calgary",15,147,12,16,1,191,292
"Calgary Southeast/Calgary-Sud-Est"," 40","Calgary",16,162,15,21,0,214,316
"Calgary Southeast/Calgary-Sud-Est"," 41","Calgary",21,126,9,18,0,174,291
"Calgary Southeast/Calgary-Sud-Est"," 42","Calgary",13,192,7,16,0,228,375
"Calgary Southeast/Calgary-Sud-Est"," 43","Calgary",13,155,15,22,0,205,320
"Calgary Southeast/Calgary-Sud-Est"," 44","Calgary",24,153,11,16,1,205,318
"Calgary Southeast/Calgary-Sud-Est"," 45","Calgary",31,199,13,23,0,266,445
"Calgary Southeast/Calgary-Sud-Est"," 46","Calgary",16,98,11,16,0,141,311
"Calgary Southeast/Calgary-Sud-Est"," 47","Calgary",11,174,10,30,0,225,336
"Calgary Southeast/Calgary-Sud-Est"," 48","Calgary",10,139,12,20,0,181,327
"Calgary Southeast/Calgary-Sud-Est"," 49","Calgary",18,139,13,27,1,198,349
"Calgary Southeast/Calgary-Sud-Est"," 50","Calgary",15,186,14,12,1,228,327
"Calgary Southeast/Calgary-Sud-Est"," 51","Calgary",Void/Supprimé,,,,,,
"Calgary Southeast/Calgary-Sud-Est"," 52A","Calgary",12,204,11,24,1,252,476
"Calgary Southeast/Calgary-Sud-Est"," 52B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,146
"Calgary Southeast/Calgary-Sud-Est"," 53","Calgary",26,170,25,24,0,245,395
"Calgary Southeast/Calgary-Sud-Est"," 54","Calgary",17,149,17,26,0,209,334
"Calgary Southeast/Calgary-Sud-Est"," 55","Calgary",16,153,21,24,1,215,330
"Calgary Southeast/Calgary-Sud-Est"," 56","Calgary",30,153,31,15,1,230,335
"Calgary Southeast/Calgary-Sud-Est"," 57","Calgary",17,174,26,26,2,245,396
"Calgary Southeast/Calgary-Sud-Est"," 58","Calgary",22,206,19,19,2,268,471
"Calgary Southeast/Calgary-Sud-Est"," 59","Calgary",31,161,20,27,0,239,345
"Calgary Southeast/Calgary-Sud-Est"," 60","Calgary",19,157,27,17,0,220,296
"Calgary Southeast/Calgary-Sud-Est"," 61","Calgary",19,152,7,16,0,194,395
"Calgary Southeast/Calgary-Sud-Est"," 62","Calgary",14,172,16,30,0,232,337
"Calgary Southeast/Calgary-Sud-Est"," 63","Calgary",25,169,19,23,0,236,345
"Calgary Southeast/Calgary-Sud-Est"," 64","Calgary",17,203,30,42,0,292,473
"Calgary Southeast/Calgary-Sud-Est"," 65","Calgary",14,156,16,24,1,211,340
"Calgary Southeast/Calgary-Sud-Est"," 66","Calgary",8,170,19,28,0,225,371
"Calgary Southeast/Calgary-Sud-Est"," 67","Calgary",15,206,5,27,0,253,417
"Calgary Southeast/Calgary-Sud-Est"," 68","Calgary",15,196,13,34,1,259,378
"Calgary Southeast/Calgary-Sud-Est"," 69","Calgary",13,193,29,18,0,253,393
"Calgary Southeast/Calgary-Sud-Est"," 70","Calgary",31,188,23,18,0,260,386
"Calgary Southeast/Calgary-Sud-Est"," 71","Calgary",35,177,19,30,1,262,407
"Calgary Southeast/Calgary-Sud-Est"," 72","Calgary",14,164,16,24,0,218,344
"Calgary Southeast/Calgary-Sud-Est"," 73","Calgary",22,194,33,15,1,265,375
"Calgary Southeast/Calgary-Sud-Est"," 74","Calgary",23,223,29,36,2,313,487
"Calgary Southeast/Calgary-Sud-Est"," 75","Calgary",13,150,12,13,1,189,355
"Calgary Southeast/Calgary-Sud-Est"," 76","Calgary",11,144,15,18,1,189,312
"Calgary Southeast/Calgary-Sud-Est"," 77","Calgary",17,200,18,15,0,250,460
"Calgary Southeast/Calgary-Sud-Est"," 78","Calgary",8,180,13,29,1,231,451
"Calgary Southeast/Calgary-Sud-Est"," 79","Calgary",18,158,23,16,0,215,394
"Calgary Southeast/Calgary-Sud-Est"," 80","Calgary",22,134,36,20,0,212,420
"Calgary Southeast/Calgary-Sud-Est"," 81","Calgary",18,171,9,25,0,223,420
"Calgary Southeast/Calgary-Sud-Est"," 82","Calgary",12,226,28,31,0,297,484
"Calgary Southeast/Calgary-Sud-Est"," 83","Calgary",16,133,24,22,1,196,318
"Calgary Southeast/Calgary-Sud-Est"," 84","Calgary",27,163,21,20,0,231,397
"Calgary Southeast/Calgary-Sud-Est"," 85","Calgary",28,112,20,23,0,183,370
"Calgary Southeast/Calgary-Sud-Est"," 86","Calgary",21,220,17,22,0,280,428
"Calgary Southeast/Calgary-Sud-Est"," 87","Calgary",18,178,24,19,2,241,425
"Calgary Southeast/Calgary-Sud-Est"," 88","Calgary",13,109,13,19,2,156,375
"Calgary Southeast/Calgary-Sud-Est"," 89","Calgary",21,104,23,24,0,172,298
"Calgary Southeast/Calgary-Sud-Est"," 90","Calgary",5,118,22,37,0,182,339
"Calgary Southeast/Calgary-Sud-Est"," 91","Calgary",11,73,10,9,0,103,299
"Calgary Southeast/Calgary-Sud-Est"," 92","Calgary",25,142,27,25,1,220,410
"Calgary Southeast/Calgary-Sud-Est"," 93","Calgary",21,204,33,26,0,284,485
"Calgary Southeast/Calgary-Sud-Est"," 94","Calgary",24,193,19,21,1,258,446
"Calgary Southeast/Calgary-Sud-Est"," 95","Calgary",27,171,18,31,0,247,470
"Calgary Southeast/Calgary-Sud-Est"," 96","Calgary",12,138,27,31,0,208,393
"Calgary Southeast/Calgary-Sud-Est"," 97","Calgary",18,183,24,28,0,253,431
"Calgary Southeast/Calgary-Sud-Est"," 98","Calgary",11,97,8,33,0,149,239
"Calgary Southeast/Calgary-Sud-Est"," 99","Calgary",10,158,18,20,0,206,299
"Calgary Southeast/Calgary-Sud-Est"," 100","Calgary",6,174,11,21,0,212,359
