Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Blaikie,Tanja Hutter,Tanya Parks,Robert Scott,Linda West,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Elmwood--Transcona/Elmwood--Transcona"," 1","Winnipeg",104,12,23,1,66,2,208,308
"Elmwood--Transcona/Elmwood--Transcona"," 2","Winnipeg",96,18,34,3,68,1,220,344
"Elmwood--Transcona/Elmwood--Transcona"," 3","Winnipeg",98,11,26,2,104,0,241,353
"Elmwood--Transcona/Elmwood--Transcona"," 4","Winnipeg",99,4,23,0,81,1,208,278
"Elmwood--Transcona/Elmwood--Transcona"," 5","Winnipeg",133,2,49,0,104,1,289,381
"Elmwood--Transcona/Elmwood--Transcona"," 6","Winnipeg",51,7,20,1,33,0,112,329
"Elmwood--Transcona/Elmwood--Transcona"," 7","Winnipeg",60,6,16,2,73,0,157,274
"Elmwood--Transcona/Elmwood--Transcona"," 8","Winnipeg",71,5,15,2,52,0,145,265
"Elmwood--Transcona/Elmwood--Transcona"," 9","Winnipeg",96,11,15,0,52,0,174,298
"Elmwood--Transcona/Elmwood--Transcona"," 10","Winnipeg",82,5,19,0,93,0,199,327
"Elmwood--Transcona/Elmwood--Transcona"," 11","Winnipeg",97,7,20,2,57,0,183,309
"Elmwood--Transcona/Elmwood--Transcona"," 12","Winnipeg",106,9,23,2,66,0,206,359
"Elmwood--Transcona/Elmwood--Transcona"," 13","Winnipeg",90,5,23,0,68,0,186,292
"Elmwood--Transcona/Elmwood--Transcona"," 14","Winnipeg",71,6,10,2,58,2,149,282
"Elmwood--Transcona/Elmwood--Transcona"," 15","Winnipeg",72,5,17,0,61,2,157,256
"Elmwood--Transcona/Elmwood--Transcona"," 16","Winnipeg",45,5,13,1,68,1,133,227
"Elmwood--Transcona/Elmwood--Transcona"," 17","Winnipeg",59,5,15,1,46,0,126,236
"Elmwood--Transcona/Elmwood--Transcona"," 18","Winnipeg",104,3,28,5,76,0,216,417
"Elmwood--Transcona/Elmwood--Transcona"," 19","Winnipeg",52,3,30,1,76,1,163,286
"Elmwood--Transcona/Elmwood--Transcona"," 20","Winnipeg",130,13,49,4,114,3,313,486
"Elmwood--Transcona/Elmwood--Transcona"," 21","Winnipeg",112,33,31,1,70,2,249,333
"Elmwood--Transcona/Elmwood--Transcona"," 22","Winnipeg",89,12,26,0,77,2,206,295
"Elmwood--Transcona/Elmwood--Transcona"," 23","Winnipeg",93,7,17,3,37,0,157,297
"Elmwood--Transcona/Elmwood--Transcona"," 24","Winnipeg",84,10,15,1,28,0,138,254
"Elmwood--Transcona/Elmwood--Transcona"," 25","Winnipeg",109,8,16,4,53,0,190,356
"Elmwood--Transcona/Elmwood--Transcona"," 26","Winnipeg",101,4,30,0,47,0,182,346
"Elmwood--Transcona/Elmwood--Transcona"," 27","Winnipeg",71,8,15,1,38,0,133,261
"Elmwood--Transcona/Elmwood--Transcona"," 28","Winnipeg",65,9,25,2,53,0,154,266
"Elmwood--Transcona/Elmwood--Transcona"," 29","Winnipeg",77,5,18,1,57,0,158,298
"Elmwood--Transcona/Elmwood--Transcona"," 30","Winnipeg",108,11,26,2,60,1,208,339
"Elmwood--Transcona/Elmwood--Transcona"," 31","Winnipeg",73,8,29,0,58,1,169,261
"Elmwood--Transcona/Elmwood--Transcona"," 32","Winnipeg",89,7,11,1,50,0,158,337
"Elmwood--Transcona/Elmwood--Transcona"," 33","Winnipeg",82,5,28,3,53,0,171,336
"Elmwood--Transcona/Elmwood--Transcona"," 34","Winnipeg",80,4,21,1,46,0,152,376
"Elmwood--Transcona/Elmwood--Transcona"," 35","Winnipeg",89,9,23,3,35,0,159,401
"Elmwood--Transcona/Elmwood--Transcona"," 36","Winnipeg",94,2,15,1,56,1,169,369
"Elmwood--Transcona/Elmwood--Transcona"," 37","Winnipeg",71,6,25,4,54,0,160,341
"Elmwood--Transcona/Elmwood--Transcona"," 38","Winnipeg",42,14,24,1,49,1,131,306
"Elmwood--Transcona/Elmwood--Transcona"," 39","Winnipeg",99,18,23,1,54,2,197,471
