Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Brownridge,Gary Dale,Tim Dobson,Pedro Gonsalves,Chai Kalevar,Dan McTeague,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 110B","Scarborough",0,17,48,0,0,131,0,196,315
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 111","Scarborough",4,25,41,0,0,119,0,189,317
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 112","Scarborough",8,23,37,0,1,135,0,204,334
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 113A","Scarborough",10,21,31,2,0,132,0,196,315
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 113B","Scarborough",3,33,40,1,1,119,0,197,339
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 114A","Scarborough",3,18,33,0,0,125,0,179,314
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 114B","Scarborough",6,20,31,0,0,115,1,173,304
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 115","Scarborough",4,39,40,0,1,194,0,278,447
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 116","Scarborough",7,25,64,0,1,116,2,215,339
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 116-1","Scarborough",15,38,77,0,1,194,0,325,546
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 117","Scarborough",6,20,33,0,0,79,0,138,246
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 118A","Scarborough",4,28,32,0,0,112,0,176,264
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 118B","Scarborough",5,13,29,0,0,107,1,155,268
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 119A","Scarborough",6,24,33,0,0,121,0,184,289
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 119B","Scarborough",5,22,35,0,2,115,0,179,293
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 120","Scarborough",3,27,39,0,1,175,1,246,410
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 121","Scarborough",6,24,59,0,0,142,2,233,398
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 122","Scarborough",5,28,58,1,1,198,1,292,462
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 123A","Scarborough",8,20,30,1,0,114,0,173,265
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 123B","Scarborough",3,13,25,0,0,104,1,146,246
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 124","Scarborough",6,25,44,0,0,150,0,225,374
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 125","Scarborough",2,15,54,1,0,163,0,235,380
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 126","Scarborough",4,24,36,1,1,113,0,179,331
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 127","Scarborough",0,8,38,1,0,117,0,164,263
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 128","Scarborough",23,63,112,1,1,204,1,405,632
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 129","Scarborough",5,48,107,2,0,199,0,361,535
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 130A","Scarborough",9,11,54,0,0,80,0,154,271
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 130B","Scarborough",5,28,40,2,1,101,0,177,278
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 131","Scarborough",8,27,71,1,0,176,0,283,509
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 132","Scarborough",6,16,77,0,0,170,0,269,454
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 133","Scarborough",12,29,94,0,0,151,1,287,520
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 134","Scarborough",2,31,58,1,0,75,1,168,288
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 135","Scarborough",2,11,60,1,0,107,0,181,336
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 136","Scarborough",3,17,36,1,2,61,2,122,204
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 137","Scarborough",1,26,57,3,0,121,2,210,388
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 138","Scarborough",7,28,74,0,1,158,0,268,450
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 139","Scarborough",7,19,44,0,0,90,0,160,293
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 140","Scarborough",8,25,90,2,0,120,0,245,374
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 141","Scarborough",21,45,113,1,0,110,0,290,421
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 142","Scarborough",14,43,92,0,0,115,2,266,405
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 143","Scarborough",11,35,89,0,0,142,0,277,412
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 144","Scarborough",11,26,86,0,0,157,1,281,414
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 145","Scarborough",9,26,97,0,0,151,0,283,403
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 146","Scarborough",10,56,96,3,0,103,0,268,400
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 147A","Scarborough",13,32,104,0,0,129,0,278,433
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 147B","Scarborough",0,4,18,1,2,33,0,58,165
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 148A","Scarborough",7,20,37,0,0,92,1,157,269
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 148B","Scarborough",8,16,47,1,0,106,0,178,265
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 149","Scarborough",18,33,98,0,0,118,0,267,465
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 150","Scarborough",16,22,67,0,0,108,0,213,334
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 151","Scarborough",8,29,79,0,0,116,0,232,376
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 152","Scarborough",10,51,79,0,2,139,1,282,431
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 153A","Scarborough",7,33,39,0,1,91,0,171,302
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 153B","Scarborough",6,32,41,0,1,81,1,162,321
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 154","Scarborough",7,42,60,0,0,119,0,228,377
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 155A","Scarborough",5,21,59,0,2,88,0,175,292
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 155B","Scarborough",5,16,37,0,0,85,0,143,247
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 156","Scarborough",6,30,66,1,0,106,5,214,355
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 157","Scarborough",14,30,89,1,1,104,0,239,384
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 158","Scarborough",10,22,96,0,0,127,0,255,431
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 159","Scarborough",10,21,75,0,0,115,0,221,384
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 160","Scarborough",6,28,91,0,0,146,0,271,432
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 161","Scarborough",11,33,86,1,1,127,0,259,391
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 162","Scarborough",12,55,83,3,1,159,2,315,486
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 163A","Scarborough",6,32,79,0,0,98,0,215,348
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 163B","Scarborough",7,29,44,0,0,123,0,203,357
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 164","Scarborough",6,26,71,0,0,83,0,186,313
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 165","Scarborough",14,31,92,2,1,108,0,248,400
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 166","Scarborough",6,15,74,0,0,114,0,209,321
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 167","Scarborough",6,18,91,3,0,117,3,238,367
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 168","Scarborough",1,9,46,0,0,70,1,127,219
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 169","Scarborough",8,22,95,0,0,135,0,260,415
