Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Anderson,Moe Kovatch,Tom Lukiwski,Bill Sorochan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 1","Davidson Rural",31,19,173,8,0,231,351
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 2","Davidson",39,15,136,8,1,199,329
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 3","Davidson",39,23,129,9,0,200,292
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 4","Davidson",19,21,106,3,0,149,221
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 5","Craik Rural",31,10,173,9,0,223,321
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 6","Craik",54,27,134,6,1,222,320
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 7","Chamberlain",33,5,76,0,0,114,150
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 8","Simpson",30,36,126,7,0,199,326
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 9","Imperial Rural",22,18,79,2,2,123,191
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 10","Imperial",44,18,92,3,1,158,250
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 11","Liberty",18,18,62,2,0,100,159
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 12","Holdfast",38,17,80,2,0,137,173
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 13","Dilke",53,20,88,4,2,167,247
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 14","Nokomis Rural",11,11,59,1,0,82,124
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 15","Nokomis",38,50,139,4,0,231,336
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 16","Semans",37,70,131,2,0,240,371
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 17","Govan Rural",10,13,73,5,0,101,147
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 18","Govan",15,35,91,4,0,145,203
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 19","Duval",22,21,101,4,0,148,176
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 20","Havelock",31,13,64,3,0,111,154
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 21","Strasbourg",33,35,125,4,1,198,351
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 22","Strasbourg",30,34,83,5,0,152,250
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 23","Strasbourg Rural",11,28,74,6,1,120,236
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 24","Bulyea",50,56,112,8,0,226,303
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 25","Earl Grey",71,59,140,11,0,281,432
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 26A","Silton",51,65,79,3,0,198,288
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 26B","Silton",38,39,70,6,0,153,264
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 27","Tugaske",12,6,75,16,0,109,159
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 28","Eyebrow",47,43,130,4,0,224,397
