Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard De Smet,Werner Gisler,Cory Ollikka,Peter Opryshko,Clarence Schultz,Brian Storseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Westlock--St. Paul/Westlock--St. Paul"," 58","Lancaster Park",14,3,29,24,2,143,0,215,167
"Westlock--St. Paul/Westlock--St. Paul"," 59","Lancaster Park",14,2,58,36,1,195,0,306,800
"Westlock--St. Paul/Westlock--St. Paul"," 60","Lancaster Park",Merged with No. 58/Fusionné avec le nº 58,,,,,,,,149
"Westlock--St. Paul/Westlock--St. Paul"," 61","Waybrook",9,0,9,18,1,93,0,130,261
"Westlock--St. Paul/Westlock--St. Paul"," 62","Bon Accord",16,0,13,12,1,132,0,174,271
"Westlock--St. Paul/Westlock--St. Paul"," 63","Coronado",22,3,42,27,0,203,0,297,418
"Westlock--St. Paul/Westlock--St. Paul"," 64","Sturgeon No. 90",10,2,16,16,0,119,0,163,267
"Westlock--St. Paul/Westlock--St. Paul"," 65","Redwater",12,0,26,45,0,210,0,293,468
"Westlock--St. Paul/Westlock--St. Paul"," 66","Redwater",8,1,23,31,2,95,0,160,284
"Westlock--St. Paul/Westlock--St. Paul"," 67","Redwater",9,2,33,19,2,138,0,203,346
"Westlock--St. Paul/Westlock--St. Paul"," 68","Redwater",10,0,40,30,0,145,0,225,375
"Westlock--St. Paul/Westlock--St. Paul"," 69","Amelia",14,0,10,16,3,102,0,145,209
"Westlock--St. Paul/Westlock--St. Paul"," 70","Sturgeon No. 90",10,1,19,17,1,111,0,159,233
"Westlock--St. Paul/Westlock--St. Paul"," 71","New Lunnon",8,2,18,25,0,157,0,210,296
"Westlock--St. Paul/Westlock--St. Paul"," 72","Gibbons",13,0,21,30,3,89,0,156,277
"Westlock--St. Paul/Westlock--St. Paul"," 73","Gibbons",10,1,21,20,4,133,0,189,337
"Westlock--St. Paul/Westlock--St. Paul"," 74","Gibbons",13,0,21,42,5,114,0,195,344
"Westlock--St. Paul/Westlock--St. Paul"," 75","Gibbons",17,2,34,30,4,82,0,169,305
"Westlock--St. Paul/Westlock--St. Paul"," 76A","Gibbons",24,0,39,46,2,156,1,268,587
"Westlock--St. Paul/Westlock--St. Paul"," 76B","Gibbons",19,1,19,34,0,136,0,209,534
"Westlock--St. Paul/Westlock--St. Paul"," 77","Bon Accord",Merged with No. 78/Fusionné avec le nº 78,,,,,,,,123
"Westlock--St. Paul/Westlock--St. Paul"," 78","Bon Accord",21,1,18,30,6,176,0,252,307
"Westlock--St. Paul/Westlock--St. Paul"," 79","Bon Accord",32,1,39,76,3,247,1,399,793
"Westlock--St. Paul/Westlock--St. Paul"," 80","Bon Accord",28,0,28,25,1,169,0,251,342
"Westlock--St. Paul/Westlock--St. Paul"," 81","Duagh",7,0,11,11,2,96,2,129,176
"Westlock--St. Paul/Westlock--St. Paul"," 82","Lamoureux",12,0,29,21,3,150,0,215,391
"Westlock--St. Paul/Westlock--St. Paul"," 83","Abee",3,2,36,31,1,219,0,292,293
"Westlock--St. Paul/Westlock--St. Paul"," 84","Ellscott",Merged with No. 85/Fusionné avec le nº 85,,,,,,,,80
"Westlock--St. Paul/Westlock--St. Paul"," 85","Newbrook",12,1,31,17,2,175,1,239,301
"Westlock--St. Paul/Westlock--St. Paul"," 86","Hollow Lake",4,0,36,20,3,93,0,156,242
"Westlock--St. Paul/Westlock--St. Paul"," 87","Weasel Creek",6,0,17,10,0,64,0,97,172
"Westlock--St. Paul/Westlock--St. Paul"," 88","Thorhild",3,1,15,7,1,82,0,109,202
"Westlock--St. Paul/Westlock--St. Paul"," 89","Thorhild",13,5,24,27,3,152,1,225,459
"Westlock--St. Paul/Westlock--St. Paul"," 90","Thorhild",Merged with No. 83/Fusionné avec le nº 83,,,,,,,,175
"Westlock--St. Paul/Westlock--St. Paul"," 91","Waugh",21,0,11,23,2,102,0,159,234
"Westlock--St. Paul/Westlock--St. Paul"," 92","Egremont",14,2,31,21,1,132,0,201,446
"Westlock--St. Paul/Westlock--St. Paul"," 93","Radway",21,4,23,21,5,150,1,225,314
"Westlock--St. Paul/Westlock--St. Paul"," 94","Waskatenau",13,0,35,25,0,91,0,164,295
"Westlock--St. Paul/Westlock--St. Paul"," 95","Warspite",15,1,26,24,2,97,0,165,276
"Westlock--St. Paul/Westlock--St. Paul"," 96","Beaver River Metis Settlement",2,0,67,13,1,27,0,110,276
