Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Garnet Colly,Denis Martel,Bernard Patry,Don Rae,Shameem Siddiqui,Leo Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 1","L'Île-Bizard",1,29,69,71,12,4,1,187,317
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 2","L'Île-Bizard",1,55,55,45,16,10,2,184,349
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 3","L'Île-Bizard",0,56,94,74,18,8,1,251,415
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4","L'Île-Bizard",0,104,157,115,18,21,4,419,675
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 5","L'Île-Bizard",0,73,93,104,25,19,6,320,481
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 6","L'Île-Bizard",1,52,72,74,14,22,1,236,383
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 7","L'Île-Bizard",0,72,67,47,21,18,5,230,400
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8","L'Île-Bizard",1,117,118,88,44,27,3,398,588
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 9","L'Île-Bizard",0,72,58,44,13,10,1,198,412
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 10","L'Île-Bizard",0,95,68,57,23,18,0,261,425
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 11","L'Île-Bizard",0,93,81,50,26,32,4,286,451
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12","L'Île-Bizard",0,53,71,53,6,12,1,196,317
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 13","L'Île-Bizard",0,83,76,54,18,17,16,264,416
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 14","L'Île-Bizard",1,55,139,87,14,16,4,316,486
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 15","L'Île-Bizard",1,84,87,44,16,14,3,249,389
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 16","L'Île-Bizard",1,69,96,61,7,17,2,253,438
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 17A","L'Île-Bizard",0,126,66,39,10,20,6,267,527
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 17B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,9
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 18","L'Île-Bizard",0,86,64,37,17,19,3,226,401
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 19","L'Île-Bizard",1,71,64,69,14,13,4,236,350
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 20","L'Île-Bizard",0,115,38,42,9,12,3,219,407
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 21","L'Île-Bizard",0,78,40,37,8,14,1,178,324
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 22","L'Île-Bizard",0,84,50,48,12,8,0,202,338
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 23","L'Île-Bizard",1,26,73,52,7,14,2,175,333
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 24","L'Île-Bizard",1,63,74,68,10,17,2,235,443
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 25","L'Île-Bizard",1,72,45,34,7,13,0,172,394
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 26","Pierrefonds",2,38,120,54,25,19,0,258,491
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 27","Pierrefonds",0,31,151,48,13,17,4,264,542
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 28","Pierrefonds",0,32,110,38,16,13,2,211,443
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 29","Pierrefonds",2,40,115,49,17,13,3,239,447
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 30","Pierrefonds",0,26,93,51,20,10,2,202,468
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 31","Pierrefonds",2,17,76,38,6,9,0,148,348
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 32","Pierrefonds",1,20,103,28,15,6,1,174,379
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 33","Pierrefonds",0,15,125,59,20,13,2,234,449
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 34","Pierrefonds",0,28,127,50,21,14,1,241,426
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 35","Pierrefonds",0,24,89,55,24,19,1,212,384
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 36","Pierrefonds",0,24,104,44,15,12,4,203,378
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 37","Pierrefonds",0,23,103,46,15,22,0,209,386
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 38","Pierrefonds",1,27,112,60,28,10,2,240,403
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 39","Pierrefonds",0,56,100,44,25,14,2,241,387
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 40","Pierrefonds",0,54,116,45,12,9,2,238,384
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 41","Pierrefonds",1,27,102,54,28,11,0,223,402
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 42","Pierrefonds",2,27,112,46,25,11,2,225,473
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 43","Pierrefonds",0,44,129,63,38,23,2,299,499
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 44","Pierrefonds",0,40,159,43,18,10,2,272,547
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 45","Pierrefonds",0,34,162,72,27,19,2,316,643
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 46","Pierrefonds",1,21,131,43,17,12,2,227,417
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 47","Pierrefonds",0,6,78,30,27,6,2,149,435
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 48","Pierrefonds",0,5,59,19,4,3,0,90,233
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 49","Pierrefonds",0,34,102,34,18,12,2,202,549
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 50","Pierrefonds",1,31,80,37,11,10,3,173,353
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 51","Roxboro",0,42,102,56,21,16,4,241,455
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 52","Pierrefonds",0,25,65,45,5,6,0,146,384
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 53","Roxboro",1,75,98,47,21,20,6,268,500
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 54","Roxboro",0,56,109,48,18,18,1,250,443
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 55","Pierrefonds",1,54,65,56,21,11,0,208,363
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 56","Pierrefonds",0,82,66,53,20,18,2,241,436
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 57","Pierrefonds",0,41,77,35,14,11,0,178,320
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 58","Pierrefonds",1,32,86,32,22,14,2,189,347
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 59","Pierrefonds",1,89,158,48,30,27,2,355,554
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 60","Pierrefonds",0,66,130,55,33,14,6,304,513
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 61","Pierrefonds",1,28,137,47,16,4,4,237,528
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 62","Pierrefonds",1,40,109,42,27,12,0,231,395
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 63","Pierrefonds",0,47,49,16,7,11,2,132,356
"Pierrefonds--Dollard/Pierrefonds--Dollard"," 64","Pierrefonds",0,19,72,16,13,3,0,123,361
