Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Crawford,Matt G. Greenwood,Betty Zane Hinton,Ken Sommerfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 1A","Valemount ",73,21,98,45,1,238,429
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 1B","Valemount ",64,9,107,48,2,230,397
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 1C","Valemount ",61,19,90,32,0,202,412
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 2","Blue River",37,5,50,22,1,115,188
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3A","Clearwater ",79,16,127,62,0,284,596
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3B","Clearwater ",91,19,113,64,0,287,562
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3C","Clearwater ",108,31,108,68,0,315,613
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3D","Clearwater ",92,12,93,59,0,256,504
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 4","Birch Island",28,2,52,25,0,107,183
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 5","Vavenby",61,11,110,46,1,229,349
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 6","Avola",13,1,13,4,0,31,37
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 7A","Lac la Hache ",75,14,127,81,1,298,492
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 7B","Lac la Hache ",62,9,126,64,0,261,421
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8A","108 Mile Ranch",62,11,120,59,1,253,421
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8B","108 Mile Ranch",80,11,139,70,0,300,450
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8C","108 Mile Ranch",52,13,115,38,0,218,372
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8D","108 Mile Ranch",54,11,125,73,1,264,405
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9A","100 Mile House ",56,8,99,53,0,216,428
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9B","100 Mile House ",85,16,104,53,2,260,527
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9C","100 Mile House ",86,13,130,73,0,302,600
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9D","100 Mile House ",58,5,98,51,1,213,432
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9E","100 Mile House ",63,11,128,51,0,253,512
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9F","100 Mile House ",58,4,94,50,0,206,383
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9G","100 Mile House ",65,11,86,49,0,211,393
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9H","100 Mile House ",64,9,154,48,1,276,488
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 10","Forest Grove",113,21,121,68,1,324,569
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 11","Canim Lake",100,16,85,48,0,249,414
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 12A","Horse Lake",48,7,73,17,0,145,276
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 12B","Horse Lake",38,9,56,33,0,136,289
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 13A","Lone Butte",64,11,123,49,4,251,340
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 13B","Lone Butte",51,15,114,48,1,229,321
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 14","Deka Lake",65,4,98,49,0,216,396
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 15","Interlakes",59,13,128,73,1,274,459
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 16A","Clinton ",67,14,131,47,1,260,445
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 16B","Clinton ",50,11,121,52,0,234,412
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 17","70 Mile House",77,9,201,72,2,361,591
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 18","Loon Lake",19,2,74,18,0,113,157
