Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tom Cochrane,Jim Flaherty,Marty Gobin,Ajay Krishnan,Judi Longfield,Maret Sadem-Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Whitby--Oshawa/Whitby--Oshawa"," 1","Oshawa",0,164,0,10,99,47,0,320,564
"Whitby--Oshawa/Whitby--Oshawa"," 2","Oshawa",0,89,1,6,53,20,4,173,164
"Whitby--Oshawa/Whitby--Oshawa"," 3","Oshawa",0,140,1,14,75,20,0,250,456
"Whitby--Oshawa/Whitby--Oshawa"," 4","Oshawa",Merged with No. 2/Fusionné avec le nº 2,,,,,,,,137
"Whitby--Oshawa/Whitby--Oshawa"," 5","Oshawa",0,140,3,15,145,108,0,411,350
"Whitby--Oshawa/Whitby--Oshawa"," 6","Oshawa",Merged with No. 5/Fusionné avec le nº 5,,,,,,,,297
"Whitby--Oshawa/Whitby--Oshawa"," 7","Oshawa",0,171,1,13,115,50,0,350,573
"Whitby--Oshawa/Whitby--Oshawa"," 8","Oshawa",4,109,1,12,85,44,0,255,429
"Whitby--Oshawa/Whitby--Oshawa"," 9","Oshawa",1,102,0,12,76,63,1,255,473
"Whitby--Oshawa/Whitby--Oshawa"," 10","Oshawa",0,119,0,11,80,35,0,245,433
"Whitby--Oshawa/Whitby--Oshawa"," 11","Oshawa",5,146,0,13,75,48,1,288,448
"Whitby--Oshawa/Whitby--Oshawa"," 12","Oshawa",1,85,0,8,68,46,2,210,389
"Whitby--Oshawa/Whitby--Oshawa"," 13","Oshawa",1,93,2,15,85,56,1,253,430
"Whitby--Oshawa/Whitby--Oshawa"," 14","Oshawa",0,85,1,4,81,26,1,198,308
"Whitby--Oshawa/Whitby--Oshawa"," 15","Oshawa",0,86,1,11,60,69,0,227,397
"Whitby--Oshawa/Whitby--Oshawa"," 16","Oshawa",0,63,0,12,56,44,0,175,307
"Whitby--Oshawa/Whitby--Oshawa"," 17","Oshawa",0,104,0,5,85,51,0,245,437
"Whitby--Oshawa/Whitby--Oshawa"," 18","Oshawa",0,79,1,2,92,18,1,193,316
"Whitby--Oshawa/Whitby--Oshawa"," 19","Oshawa",2,77,1,4,63,30,1,178,288
"Whitby--Oshawa/Whitby--Oshawa"," 20","Oshawa",2,85,4,7,63,31,0,192,334
"Whitby--Oshawa/Whitby--Oshawa"," 21","Oshawa",1,77,1,6,90,33,1,209,350
"Whitby--Oshawa/Whitby--Oshawa"," 22","Oshawa",3,107,1,3,94,37,2,247,431
"Whitby--Oshawa/Whitby--Oshawa"," 23","Oshawa",1,113,1,14,116,35,0,280,406
"Whitby--Oshawa/Whitby--Oshawa"," 24","Oshawa",1,115,3,8,110,48,2,287,423
"Whitby--Oshawa/Whitby--Oshawa"," 25","Oshawa",1,124,0,10,84,31,0,250,385
"Whitby--Oshawa/Whitby--Oshawa"," 26","Oshawa",2,90,1,13,73,49,0,228,397
"Whitby--Oshawa/Whitby--Oshawa"," 27","Oshawa",1,89,1,6,95,43,0,235,392
"Whitby--Oshawa/Whitby--Oshawa"," 28","Oshawa",0,70,2,5,71,73,0,221,411
"Whitby--Oshawa/Whitby--Oshawa"," 29","Oshawa",1,105,0,5,59,40,2,212,388
"Whitby--Oshawa/Whitby--Oshawa"," 30","Oshawa",2,90,0,6,66,37,0,201,359
"Whitby--Oshawa/Whitby--Oshawa"," 31","Oshawa",0,78,0,7,97,50,0,232,427
"Whitby--Oshawa/Whitby--Oshawa"," 32","Oshawa",3,94,4,7,73,78,0,259,398
"Whitby--Oshawa/Whitby--Oshawa"," 33","Oshawa",1,74,2,7,58,45,0,187,320
"Whitby--Oshawa/Whitby--Oshawa"," 34","Oshawa",2,93,2,5,90,53,2,247,363
"Whitby--Oshawa/Whitby--Oshawa"," 35","Oshawa",1,93,2,13,83,63,1,256,423
"Whitby--Oshawa/Whitby--Oshawa"," 36","Oshawa",1,73,2,11,76,42,1,206,305
"Whitby--Oshawa/Whitby--Oshawa"," 37","Oshawa",1,58,2,11,100,36,1,209,312
"Whitby--Oshawa/Whitby--Oshawa"," 38","Oshawa",0,114,1,8,86,75,1,285,427
"Whitby--Oshawa/Whitby--Oshawa"," 39","Oshawa",2,105,4,14,170,49,0,344,500
"Whitby--Oshawa/Whitby--Oshawa"," 40","Oshawa",1,92,2,11,66,44,1,217,353
"Whitby--Oshawa/Whitby--Oshawa"," 41","Oshawa",0,101,1,15,82,43,0,242,377
"Whitby--Oshawa/Whitby--Oshawa"," 42A","Oshawa",1,51,1,5,91,31,2,182,303
"Whitby--Oshawa/Whitby--Oshawa"," 42B","Oshawa",1,66,1,3,79,28,2,180,335
"Whitby--Oshawa/Whitby--Oshawa"," 43","Oshawa",0,79,0,8,59,64,0,210,372
"Whitby--Oshawa/Whitby--Oshawa"," 44","Oshawa",4,104,3,12,85,62,0,270,473
"Whitby--Oshawa/Whitby--Oshawa"," 45","Oshawa",4,58,2,12,55,59,0,190,423
"Whitby--Oshawa/Whitby--Oshawa"," 46","Oshawa",0,62,1,6,37,48,2,156,386
"Whitby--Oshawa/Whitby--Oshawa"," 47","Oshawa",5,29,0,12,32,56,0,134,405
"Whitby--Oshawa/Whitby--Oshawa"," 48","Oshawa",1,64,3,7,60,56,1,192,352
"Whitby--Oshawa/Whitby--Oshawa"," 49","Oshawa",5,55,5,9,55,48,1,178,342
"Whitby--Oshawa/Whitby--Oshawa"," 50","Whitby",1,180,0,20,135,38,1,375,582
"Whitby--Oshawa/Whitby--Oshawa"," 51","Whitby",1,123,0,3,75,18,2,222,401
"Whitby--Oshawa/Whitby--Oshawa"," 52A","Whitby",1,184,1,13,116,36,1,352,544
"Whitby--Oshawa/Whitby--Oshawa"," 52B","Whitby",3,161,5,11,140,49,1,370,585
"Whitby--Oshawa/Whitby--Oshawa"," 53","Whitby",0,147,0,22,117,42,3,331,592
"Whitby--Oshawa/Whitby--Oshawa"," 54A","Whitby",2,182,2,17,146,44,2,395,597
"Whitby--Oshawa/Whitby--Oshawa"," 54B","Whitby",0,190,0,14,100,35,2,341,539
"Whitby--Oshawa/Whitby--Oshawa"," 54C","Whitby",0,191,1,20,145,42,1,400,578
"Whitby--Oshawa/Whitby--Oshawa"," 54D","Whitby",0,182,5,20,152,40,3,402,601
"Whitby--Oshawa/Whitby--Oshawa"," 55","Whitby",0,164,0,11,137,23,2,337,540
"Whitby--Oshawa/Whitby--Oshawa"," 56","Whitby",1,128,2,13,96,21,0,261,400
"Whitby--Oshawa/Whitby--Oshawa"," 57","Whitby",0,183,2,14,143,33,0,375,552
"Whitby--Oshawa/Whitby--Oshawa"," 58","Whitby",0,100,0,11,72,21,0,204,311
"Whitby--Oshawa/Whitby--Oshawa"," 59","Whitby",2,131,0,13,89,34,0,269,423
"Whitby--Oshawa/Whitby--Oshawa"," 60","Whitby",1,86,0,14,62,30,1,194,322
"Whitby--Oshawa/Whitby--Oshawa"," 61","Whitby",2,163,0,10,110,35,1,321,493
"Whitby--Oshawa/Whitby--Oshawa"," 62","Whitby",0,179,0,8,126,44,2,359,584
"Whitby--Oshawa/Whitby--Oshawa"," 63","Whitby",0,90,0,3,74,27,1,195,372
"Whitby--Oshawa/Whitby--Oshawa"," 64A","Whitby",1,80,0,11,96,42,4,234,479
"Whitby--Oshawa/Whitby--Oshawa"," 64B","Whitby",1,89,0,6,90,23,1,210,401
"Whitby--Oshawa/Whitby--Oshawa"," 64C","Whitby",2,95,0,7,90,20,1,215,469
"Whitby--Oshawa/Whitby--Oshawa"," 65","Whitby",0,151,1,16,124,50,0,342,560
"Whitby--Oshawa/Whitby--Oshawa"," 66","Whitby",1,72,1,12,82,24,0,192,327
"Whitby--Oshawa/Whitby--Oshawa"," 67A","Whitby",1,102,2,17,118,34,0,274,541
"Whitby--Oshawa/Whitby--Oshawa"," 67B","Whitby",1,99,0,11,126,30,0,267,490
"Whitby--Oshawa/Whitby--Oshawa"," 68A","Whitby",2,126,1,5,138,28,0,300,509
"Whitby--Oshawa/Whitby--Oshawa"," 68B","Whitby",0,123,2,10,113,37,2,287,459
"Whitby--Oshawa/Whitby--Oshawa"," 69A","Whitby",1,156,1,11,158,20,6,353,542
"Whitby--Oshawa/Whitby--Oshawa"," 69B","Whitby",0,136,3,13,140,36,1,329,530
"Whitby--Oshawa/Whitby--Oshawa"," 69C","Whitby",1,115,4,10,162,40,2,334,554
"Whitby--Oshawa/Whitby--Oshawa"," 70","Whitby",0,118,3,5,80,27,0,233,368
"Whitby--Oshawa/Whitby--Oshawa"," 71","Whitby",0,121,0,10,102,32,0,265,432
"Whitby--Oshawa/Whitby--Oshawa"," 72","Whitby",0,81,0,11,79,47,0,218,400
"Whitby--Oshawa/Whitby--Oshawa"," 73A","Whitby",Merged with No. 74A/Fusionné avec le nº 74A,,,,,,,,97
"Whitby--Oshawa/Whitby--Oshawa"," 73B","Whitby",Merged with No. 74B/Fusionné avec le nº 74B,,,,,,,,116
"Whitby--Oshawa/Whitby--Oshawa"," 74A","Whitby",1,100,1,17,74,40,1,234,256
"Whitby--Oshawa/Whitby--Oshawa"," 74B","Whitby",0,103,0,7,84,39,1,234,255
"Whitby--Oshawa/Whitby--Oshawa"," 75","Whitby",3,126,0,15,106,34,0,284,446
"Whitby--Oshawa/Whitby--Oshawa"," 76","Whitby",1,132,0,8,117,24,0,282,443
"Whitby--Oshawa/Whitby--Oshawa"," 77","Whitby",0,167,0,11,155,26,2,361,552
"Whitby--Oshawa/Whitby--Oshawa"," 78","Whitby",1,116,1,12,110,24,0,264,462
"Whitby--Oshawa/Whitby--Oshawa"," 79","Whitby",0,143,0,6,173,28,2,352,559
"Whitby--Oshawa/Whitby--Oshawa"," 80","Whitby",0,95,4,5,115,22,1,242,411
