Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Jérôme Beaulieu,Howard M. Bruce,Guy Côté,Jean-Marie Fiset,Gilles Landry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 45","Saint-Raymond",164,6,44,52,6,25,2,299,470
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 46","Saint-Raymond",75,2,33,17,2,0,2,131,195
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 47","Saint-Raymond",105,4,45,46,0,2,4,206,327
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 48","Saint-Raymond",203,4,94,74,3,9,2,389,604
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 49","Saint-Raymond",152,5,44,62,4,22,1,290,551
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 50","Saint-Léonard-de-Portneuf",115,5,49,68,5,9,2,253,379
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 51","Saint-Léonard-de-Portneuf",133,6,57,82,6,8,5,297,451
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 52","Rivière-à-Pierre",70,1,28,33,0,16,0,148,238
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 53","Sainte-Christine",105,8,31,42,5,4,0,195,311
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 54","Shannon",102,14,101,56,16,29,0,318,651
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 55","Shannon",20,0,36,15,4,5,1,81,293
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 56","Shannon",18,3,38,18,11,7,1,96,345
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 57","Shannon",56,6,70,48,9,14,1,204,507
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 58","Shannon",102,10,92,43,14,30,3,294,533
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 59","Shannon",101,5,80,32,12,14,3,247,403
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 60A","Fossambault-sur-le-Lac",97,9,37,47,8,18,0,216,320
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 60B","Fossambault-sur-le-Lac",96,5,37,57,4,24,2,225,363
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 61","Fossambault-sur-le-Lac",121,2,56,68,5,6,2,260,446
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 62","Lac-Saint-Joseph",33,3,34,27,1,2,1,101,203
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 63","Sainte-Catherine-de-la-Jacques-Cartier",62,10,58,39,9,5,1,184,281
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 64","Sainte-Catherine-de-la-Jacques-Cartier",181,9,57,59,18,20,2,346,619
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 65","Sainte-Catherine-de-la-Jacques-Cartier",101,8,61,62,5,7,3,247,439
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 66","Sainte-Catherine-de-la-Jacques-Cartier",137,12,78,83,17,24,1,352,556
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 67","Sainte-Catherine-de-la-Jacques-Cartier",134,11,78,56,14,14,2,309,535
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 68","Sainte-Catherine-de-la-Jacques-Cartier",98,7,40,37,7,4,1,194,363
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 69","Sainte-Catherine-de-la-Jacques-Cartier",159,9,50,65,14,2,2,301,508
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 70","Sainte-Catherine-de-la-Jacques-Cartier",124,12,62,72,8,14,4,296,492
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 71","Saint-Augustin-de-Desmaures",117,6,61,47,8,5,0,244,423
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 72","Saint-Augustin-de-Desmaures",115,4,54,70,11,4,3,261,421
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 73","Saint-Augustin-de-Desmaures",70,3,53,45,14,6,2,193,336
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 74","Saint-Augustin-de-Desmaures",112,11,93,104,22,14,1,357,577
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 75","Saint-Augustin-de-Desmaures",87,9,70,100,27,17,3,313,409
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 76","Saint-Augustin-de-Desmaures",87,11,73,103,24,6,1,305,429
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 77","Saint-Augustin-de-Desmaures",83,8,74,60,15,4,0,244,387
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 78","Saint-Augustin-de-Desmaures",98,9,74,69,21,9,4,284,423
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 79","Saint-Augustin-de-Desmaures",104,3,66,67,7,8,1,256,425
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 80","Saint-Augustin-de-Desmaures",80,12,68,63,14,12,0,249,365
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 81","Saint-Augustin-de-Desmaures",91,11,59,99,23,11,1,295,460
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 82","Saint-Augustin-de-Desmaures",89,12,56,77,23,6,0,263,391
