Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Sahaja Freed,Ken Graham,Robert Riopelle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Timmins--James Bay/Timmins--Baie James"," 1","Peawanuck",31,1,2,43,0,77,134
"Timmins--James Bay/Timmins--Baie James"," 2","Attawapiskat 91A",203,3,5,70,2,283,717
"Timmins--James Bay/Timmins--Baie James"," 3","Fort Albany 67",334,2,3,15,3,357,531
"Timmins--James Bay/Timmins--Baie James"," 4","Marten Falls 65",19,0,4,22,0,45,96
"Timmins--James Bay/Timmins--Baie James"," 5","Calstock",Void/Supprimé,,,,,,
"Timmins--James Bay/Timmins--Baie James"," 6","Lac-Ste-Thérèse",Void/Supprimé,,,,,,
"Timmins--James Bay/Timmins--Baie James"," 7","Fort Albany 67",56,5,7,81,0,149,246
"Timmins--James Bay/Timmins--Baie James"," 8","Moosonee",41,2,13,45,1,102,298
"Timmins--James Bay/Timmins--Baie James"," 9","Moosonee",62,4,24,61,2,153,411
"Timmins--James Bay/Timmins--Baie James"," 10","Moosonee",35,3,16,36,1,91,296
"Timmins--James Bay/Timmins--Baie James"," 11","Moose Factory 68",113,2,18,57,0,190,516
"Timmins--James Bay/Timmins--Baie James"," 12","Moose Factory 68",85,4,12,59,0,160,451
"Timmins--James Bay/Timmins--Baie James"," 13","Smooth Rock Falls",Void/Supprimé,,,,,,
"Timmins--James Bay/Timmins--Baie James"," 14","Glackmeyer",40,2,19,49,1,111,193
"Timmins--James Bay/Timmins--Baie James"," 15","Glackmeyer",83,9,42,89,1,224,410
"Timmins--James Bay/Timmins--Baie James"," 16","Cochrane",132,4,26,110,1,273,542
"Timmins--James Bay/Timmins--Baie James"," 17","Cochrane",76,2,21,93,1,193,442
"Timmins--James Bay/Timmins--Baie James"," 18","Cochrane",86,3,22,70,2,183,403
"Timmins--James Bay/Timmins--Baie James"," 19","Cochrane",82,1,28,75,0,186,344
"Timmins--James Bay/Timmins--Baie James"," 20","Cochrane",83,2,30,62,0,177,362
"Timmins--James Bay/Timmins--Baie James"," 21","Cochrane",59,5,27,55,0,146,321
"Timmins--James Bay/Timmins--Baie James"," 22","Cochrane",50,1,21,40,0,112,267
"Timmins--James Bay/Timmins--Baie James"," 23","Cochrane",92,4,23,77,0,196,450
"Timmins--James Bay/Timmins--Baie James"," 24","Frederick",64,3,25,47,1,140,294
"Timmins--James Bay/Timmins--Baie James"," 25","Berylvale",104,1,45,53,0,203,387
"Timmins--James Bay/Timmins--Baie James"," 26","Tunis",Merged with No. 36/Fusionné avec le nº 36,,,,,,61
"Timmins--James Bay/Timmins--Baie James"," 27","Norembega",45,0,14,23,0,82,198
"Timmins--James Bay/Timmins--Baie James"," 28","Shillington",61,3,26,24,1,115,177
"Timmins--James Bay/Timmins--Baie James"," 29","Val Gagné",130,2,32,58,0,222,378
"Timmins--James Bay/Timmins--Baie James"," 30","Matheson",102,6,72,41,1,222,393
"Timmins--James Bay/Timmins--Baie James"," 31","Matheson",130,5,47,33,2,217,375
"Timmins--James Bay/Timmins--Baie James"," 32","Mace",85,0,35,26,0,146,257
"Timmins--James Bay/Timmins--Baie James"," 33","Abitibi 70",25,1,2,25,0,53,58
"Timmins--James Bay/Timmins--Baie James"," 34","Holtyre",56,4,6,25,1,92,140
"Timmins--James Bay/Timmins--Baie James"," 35","Ramore",116,3,28,55,1,203,301
"Timmins--James Bay/Timmins--Baie James"," 36","Iroquois Falls",76,1,42,36,0,155,213
"Timmins--James Bay/Timmins--Baie James"," 37","Iroquois Falls",105,5,20,36,0,166,329
"Timmins--James Bay/Timmins--Baie James"," 38","Iroquois Falls",88,1,25,50,0,164,290
"Timmins--James Bay/Timmins--Baie James"," 39","Iroquois Falls",96,3,27,17,1,144,270
"Timmins--James Bay/Timmins--Baie James"," 40","Iroquois Falls",54,3,27,29,3,116,245
"Timmins--James Bay/Timmins--Baie James"," 41","Iroquois Falls",62,1,29,52,2,146,287
"Timmins--James Bay/Timmins--Baie James"," 42","Iroquois Falls",98,4,28,43,0,173,327
"Timmins--James Bay/Timmins--Baie James"," 43","Iroquois Falls",72,3,22,57,3,157,298
"Timmins--James Bay/Timmins--Baie James"," 44","Iroquois Falls",57,0,24,38,0,119,252
"Timmins--James Bay/Timmins--Baie James"," 45","Iroquois Falls",101,1,21,32,0,155,270
"Timmins--James Bay/Timmins--Baie James"," 46","Iroquois Falls",183,2,43,83,0,311,603
"Timmins--James Bay/Timmins--Baie James"," 47","Iroquois Falls",65,1,20,23,1,110,225
"Timmins--James Bay/Timmins--Baie James"," 48","Iroquois Falls",79,2,22,26,2,131,221
"Timmins--James Bay/Timmins--Baie James"," 49","Star--Kamiskotia Lake",29,0,5,31,0,65,118
"Timmins--James Bay/Timmins--Baie James"," 50","Timmins",89,4,24,96,1,214,399
"Timmins--James Bay/Timmins--Baie James"," 51","Timmins",66,4,10,93,0,173,296
"Timmins--James Bay/Timmins--Baie James"," 52","Timmins",57,0,10,50,0,117,261
"Timmins--James Bay/Timmins--Baie James"," 53","Timmins",74,0,21,95,0,190,313
"Timmins--James Bay/Timmins--Baie James"," 54","Timmins",95,1,26,106,0,228,363
"Timmins--James Bay/Timmins--Baie James"," 55","Timmins",70,4,19,50,1,144,315
"Timmins--James Bay/Timmins--Baie James"," 56","Timmins",66,0,11,78,0,155,392
"Timmins--James Bay/Timmins--Baie James"," 57","Timmins",77,3,16,88,0,184,340
"Timmins--James Bay/Timmins--Baie James"," 58","Timmins",126,2,31,174,1,334,653
"Timmins--James Bay/Timmins--Baie James"," 59","Timmins",92,3,30,141,1,267,485
"Timmins--James Bay/Timmins--Baie James"," 60","Timmins",92,3,33,149,1,278,523
"Timmins--James Bay/Timmins--Baie James"," 61","Timmins",81,4,20,122,2,229,421
"Timmins--James Bay/Timmins--Baie James"," 62","Timmins",92,3,22,49,0,166,396
"Timmins--James Bay/Timmins--Baie James"," 63","Timmins",113,3,18,90,1,225,370
"Timmins--James Bay/Timmins--Baie James"," 64","Timmins",75,0,19,111,1,206,337
"Timmins--James Bay/Timmins--Baie James"," 65","Timmins",128,3,22,139,1,293,515
"Timmins--James Bay/Timmins--Baie James"," 66","Timmins",61,1,18,69,2,151,265
"Timmins--James Bay/Timmins--Baie James"," 67","Timmins",81,6,43,129,0,259,418
"Timmins--James Bay/Timmins--Baie James"," 68","Timmins",70,4,19,90,0,183,343
"Timmins--James Bay/Timmins--Baie James"," 69","Timmins",72,2,27,97,0,198,340
"Timmins--James Bay/Timmins--Baie James"," 70","Timmins",115,2,24,98,1,240,346
"Timmins--James Bay/Timmins--Baie James"," 71","Timmins",46,2,16,69,0,133,235
"Timmins--James Bay/Timmins--Baie James"," 72","Timmins",78,3,23,143,0,247,402
"Timmins--James Bay/Timmins--Baie James"," 73","Timmins",69,5,27,114,0,215,343
"Timmins--James Bay/Timmins--Baie James"," 74","Timmins",137,6,20,116,1,280,524
"Timmins--James Bay/Timmins--Baie James"," 75","Timmins",51,0,8,18,0,77,183
"Timmins--James Bay/Timmins--Baie James"," 76","Timmins",29,0,6,18,0,53,186
"Timmins--James Bay/Timmins--Baie James"," 77","Timmins",100,3,16,61,1,181,361
"Timmins--James Bay/Timmins--Baie James"," 78","Timmins",63,1,11,57,1,133,287
"Timmins--James Bay/Timmins--Baie James"," 79","Timmins",63,0,10,46,1,120,226
"Timmins--James Bay/Timmins--Baie James"," 80","Timmins",119,4,31,114,0,268,479
"Timmins--James Bay/Timmins--Baie James"," 81","Timmins",71,3,19,85,0,178,311
"Timmins--James Bay/Timmins--Baie James"," 82","Timmins",43,0,12,36,0,91,131
"Timmins--James Bay/Timmins--Baie James"," 83","Timmins",115,0,12,85,1,213,364
"Timmins--James Bay/Timmins--Baie James"," 84","Timmins",87,1,15,87,1,191,350
"Timmins--James Bay/Timmins--Baie James"," 85","Timmins",79,0,17,58,1,155,314
"Timmins--James Bay/Timmins--Baie James"," 86","Timmins",84,0,7,40,1,132,336
"Timmins--James Bay/Timmins--Baie James"," 87","Timmins",71,5,11,78,3,168,332
"Timmins--James Bay/Timmins--Baie James"," 88","Timmins",96,0,22,85,1,204,352
"Timmins--James Bay/Timmins--Baie James"," 89","Timmins",77,5,19,79,0,180,352
"Timmins--James Bay/Timmins--Baie James"," 90","Timmins",76,3,14,76,0,169,360
"Timmins--James Bay/Timmins--Baie James"," 91","Timmins",95,4,26,60,1,186,358
"Timmins--James Bay/Timmins--Baie James"," 92","Timmins",71,4,39,61,3,178,345
"Timmins--James Bay/Timmins--Baie James"," 93","Timmins",79,3,17,43,0,142,298
"Timmins--James Bay/Timmins--Baie James"," 94","Timmins",86,3,8,68,2,167,334
"Timmins--James Bay/Timmins--Baie James"," 95","Timmins",87,6,12,68,1,174,412
"Timmins--James Bay/Timmins--Baie James"," 96","Timmins",78,2,12,37,0,129,318
"Timmins--James Bay/Timmins--Baie James"," 97","Timmins",71,6,21,82,0,180,302
"Timmins--James Bay/Timmins--Baie James"," 98","Timmins",89,6,12,80,0,187,340
"Timmins--James Bay/Timmins--Baie James"," 99","Timmins",100,2,15,66,0,183,315
"Timmins--James Bay/Timmins--Baie James"," 100","Timmins",104,4,32,91,0,231,459
"Timmins--James Bay/Timmins--Baie James"," 101","Timmins",86,2,34,67,1,190,296
"Timmins--James Bay/Timmins--Baie James"," 102","Timmins",Void/Supprimé,,,,,,
"Timmins--James Bay/Timmins--Baie James"," 103","Timmins",104,2,16,38,1,161,278
"Timmins--James Bay/Timmins--Baie James"," 104","Timmins",85,3,12,51,0,151,235
"Timmins--James Bay/Timmins--Baie James"," 105","Timmins",60,2,19,44,0,125,243
"Timmins--James Bay/Timmins--Baie James"," 106","Timmins",57,3,6,41,0,107,227
"Timmins--James Bay/Timmins--Baie James"," 107","Timmins",60,3,13,53,0,129,355
"Timmins--James Bay/Timmins--Baie James"," 108","Timmins",76,1,6,51,0,134,319
"Timmins--James Bay/Timmins--Baie James"," 109","Timmins",52,6,10,42,0,110,291
"Timmins--James Bay/Timmins--Baie James"," 110","Timmins",67,2,11,76,0,156,385
"Timmins--James Bay/Timmins--Baie James"," 111","Timmins",114,6,5,63,0,188,312
"Timmins--James Bay/Timmins--Baie James"," 112","Timmins",91,0,20,67,1,179,351
"Timmins--James Bay/Timmins--Baie James"," 113","Timmins",80,6,7,67,0,160,349
"Timmins--James Bay/Timmins--Baie James"," 114","Timmins",71,1,17,55,1,145,349
"Timmins--James Bay/Timmins--Baie James"," 115","Timmins",59,3,8,43,0,113,335
"Timmins--James Bay/Timmins--Baie James"," 116","Timmins",50,5,12,35,0,102,307
"Timmins--James Bay/Timmins--Baie James"," 117","Timmins",92,1,10,58,1,162,337
"Timmins--James Bay/Timmins--Baie James"," 118","Timmins",64,5,12,47,0,128,289
"Timmins--James Bay/Timmins--Baie James"," 119","Timmins",106,1,10,78,3,198,382
"Timmins--James Bay/Timmins--Baie James"," 120","Timmins",125,2,26,64,1,218,373
"Timmins--James Bay/Timmins--Baie James"," 121","Timmins",76,3,16,94,1,190,377
"Timmins--James Bay/Timmins--Baie James"," 122","Timmins",111,1,14,102,0,228,336
"Timmins--James Bay/Timmins--Baie James"," 123","Timmins",97,1,14,44,2,158,358
"Timmins--James Bay/Timmins--Baie James"," 124","Timmins",69,3,14,72,1,159,274
"Timmins--James Bay/Timmins--Baie James"," 125","Timmins",117,2,13,45,1,178,413
"Timmins--James Bay/Timmins--Baie James"," 126","Timmins",101,2,13,50,0,166,288
"Timmins--James Bay/Timmins--Baie James"," 127","Timmins",87,3,34,70,0,194,335
"Timmins--James Bay/Timmins--Baie James"," 128","Timmins",142,0,28,76,0,246,479
"Timmins--James Bay/Timmins--Baie James"," 129","Timmins",110,5,20,43,1,179,336
"Timmins--James Bay/Timmins--Baie James"," 130","Timmins",93,2,26,54,5,180,296
"Timmins--James Bay/Timmins--Baie James"," 131","Timmins",58,0,8,24,0,90,174
"Timmins--James Bay/Timmins--Baie James"," 132","Timmins",115,4,24,42,1,186,329
"Timmins--James Bay/Timmins--Baie James"," 133","Timmins",146,8,24,53,1,232,356
"Timmins--James Bay/Timmins--Baie James"," 134","Timmins",84,1,39,83,0,207,366
"Timmins--James Bay/Timmins--Baie James"," 135","Timmins",125,2,36,74,1,238,366
"Timmins--James Bay/Timmins--Baie James"," 136","Timmins",81,3,10,47,0,141,265
"Timmins--James Bay/Timmins--Baie James"," 137A","Timmins",150,6,45,76,0,277,464
"Timmins--James Bay/Timmins--Baie James"," 137B","Timmins",111,5,30,51,1,198,342
"Timmins--James Bay/Timmins--Baie James"," 138","Timmins",78,4,26,50,2,160,275
"Timmins--James Bay/Timmins--Baie James"," 139","Timmins",112,6,28,50,1,197,415
"Timmins--James Bay/Timmins--Baie James"," 140","Timmins",110,6,24,59,0,199,338
"Timmins--James Bay/Timmins--Baie James"," 141","Timmins",34,2,16,22,0,74,138
"Timmins--James Bay/Timmins--Baie James"," 142","Timmins",77,2,13,53,0,145,252
"Timmins--James Bay/Timmins--Baie James"," 143","Matachewan",92,4,30,18,0,144,261
"Timmins--James Bay/Timmins--Baie James"," 144","Matachewan",22,0,0,5,0,27,36
"Timmins--James Bay/Timmins--Baie James"," 145","Sesekinika",67,1,27,19,0,114,163
"Timmins--James Bay/Timmins--Baie James"," 146","Kenogami Lake",132,4,32,34,0,202,321
"Timmins--James Bay/Timmins--Baie James"," 147","Dane",111,3,19,43,2,178,284
"Timmins--James Bay/Timmins--Baie James"," 148","Dobie",116,0,25,23,0,164,292
"Timmins--James Bay/Timmins--Baie James"," 149","Larder Lake",123,3,26,56,0,208,334
"Timmins--James Bay/Timmins--Baie James"," 150","Kerns",69,2,26,27,1,125,222
"Timmins--James Bay/Timmins--Baie James"," 151","Virginiatown",133,4,41,47,2,227,360
"Timmins--James Bay/Timmins--Baie James"," 152","Larder Lake",114,2,30,33,2,181,283
"Timmins--James Bay/Timmins--Baie James"," 153","Kirkland Lake",39,0,18,16,0,73,154
"Timmins--James Bay/Timmins--Baie James"," 154","Kirkland Lake",111,2,29,42,0,184,357
"Timmins--James Bay/Timmins--Baie James"," 155","Kirkland Lake",140,8,48,65,1,262,417
"Timmins--James Bay/Timmins--Baie James"," 156","Kirkland Lake",113,5,24,33,0,175,324
"Timmins--James Bay/Timmins--Baie James"," 157","Kirkland Lake",81,0,10,27,0,118,234
"Timmins--James Bay/Timmins--Baie James"," 158","Kirkland Lake",48,2,13,25,1,89,251
"Timmins--James Bay/Timmins--Baie James"," 159","Kirkland Lake",112,3,13,30,1,159,336
"Timmins--James Bay/Timmins--Baie James"," 160","Kirkland Lake",94,3,11,29,0,137,342
"Timmins--James Bay/Timmins--Baie James"," 161","Kirkland Lake",81,1,20,18,0,120,375
"Timmins--James Bay/Timmins--Baie James"," 162","Kirkland Lake",59,0,12,19,0,90,252
"Timmins--James Bay/Timmins--Baie James"," 163","Kirkland Lake",76,0,20,21,1,118,265
"Timmins--James Bay/Timmins--Baie James"," 164","Kirkland Lake",47,0,12,28,0,87,221
"Timmins--James Bay/Timmins--Baie James"," 165","Kirkland Lake",124,1,23,33,0,181,386
"Timmins--James Bay/Timmins--Baie James"," 166","Kirkland Lake",88,2,30,26,0,146,286
"Timmins--James Bay/Timmins--Baie James"," 167","Kirkland Lake",82,3,14,22,1,122,285
"Timmins--James Bay/Timmins--Baie James"," 168","Kirkland Lake",109,3,32,49,0,193,378
"Timmins--James Bay/Timmins--Baie James"," 169","Kirkland Lake",107,2,13,33,1,156,313
"Timmins--James Bay/Timmins--Baie James"," 170","Kirkland Lake",128,3,16,53,2,202,343
"Timmins--James Bay/Timmins--Baie James"," 171","Kirkland Lake",78,1,18,31,0,128,270
"Timmins--James Bay/Timmins--Baie James"," 172","Kirkland Lake",150,5,35,31,1,222,390
"Timmins--James Bay/Timmins--Baie James"," 173","Kirkland Lake",60,1,8,36,1,106,196
"Timmins--James Bay/Timmins--Baie James"," 174","Gowganda",34,0,12,7,0,53,63
"Timmins--James Bay/Timmins--Baie James"," 175","James",137,1,88,52,1,279,378
"Timmins--James Bay/Timmins--Baie James"," 176","Zeta",70,4,34,12,2,122,159
"Timmins--James Bay/Timmins--Baie James"," 177","Chamberlain",106,3,34,22,0,165,233
"Timmins--James Bay/Timmins--Baie James"," 178","Dack",88,0,48,17,0,153,269
"Timmins--James Bay/Timmins--Baie James"," 179","Englehart",92,5,51,25,1,174,270
"Timmins--James Bay/Timmins--Baie James"," 180","Englehart",141,2,62,45,1,251,397
"Timmins--James Bay/Timmins--Baie James"," 181","Englehart",109,2,35,28,0,174,286
"Timmins--James Bay/Timmins--Baie James"," 182","Englehart",150,1,74,49,1,275,534
"Timmins--James Bay/Timmins--Baie James"," 183","Englehart",113,3,38,28,0,182,261
"Timmins--James Bay/Timmins--Baie James"," 184","Hilliard",94,0,48,35,0,177,296
"Timmins--James Bay/Timmins--Baie James"," 185","Earlton",67,3,14,47,1,132,220
"Timmins--James Bay/Timmins--Baie James"," 186","Earlton",89,1,20,71,2,183,308
"Timmins--James Bay/Timmins--Baie James"," 187","Earlton",99,1,21,78,0,199,330
"Timmins--James Bay/Timmins--Baie James"," 188","Charlton",83,5,32,31,3,154,260
"Timmins--James Bay/Timmins--Baie James"," 189","Cane",111,0,40,22,0,173,267
"Timmins--James Bay/Timmins--Baie James"," 190","Kerns",132,2,44,41,1,220,403
"Timmins--James Bay/Timmins--Baie James"," 191","Hanbury",92,5,36,44,0,177,302
"Timmins--James Bay/Timmins--Baie James"," 192","Brethour",118,6,34,55,1,214,348
"Timmins--James Bay/Timmins--Baie James"," 500","Mobile poll/Bureau itinérant",35,6,18,59,2,120,213
"Timmins--James Bay/Timmins--Baie James"," 501","Mobile poll/Bureau itinérant",29,2,16,29,5,81,158
"Timmins--James Bay/Timmins--Baie James"," 600","James Bay North",3,2,0,0,0,5,
"Timmins--James Bay/Timmins--Baie James"," 601","Smooth Rock Falls",17,3,4,10,0,34,
"Timmins--James Bay/Timmins--Baie James"," 602","Cochrane",185,16,114,188,3,506,
"Timmins--James Bay/Timmins--Baie James"," 603","Matheson",73,1,43,28,0,145,
"Timmins--James Bay/Timmins--Baie James"," 604","Iroquois Falls",277,7,89,156,0,529,
"Timmins--James Bay/Timmins--Baie James"," 605","Timmins",168,7,55,315,1,546,
"Timmins--James Bay/Timmins--Baie James"," 606","Timmins",361,19,112,482,7,981,
"Timmins--James Bay/Timmins--Baie James"," 607","Timmins",286,9,67,332,4,698,
"Timmins--James Bay/Timmins--Baie James"," 608","Timmins",169,2,90,134,0,395,
"Timmins--James Bay/Timmins--Baie James"," 609","Kirkland Lake",52,0,20,12,0,84,
"Timmins--James Bay/Timmins--Baie James"," 610","Kirkland Lake",328,2,90,143,3,566,
"Timmins--James Bay/Timmins--Baie James"," 611","Timiskaming",81,0,47,55,0,183,
"Timmins--James Bay/Timmins--Baie James",,Group 1/Groupe 1,25,4,32,33,4,98,215
"Timmins--James Bay/Timmins--Baie James",,Group 2/Groupe 2,441,14,144,565,16,1180,
