Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,Robert Peter Kratchmer,Len Legault,Brian Rozmahel,Blaine William Stephan,Duff Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vegreville--Wainwright/Vegreville--Wainwright"," 55","Willingdon",89,0,22,8,0,6,0,125,190
"Vegreville--Wainwright/Vegreville--Wainwright"," 56","Willingdon",83,1,29,14,3,17,1,148,279
"Vegreville--Wainwright/Vegreville--Wainwright"," 57","Hairy Hill",125,3,38,7,3,18,0,194,338
"Vegreville--Wainwright/Vegreville--Wainwright"," 58","Two Hills",88,0,13,9,1,9,0,120,225
"Vegreville--Wainwright/Vegreville--Wainwright"," 59","Two Hills",78,0,15,7,0,7,1,108,169
"Vegreville--Wainwright/Vegreville--Wainwright"," 60","Two Hills",116,2,29,12,3,21,0,183,416
"Vegreville--Wainwright/Vegreville--Wainwright"," 61","Two Hills",91,0,9,8,0,16,0,124,221
"Vegreville--Wainwright/Vegreville--Wainwright"," 62","Two Hills",97,1,20,7,1,1,2,129,266
"Vegreville--Wainwright/Vegreville--Wainwright"," 63","Beauvallon",195,0,23,10,1,17,1,247,390
"Vegreville--Wainwright/Vegreville--Wainwright"," 64","Myrnam",98,0,16,6,1,6,2,129,198
"Vegreville--Wainwright/Vegreville--Wainwright"," 65","Derwent",150,8,20,7,8,16,2,211,325
"Vegreville--Wainwright/Vegreville--Wainwright"," 66A","Looma",237,0,30,27,5,25,0,324,481
"Vegreville--Wainwright/Vegreville--Wainwright"," 66B","Looma",156,2,27,12,0,15,0,212,340
"Vegreville--Wainwright/Vegreville--Wainwright"," 67","Looma",Void/Supprimé,,,,,,,,
"Vegreville--Wainwright/Vegreville--Wainwright"," 68","New Sarepta",157,0,29,15,3,14,1,219,333
"Vegreville--Wainwright/Vegreville--Wainwright"," 69","New Sarepta",182,1,19,6,0,12,0,220,319
"Vegreville--Wainwright/Vegreville--Wainwright"," 70","Rolly View",Void/Supprimé,,,,,,,,
"Vegreville--Wainwright/Vegreville--Wainwright"," 71","New Sarepta",185,1,36,18,0,17,1,258,529
"Vegreville--Wainwright/Vegreville--Wainwright"," 72","Deville",77,0,19,9,0,10,0,115,186
"Vegreville--Wainwright/Vegreville--Wainwright"," 73","Spilstead",179,1,42,46,1,23,0,292,310
"Vegreville--Wainwright/Vegreville--Wainwright"," 74","Shonts",226,1,29,23,1,15,0,295,339
"Vegreville--Wainwright/Vegreville--Wainwright"," 75","Tofield",160,2,34,21,0,16,2,235,402
"Vegreville--Wainwright/Vegreville--Wainwright"," 76A","Tofield",102,1,26,18,2,15,1,165,287
"Vegreville--Wainwright/Vegreville--Wainwright"," 76B","Tofield",103,1,18,22,0,7,0,151,297
"Vegreville--Wainwright/Vegreville--Wainwright"," 77","Tofield",214,0,30,19,0,19,2,284,413
"Vegreville--Wainwright/Vegreville--Wainwright"," 78A","Shonts",155,1,43,21,1,17,0,238,352
