Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,Robert Peter Kratchmer,Len Legault,Brian Rozmahel,Blaine William Stephan,Duff Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vegreville--Wainwright/Vegreville--Wainwright"," 133","Kitscoty",Void/Supprimé,,,,,,,,
"Vegreville--Wainwright/Vegreville--Wainwright"," 134","Kitscoty",150,3,9,11,1,14,1,189,310
"Vegreville--Wainwright/Vegreville--Wainwright"," 135","Blackfoot",183,5,8,5,0,7,0,208,328
"Vegreville--Wainwright/Vegreville--Wainwright"," 136","Paradise Valley",188,5,4,19,5,10,0,231,362
"Vegreville--Wainwright/Vegreville--Wainwright"," 137","McLaughlin",112,7,6,5,0,4,0,134,220
"Vegreville--Wainwright/Vegreville--Wainwright"," 138","Blackfoot",108,0,5,4,0,7,0,124,296
"Vegreville--Wainwright/Vegreville--Wainwright"," 139","Lloydminster",115,1,9,8,0,13,1,147,316
"Vegreville--Wainwright/Vegreville--Wainwright"," 140","Lloydminster",100,2,12,7,4,13,0,138,567
"Vegreville--Wainwright/Vegreville--Wainwright"," 141","Lloydminster",63,0,8,5,0,11,0,87,194
"Vegreville--Wainwright/Vegreville--Wainwright"," 142","Lloydminster",108,1,23,10,0,23,0,165,350
"Vegreville--Wainwright/Vegreville--Wainwright"," 143","Lloydminster",138,3,14,9,1,24,0,189,424
"Vegreville--Wainwright/Vegreville--Wainwright"," 144","Lloydminster",132,2,17,15,3,11,0,180,376
"Vegreville--Wainwright/Vegreville--Wainwright"," 145","Lloydminster",144,2,11,8,3,23,0,191,504
"Vegreville--Wainwright/Vegreville--Wainwright"," 146A","Lloydminster",132,1,9,6,2,10,0,160,326
"Vegreville--Wainwright/Vegreville--Wainwright"," 146B","Lloydminster",140,1,16,6,2,13,0,178,318
"Vegreville--Wainwright/Vegreville--Wainwright"," 147","Lloydminster",158,2,11,9,0,20,0,200,463
"Vegreville--Wainwright/Vegreville--Wainwright"," 148A","Lloydminster",81,0,14,3,2,24,1,125,247
"Vegreville--Wainwright/Vegreville--Wainwright"," 148B","Mobile poll/Bureau itinérant",Merged with No. 507A/Fusionné avec le nº 507A,,,,,,,,74
"Vegreville--Wainwright/Vegreville--Wainwright"," 149","Lloydminster",176,1,12,15,2,25,1,232,487
"Vegreville--Wainwright/Vegreville--Wainwright"," 150","Lloydminster",178,2,9,15,1,14,0,219,399
"Vegreville--Wainwright/Vegreville--Wainwright"," 151","Lloydminster",163,7,27,13,1,27,0,238,435
"Vegreville--Wainwright/Vegreville--Wainwright"," 152","Lloydminster",69,0,11,2,2,20,0,104,389
"Vegreville--Wainwright/Vegreville--Wainwright"," 153","Lloydminster",94,0,14,4,1,20,0,133,320
"Vegreville--Wainwright/Vegreville--Wainwright"," 154","Lloydminster",153,1,13,12,1,24,0,204,339
"Vegreville--Wainwright/Vegreville--Wainwright"," 155","Lloydminster",156,2,13,6,1,29,0,207,409
"Vegreville--Wainwright/Vegreville--Wainwright"," 156","Lloydminster",100,0,12,6,3,11,1,133,284
"Vegreville--Wainwright/Vegreville--Wainwright"," 157","Lloydminster",139,1,7,12,6,21,0,186,397
"Vegreville--Wainwright/Vegreville--Wainwright"," 158","Lloydminster",149,0,12,6,3,16,0,186,269
"Vegreville--Wainwright/Vegreville--Wainwright"," 159","Lloydminster",233,3,15,5,9,18,1,284,479
"Vegreville--Wainwright/Vegreville--Wainwright"," 160A","Lloydminster",253,4,12,11,2,20,3,305,550
"Vegreville--Wainwright/Vegreville--Wainwright"," 160B","Lloydminster",240,1,20,13,2,24,1,301,532
"Vegreville--Wainwright/Vegreville--Wainwright"," 160-1","Lloydminster",202,1,12,9,4,24,0,252,493
"Vegreville--Wainwright/Vegreville--Wainwright"," 161A","Lloydminster",196,3,10,6,1,20,0,236,425
"Vegreville--Wainwright/Vegreville--Wainwright"," 161B","Lloydminster",146,0,7,3,1,10,0,167,335
"Vegreville--Wainwright/Vegreville--Wainwright"," 162","Daysland",170,2,23,17,1,16,0,229,328
"Vegreville--Wainwright/Vegreville--Wainwright"," 163","Daysland",207,1,20,20,2,23,0,273,469
"Vegreville--Wainwright/Vegreville--Wainwright"," 164","Heisler",182,0,6,5,1,13,1,208,392
"Vegreville--Wainwright/Vegreville--Wainwright"," 165","Strome",141,1,11,7,0,5,0,165,247
"Vegreville--Wainwright/Vegreville--Wainwright"," 166","Strome",139,2,8,17,1,2,0,169,247
"Vegreville--Wainwright/Vegreville--Wainwright"," 167","Forestburg Rural",119,1,21,15,0,9,0,165,226
"Vegreville--Wainwright/Vegreville--Wainwright"," 168","Forestburg",148,1,17,14,2,16,0,198,304
"Vegreville--Wainwright/Vegreville--Wainwright"," 169","Forestburg",146,0,15,15,4,11,2,193,373
"Vegreville--Wainwright/Vegreville--Wainwright"," 170","Killam",169,6,14,28,3,6,0,226,365
"Vegreville--Wainwright/Vegreville--Wainwright"," 171","Killam",170,1,12,19,1,13,0,216,327
"Vegreville--Wainwright/Vegreville--Wainwright"," 172","Killam",174,2,7,17,0,6,0,206,362
"Vegreville--Wainwright/Vegreville--Wainwright"," 173","Sedgewick",186,0,18,22,1,15,1,243,360
"Vegreville--Wainwright/Vegreville--Wainwright"," 174","Sedgewick",265,0,11,14,4,20,0,314,500
"Vegreville--Wainwright/Vegreville--Wainwright"," 175","Lougheed",179,5,17,21,0,8,2,232,362
"Vegreville--Wainwright/Vegreville--Wainwright"," 176","Hardisty Rural",187,4,15,15,3,7,0,231,348
"Vegreville--Wainwright/Vegreville--Wainwright"," 177","Hardisty",199,4,24,13,4,17,1,262,438
"Vegreville--Wainwright/Vegreville--Wainwright"," 178","Bellshill",128,3,4,6,0,6,0,147,237
"Vegreville--Wainwright/Vegreville--Wainwright"," 179","Galahad",120,1,15,22,1,12,0,171,244
"Vegreville--Wainwright/Vegreville--Wainwright"," 180","Alliance",147,2,11,9,2,4,0,175,326
"Vegreville--Wainwright/Vegreville--Wainwright"," 181","Jarrow",213,2,3,25,0,3,0,246,448
"Vegreville--Wainwright/Vegreville--Wainwright"," 182","Irma",240,4,20,45,0,9,0,318,469
"Vegreville--Wainwright/Vegreville--Wainwright"," 183","Wainwright No. 61",142,1,5,6,0,12,0,166,290
"Vegreville--Wainwright/Vegreville--Wainwright"," 184","Fabyan",209,8,21,14,0,24,0,276,545
"Vegreville--Wainwright/Vegreville--Wainwright"," 185","Greenshields",225,8,15,13,5,10,0,276,395
"Vegreville--Wainwright/Vegreville--Wainwright"," 186","Edgerton",245,7,32,9,3,10,0,306,496
"Vegreville--Wainwright/Vegreville--Wainwright"," 187","Dunn",92,3,2,5,0,5,0,107,216
"Vegreville--Wainwright/Vegreville--Wainwright"," 188","Chauvin",141,1,13,8,0,4,0,167,229
"Vegreville--Wainwright/Vegreville--Wainwright"," 189","Chauvin",151,2,11,1,2,4,0,171,272
"Vegreville--Wainwright/Vegreville--Wainwright"," 190","Wainwright",137,0,20,5,1,19,0,182,405
"Vegreville--Wainwright/Vegreville--Wainwright"," 191","Wainwright",114,1,12,14,0,13,0,154,272
"Vegreville--Wainwright/Vegreville--Wainwright"," 192","Wainwright",134,8,23,16,1,19,0,201,399
"Vegreville--Wainwright/Vegreville--Wainwright"," 193","Wainwright",259,1,26,11,9,34,0,340,567
"Vegreville--Wainwright/Vegreville--Wainwright"," 194","Wainwright",93,4,17,8,0,20,0,142,300
"Vegreville--Wainwright/Vegreville--Wainwright"," 195","Wainwright",148,2,16,11,2,23,0,202,456
