Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gérard Asselin,Pierre Ducasse,Jacques Gélineau,Randy Jones,Pierre Paradis,Eric Vivier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Manicouagan/Manicouagan"," 1A","Schefferville",0,5,3,91,6,0,0,105,290
"Manicouagan/Manicouagan"," 1B","Schefferville",32,11,6,43,13,0,3,108,392
"Manicouagan/Manicouagan"," 2","Matimikosh",1,0,0,42,3,0,0,46,169
"Manicouagan/Manicouagan"," 3","Kawawachikamach",Void/Supprimé,,,,,,,,
"Manicouagan/Manicouagan"," 4","Fermont",101,16,6,7,40,1,2,173,443
"Manicouagan/Manicouagan"," 5","Fermont",101,9,2,3,24,1,2,142,286
"Manicouagan/Manicouagan"," 6","Fermont",99,15,2,5,22,1,3,147,357
"Manicouagan/Manicouagan"," 7","Fermont",104,14,6,6,58,0,2,190,373
"Manicouagan/Manicouagan"," 8","Franquelin",117,11,4,9,43,0,1,185,274
"Manicouagan/Manicouagan"," 9A","Pointe-aux-Anglais",52,5,3,9,23,0,2,94,141
"Manicouagan/Manicouagan"," 9B","Pointe-aux-Anglais",99,6,5,10,28,1,3,152,314
"Manicouagan/Manicouagan"," 10","Les Islets-Caribou",14,1,0,0,6,0,0,21,53
"Manicouagan/Manicouagan"," 11","Baie-Trinité",96,11,3,11,20,1,2,144,306
"Manicouagan/Manicouagan"," 12","Baie-Trinité",26,2,0,6,5,0,0,39,103
"Manicouagan/Manicouagan"," 13","Godbout",98,6,2,10,43,1,3,163,270
"Manicouagan/Manicouagan"," 14","Baie-Comeau",113,18,4,7,57,1,1,201,385
"Manicouagan/Manicouagan"," 15","Baie-Comeau",93,24,2,11,43,0,2,175,265
"Manicouagan/Manicouagan"," 16","Baie-Comeau",89,28,2,12,48,2,3,184,276
"Manicouagan/Manicouagan"," 17","Baie-Comeau",71,21,6,7,43,1,0,149,256
"Manicouagan/Manicouagan"," 18","Baie-Comeau",158,36,5,17,76,1,2,295,561
"Manicouagan/Manicouagan"," 19","Baie-Comeau",74,41,4,14,51,0,6,190,303
"Manicouagan/Manicouagan"," 20","Baie-Comeau",38,41,5,14,49,1,2,150,269
"Manicouagan/Manicouagan"," 21","Baie-Comeau",48,33,6,24,35,4,0,150,291
"Manicouagan/Manicouagan"," 22","Baie-Comeau",63,30,9,12,33,0,2,149,257
"Manicouagan/Manicouagan"," 23","Baie-Comeau",91,42,12,14,47,2,7,215,318
"Manicouagan/Manicouagan"," 24","Baie-Comeau",89,29,2,20,34,2,2,178,334
"Manicouagan/Manicouagan"," 25","Baie-Comeau",81,19,6,16,48,2,0,172,356
"Manicouagan/Manicouagan"," 26","Baie-Comeau",52,15,4,12,28,1,2,114,255
"Manicouagan/Manicouagan"," 27","Baie-Comeau",134,47,3,13,94,1,5,297,509
"Manicouagan/Manicouagan"," 28","Baie-Comeau",75,26,3,11,36,0,0,151,278
"Manicouagan/Manicouagan"," 29","Baie-Comeau",74,24,2,13,44,1,1,159,312
"Manicouagan/Manicouagan"," 30","Baie-Comeau",61,33,8,6,47,3,0,158,278
"Manicouagan/Manicouagan"," 31","Baie-Comeau",89,26,3,17,31,1,2,169,325
"Manicouagan/Manicouagan"," 32","Baie-Comeau",66,38,3,12,62,1,0,182,342
"Manicouagan/Manicouagan"," 33","Baie-Comeau",103,38,5,12,46,0,3,207,347
"Manicouagan/Manicouagan"," 34","Baie-Comeau",81,32,1,10,59,0,3,186,321
"Manicouagan/Manicouagan"," 35","Baie-Comeau",87,25,6,8,50,2,1,179,334
"Manicouagan/Manicouagan"," 36","Baie-Comeau",109,47,10,11,73,1,3,254,369
"Manicouagan/Manicouagan"," 37","Baie-Comeau",102,20,2,11,70,3,2,210,344
"Manicouagan/Manicouagan"," 38","Baie-Comeau",110,68,6,12,62,3,2,263,403
"Manicouagan/Manicouagan"," 39","Baie-Comeau",110,18,2,4,34,0,0,168,334
"Manicouagan/Manicouagan"," 40","Baie-Comeau",147,13,1,5,29,1,1,197,418
"Manicouagan/Manicouagan"," 41","Baie-Comeau",163,28,6,5,50,2,3,257,462
"Manicouagan/Manicouagan"," 42","Baie-Comeau",117,24,2,6,40,1,4,194,339
"Manicouagan/Manicouagan"," 43","Baie-Comeau",143,37,1,3,64,1,1,250,449
"Manicouagan/Manicouagan"," 44","Baie-Comeau",133,52,1,11,49,2,2,250,461
"Manicouagan/Manicouagan"," 45","Baie-Comeau",88,28,1,8,55,1,1,182,381
"Manicouagan/Manicouagan"," 46","Baie-Comeau",121,39,4,10,81,1,3,259,586
"Manicouagan/Manicouagan"," 47","Baie-Comeau",87,8,1,7,43,1,3,150,324
"Manicouagan/Manicouagan"," 48","Baie-Comeau",107,14,2,7,45,1,3,179,352
"Manicouagan/Manicouagan"," 49","Baie-Comeau",72,18,5,4,24,1,2,126,352
"Manicouagan/Manicouagan"," 50","Baie-Comeau",89,21,3,4,15,1,2,135,296
"Manicouagan/Manicouagan"," 51","Baie-Comeau",99,24,1,9,43,1,5,182,344
"Manicouagan/Manicouagan"," 52","Baie-Comeau",93,25,2,2,40,0,1,163,310
"Manicouagan/Manicouagan"," 53","Baie-Comeau",109,17,5,6,37,2,1,177,324
"Manicouagan/Manicouagan"," 54","Baie-Comeau",112,19,1,9,32,0,1,174,314
"Manicouagan/Manicouagan"," 55","Baie-Comeau",108,14,2,4,35,0,1,164,288
"Manicouagan/Manicouagan"," 56","Baie-Comeau",73,6,3,5,19,3,1,110,312
"Manicouagan/Manicouagan"," 57","Baie-Comeau",104,21,4,6,37,1,2,175,329
"Manicouagan/Manicouagan"," 58","Baie-Comeau",66,8,0,3,13,0,1,91,219
"Manicouagan/Manicouagan"," 59","Baie-Comeau",120,21,3,6,62,0,5,217,425
"Manicouagan/Manicouagan"," 60","Baie-Comeau",82,16,2,8,25,0,3,136,290
"Manicouagan/Manicouagan"," 61","Baie-Comeau",118,27,9,8,50,2,2,216,392
"Manicouagan/Manicouagan"," 62","Baie-Comeau",71,23,1,11,32,0,0,138,275
"Manicouagan/Manicouagan"," 63","Baie-Comeau",89,26,3,5,24,0,2,149,351
"Manicouagan/Manicouagan"," 64","Baie-Comeau",111,26,7,10,39,1,1,195,349
"Manicouagan/Manicouagan"," 65","Baie-Comeau",93,27,4,10,37,0,0,171,325
"Manicouagan/Manicouagan"," 66","Pointe-Lebel",135,23,4,8,51,1,2,224,414
"Manicouagan/Manicouagan"," 67","Pointe-Lebel",61,18,3,2,27,1,2,114,180
"Manicouagan/Manicouagan"," 68","Pointe-Lebel",183,22,3,5,72,1,1,287,527
"Manicouagan/Manicouagan"," 69","Pointe-Lebel",116,11,4,3,38,0,1,173,367
"Manicouagan/Manicouagan"," 70","Pointe-aux-Outardes",132,12,2,5,61,1,2,215,378
"Manicouagan/Manicouagan"," 71","Ragueneau",121,5,0,7,32,1,1,167,370
"Manicouagan/Manicouagan"," 72","Chute-aux-Outardes",135,2,2,7,44,0,0,190,346
"Manicouagan/Manicouagan"," 73","Chute-aux-Outardes",140,6,3,6,31,0,4,190,380
"Manicouagan/Manicouagan"," 74","Chute-aux-Outardes",135,5,1,6,33,1,3,184,404
"Manicouagan/Manicouagan"," 75","Chute-aux-Outardes",119,5,1,6,30,0,0,161,355
"Manicouagan/Manicouagan"," 76","Ragueneau",179,17,2,9,51,1,0,259,453
"Manicouagan/Manicouagan"," 77","Pointe-aux-Outardes",145,25,2,5,40,0,1,218,387
"Manicouagan/Manicouagan"," 78","Pointe-aux-Outardes",118,13,7,5,38,1,1,183,345
"Manicouagan/Manicouagan"," 79","Ragueneau",132,10,1,8,23,0,1,175,401
"Manicouagan/Manicouagan"," 80","Betsiamites",10,2,1,28,12,0,2,55,490
"Manicouagan/Manicouagan"," 81","Betsiamites",7,6,0,43,14,1,0,71,668
"Manicouagan/Manicouagan"," 82","Betsiamites",4,2,2,22,3,0,0,33,429
"Manicouagan/Manicouagan"," 83","Port-Cartier",171,12,10,11,36,2,0,242,480
"Manicouagan/Manicouagan"," 84","Port-Cartier",150,45,11,13,58,1,4,282,464
"Manicouagan/Manicouagan"," 85","Port-Cartier",140,24,4,12,40,0,3,223,410
"Manicouagan/Manicouagan"," 86","Port-Cartier",73,12,5,8,14,0,4,116,236
"Manicouagan/Manicouagan"," 87","Port-Cartier",127,24,4,16,35,0,0,206,453
"Manicouagan/Manicouagan"," 88","Port-Cartier",131,30,7,10,26,1,5,210,389
"Manicouagan/Manicouagan"," 89","Port-Cartier",132,25,3,7,46,1,2,216,372
"Manicouagan/Manicouagan"," 90","Port-Cartier",109,5,3,6,18,0,1,142,319
"Manicouagan/Manicouagan"," 91","Port-Cartier",109,19,9,6,20,0,2,165,308
"Manicouagan/Manicouagan"," 92","Port-Cartier",112,31,9,12,41,1,2,208,347
"Manicouagan/Manicouagan"," 93","Port-Cartier",103,36,9,15,44,0,0,207,348
"Manicouagan/Manicouagan"," 94","Port-Cartier",88,33,8,9,49,0,4,191,318
"Manicouagan/Manicouagan"," 95","Port-Cartier",85,12,5,5,29,2,1,139,325
"Manicouagan/Manicouagan"," 96","Gallix",209,36,25,15,69,2,1,357,631
