Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,Laurier Busque,Jean Landry,Isabelle Maguire,Louis Napoléon Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond--Arthabaska/Richmond--Arthabaska"," 129","Ham-Nord",112,7,56,5,26,0,206,335
"Richmond--Arthabaska/Richmond--Arthabaska"," 130","Ham-Nord",110,16,56,12,14,3,211,390
"Richmond--Arthabaska/Richmond--Arthabaska"," 131","Saints-Martyrs-Canadiens",36,9,40,6,10,0,101,189
"Richmond--Arthabaska/Richmond--Arthabaska"," 132","Ham-Sud",41,12,21,7,7,0,88,128
"Richmond--Arthabaska/Richmond--Arthabaska"," 133","Saint-Adrien",143,17,122,6,16,2,306,429
"Richmond--Arthabaska/Richmond--Arthabaska"," 134","Wotton",89,7,57,16,14,6,189,302
"Richmond--Arthabaska/Richmond--Arthabaska"," 135","Wottonville",124,7,77,14,30,3,255,417
"Richmond--Arthabaska/Richmond--Arthabaska"," 136","Wotton",123,16,67,15,12,2,235,402
"Richmond--Arthabaska/Richmond--Arthabaska"," 137","Saint-Camille",102,22,74,9,16,1,224,318
"Richmond--Arthabaska/Richmond--Arthabaska"," 138","Saint-Georges-de-Windsor",68,6,73,8,13,1,169,261
"Richmond--Arthabaska/Richmond--Arthabaska"," 139","Saint-Georges-de-Windsor",125,15,88,14,34,6,282,453
"Richmond--Arthabaska/Richmond--Arthabaska"," 140","Saint-Claude",81,9,50,9,9,2,160,272
"Richmond--Arthabaska/Richmond--Arthabaska"," 141","Saint-Claude",213,18,100,13,17,4,365,575
"Richmond--Arthabaska/Richmond--Arthabaska"," 142","Shipton",82,8,60,9,28,3,190,323
"Richmond--Arthabaska/Richmond--Arthabaska"," 143","Shipton",54,11,46,8,24,3,146,223
"Richmond--Arthabaska/Richmond--Arthabaska"," 144","Danville",73,12,59,9,29,5,187,352
"Richmond--Arthabaska/Richmond--Arthabaska"," 145","Danville",109,17,73,8,28,9,244,361
"Richmond--Arthabaska/Richmond--Arthabaska"," 146","Danville",93,16,60,11,37,7,224,373
"Richmond--Arthabaska/Richmond--Arthabaska"," 147","Danville",78,9,58,4,33,5,187,298
"Richmond--Arthabaska/Richmond--Arthabaska"," 148","Shipton",114,18,77,11,30,3,253,402
"Richmond--Arthabaska/Richmond--Arthabaska"," 149","Trois-Lacs",195,12,95,14,22,3,341,624
"Richmond--Arthabaska/Richmond--Arthabaska"," 150","Shipton",113,10,49,5,16,2,195,295
"Richmond--Arthabaska/Richmond--Arthabaska"," 151","Asbestos",119,7,78,9,10,1,224,396
"Richmond--Arthabaska/Richmond--Arthabaska"," 152","Asbestos",119,12,78,14,22,0,245,460
"Richmond--Arthabaska/Richmond--Arthabaska"," 153","Asbestos",128,3,76,10,18,4,239,427
"Richmond--Arthabaska/Richmond--Arthabaska"," 154","Asbestos",62,15,65,7,23,2,174,314
"Richmond--Arthabaska/Richmond--Arthabaska"," 155","Asbestos",100,4,66,6,23,3,202,397
"Richmond--Arthabaska/Richmond--Arthabaska"," 156","Asbestos",76,11,74,3,19,0,183,331
"Richmond--Arthabaska/Richmond--Arthabaska"," 157","Asbestos",114,1,65,8,27,1,216,457
"Richmond--Arthabaska/Richmond--Arthabaska"," 158","Asbestos",125,4,63,11,10,2,215,343
"Richmond--Arthabaska/Richmond--Arthabaska"," 159","Asbestos",112,10,68,8,27,1,226,384
"Richmond--Arthabaska/Richmond--Arthabaska"," 160","Asbestos",106,8,68,11,14,4,211,363
"Richmond--Arthabaska/Richmond--Arthabaska"," 161","Asbestos",80,8,51,10,10,1,160,375
"Richmond--Arthabaska/Richmond--Arthabaska"," 162","Asbestos",90,1,42,9,11,1,154,328
"Richmond--Arthabaska/Richmond--Arthabaska"," 163","Asbestos",61,4,28,11,12,1,117,236
"Richmond--Arthabaska/Richmond--Arthabaska"," 164","Asbestos",46,6,42,5,5,1,105,184
"Richmond--Arthabaska/Richmond--Arthabaska"," 165","Shipton",66,9,45,10,36,7,173,309
"Richmond--Arthabaska/Richmond--Arthabaska"," 166","Shipton",95,7,62,10,16,1,191,348
"Richmond--Arthabaska/Richmond--Arthabaska"," 167","Ulverton",98,31,29,13,22,4,197,303
