Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Clune,Normand Fournier,Ronaldo Garcia,Jean-Jacques Hermans,Maka Kotto,Sonia Ziadé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Lambert/Saint-Lambert"," 1A","Longueuil",49,2,17,35,73,4,0,180,465
"Saint-Lambert/Saint-Lambert"," 1B","Longueuil",34,0,16,46,73,9,0,178,474
"Saint-Lambert/Saint-Lambert"," 2","Longueuil",46,3,23,43,86,4,7,212,466
"Saint-Lambert/Saint-Lambert"," 3A","Longueuil",28,2,9,15,57,4,0,115,275
"Saint-Lambert/Saint-Lambert"," 3B","Longueuil",21,0,10,30,67,6,0,134,258
"Saint-Lambert/Saint-Lambert"," 4","Longueuil",33,1,11,24,141,14,0,224,367
"Saint-Lambert/Saint-Lambert"," 5","Longueuil",26,1,19,16,134,9,3,208,401
"Saint-Lambert/Saint-Lambert"," 6","Longueuil",42,0,26,22,127,10,3,230,476
"Saint-Lambert/Saint-Lambert"," 7","Longueuil",35,1,9,29,95,3,4,176,332
"Saint-Lambert/Saint-Lambert"," 8","Longueuil",27,0,14,17,88,7,5,158,357
"Saint-Lambert/Saint-Lambert"," 9","Longueuil",13,0,2,18,75,3,0,111,288
"Saint-Lambert/Saint-Lambert"," 10","Longueuil",20,1,13,14,109,10,4,171,311
"Saint-Lambert/Saint-Lambert"," 11","Longueuil",25,0,8,27,38,0,1,99,231
"Saint-Lambert/Saint-Lambert"," 12A","Longueuil",34,0,8,54,65,8,1,170,469
"Saint-Lambert/Saint-Lambert"," 12B","Longueuil",42,1,10,45,55,4,0,157,475
"Saint-Lambert/Saint-Lambert"," 12C","Longueuil",37,1,11,43,63,5,1,161,499
"Saint-Lambert/Saint-Lambert"," 13","Longueuil",Void/Supprimé,,,,,,,,
"Saint-Lambert/Saint-Lambert"," 14","Longueuil",Void/Supprimé,,,,,,,,
"Saint-Lambert/Saint-Lambert"," 15","Longueuil",Void/Supprimé,,,,,,,,
"Saint-Lambert/Saint-Lambert"," 16","Longueuil",15,1,5,13,73,6,2,115,239
"Saint-Lambert/Saint-Lambert"," 17A","Longueuil",16,0,9,20,55,3,3,106,260
"Saint-Lambert/Saint-Lambert"," 17B","Longueuil",17,1,7,17,50,8,0,100,256
"Saint-Lambert/Saint-Lambert"," 18","Longueuil",28,0,21,21,125,6,1,202,387
"Saint-Lambert/Saint-Lambert"," 19","Longueuil",54,0,30,35,114,10,1,244,447
"Saint-Lambert/Saint-Lambert"," 20","Longueuil",26,3,27,43,127,7,3,236,492
"Saint-Lambert/Saint-Lambert"," 21","Longueuil",14,1,9,19,97,7,2,149,246
"Saint-Lambert/Saint-Lambert"," 22","Longueuil",27,0,17,31,103,7,0,185,370
"Saint-Lambert/Saint-Lambert"," 23","Longueuil",30,2,14,19,127,15,5,212,380
"Saint-Lambert/Saint-Lambert"," 24","Longueuil",23,1,17,12,87,5,1,146,307
"Saint-Lambert/Saint-Lambert"," 25","Longueuil",26,1,15,19,142,10,3,216,457
"Saint-Lambert/Saint-Lambert"," 26","Longueuil",26,0,15,14,102,3,1,161,343
"Saint-Lambert/Saint-Lambert"," 27","Longueuil",24,1,16,36,131,6,5,219,413
"Saint-Lambert/Saint-Lambert"," 28","Longueuil",38,2,14,27,115,11,1,208,431
"Saint-Lambert/Saint-Lambert"," 29","Longueuil",39,3,6,34,104,1,4,191,383
"Saint-Lambert/Saint-Lambert"," 30","Longueuil",21,3,10,11,88,8,0,141,300
