Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Albright,Vern M. Garnett,John Wallace,Paul Zed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint John/Saint John"," 1","Quispamsis",39,7,104,138,1,289,454
"Saint John/Saint John"," 2","Quispamsis",39,4,85,100,1,229,401
"Saint John/Saint John"," 3","Quispamsis",24,3,134,142,0,303,514
"Saint John/Saint John"," 4","Quispamsis",35,10,131,91,0,267,417
"Saint John/Saint John"," 5A","Rothesay",13,4,74,85,0,176,269
"Saint John/Saint John"," 5B","Rothesay",30,5,73,75,1,184,295
"Saint John/Saint John"," 6","Rothesay",32,8,130,102,0,272,469
"Saint John/Saint John"," 7","Rothesay",26,4,106,125,1,262,481
"Saint John/Saint John"," 8","Rothesay",25,3,54,83,1,166,346
"Saint John/Saint John"," 9","Rothesay",39,11,107,106,2,265,438
"Saint John/Saint John"," 10","Rothesay",35,4,107,86,2,234,454
"Saint John/Saint John"," 11","Rothesay",32,3,86,59,1,181,303
"Saint John/Saint John"," 12","Rothesay",20,7,67,80,1,175,276
"Saint John/Saint John"," 13","Rothesay",26,2,112,110,1,251,424
"Saint John/Saint John"," 14","Rothesay",61,10,130,127,2,330,561
"Saint John/Saint John"," 15","Rothesay",50,2,153,110,2,317,548
"Saint John/Saint John"," 16","Rothesay",53,4,93,76,0,226,351
"Saint John/Saint John"," 17","Rothesay",22,4,106,96,0,228,363
"Saint John/Saint John"," 18A","Rothesay",10,1,70,59,0,140,252
"Saint John/Saint John"," 18B","Rothesay",4,1,81,86,0,172,282
"Saint John/Saint John"," 19","Rothesay",22,0,62,50,0,134,273
"Saint John/Saint John"," 20","Rothesay",16,3,72,88,0,179,324
"Saint John/Saint John"," 21","Rothesay",16,4,119,107,1,247,468
"Saint John/Saint John"," 22","Rothesay",7,3,93,127,0,230,368
"Saint John/Saint John"," 23","Rothesay",14,3,105,120,0,242,373
"Saint John/Saint John"," 24","Rothesay",15,4,108,122,0,249,411
"Saint John/Saint John"," 25","Rothesay",32,5,114,114,1,266,414
"Saint John/Saint John"," 26","Saint John",43,5,81,68,0,197,419
"Saint John/Saint John"," 27","Saint John",35,5,91,76,0,207,344
"Saint John/Saint John"," 28","Saint John",38,1,87,75,0,201,434
"Saint John/Saint John"," 29","Saint John",38,4,120,113,1,276,530
"Saint John/Saint John"," 30","Saint John",25,3,75,55,0,158,370
"Saint John/Saint John"," 31","Saint John",54,4,111,96,2,267,464
"Saint John/Saint John"," 32","Saint John",24,4,32,41,0,101,247
