Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvie Lavallée,Gérard Leclerc,Jean-François Lévêque,Pierre A. Paquette,Jacques Trudeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Joliette/Joliette"," 1","Manawan",Merged with No. 13/Fusionné avec le nº 13,,,,,,,75
"Joliette/Joliette"," 2A","Manawan",24,35,2,44,4,2,111,459
"Joliette/Joliette"," 2B","Manawan",13,61,3,46,4,0,127,548
"Joliette/Joliette"," 3","Saint-Michel-des-Saints",25,6,5,106,8,2,152,315
"Joliette/Joliette"," 4","Saint-Michel-des-Saints",61,14,4,126,10,2,217,387
"Joliette/Joliette"," 5","Saint-Michel-des-Saints",31,26,6,62,6,4,135,287
"Joliette/Joliette"," 6","Saint-Michel-des-Saints",71,20,6,131,9,1,238,466
"Joliette/Joliette"," 7","Saint-Guillaume-Nord",Merged with No. 3/Fusionné avec le nº 3,,,,,,,30
"Joliette/Joliette"," 8","Saint-Michel-des-Saints",74,27,7,188,13,8,317,578
"Joliette/Joliette"," 9A","Saint-Zénon",54,10,2,92,11,2,171,312
"Joliette/Joliette"," 9B","Saint-Zénon",52,12,3,91,8,3,169,311
"Joliette/Joliette"," 10","Saint-Zénon",79,25,11,105,15,5,240,422
"Joliette/Joliette"," 11","Saint-Damien",83,24,2,177,13,4,303,518
"Joliette/Joliette"," 12A","Saint-Damien",50,15,9,100,10,3,187,344
"Joliette/Joliette"," 12B","Saint-Damien",37,13,4,118,15,4,191,330
"Joliette/Joliette"," 13","Saint-Damien",77,30,12,123,16,5,263,445
"Joliette/Joliette"," 14","Saint-Donat",76,35,8,169,9,5,302,657
"Joliette/Joliette"," 15","Saint-Donat",41,17,8,100,11,1,178,409
"Joliette/Joliette"," 16","Saint-Donat",82,18,7,107,2,3,219,446
"Joliette/Joliette"," 17A","Saint-Donat",39,18,6,61,6,3,133,294
"Joliette/Joliette"," 17B","Saint-Donat",49,7,4,87,11,0,158,366
"Joliette/Joliette"," 18","Saint-Donat",54,20,12,121,19,3,229,531
"Joliette/Joliette"," 19","Saint-Donat",76,18,6,113,8,1,222,497
"Joliette/Joliette"," 20A","Notre-Dame-de-la-Merci",64,17,13,114,11,2,221,409
"Joliette/Joliette"," 20B","Notre-Dame-de-la-Merci",50,26,12,118,11,4,221,366
"Joliette/Joliette"," 21","Entrelacs",51,35,5,95,10,5,201,325
"Joliette/Joliette"," 22","Entrelacs",48,23,11,124,12,8,226,376
"Joliette/Joliette"," 23","Chertsey",55,16,8,141,11,3,234,566
"Joliette/Joliette"," 24","Chertsey",45,25,5,174,5,1,255,573
"Joliette/Joliette"," 25A","Chertsey",43,7,5,106,11,6,178,362
"Joliette/Joliette"," 25B","Chertsey",41,8,8,106,8,2,173,353
"Joliette/Joliette"," 26","Chertsey",50,41,11,163,21,3,289,579
"Joliette/Joliette"," 27","Chertsey",72,30,11,182,19,5,319,604
"Joliette/Joliette"," 28","Chertsey",50,22,11,134,9,4,230,462
"Joliette/Joliette"," 29","Chertsey",21,13,3,90,3,3,133,354
"Joliette/Joliette"," 30","Sainte-Émélie-de-l'Énergie",58,25,5,124,6,6,224,386
"Joliette/Joliette"," 31","Sainte-Émélie-de-l'Énergie",58,28,13,133,14,3,249,401
"Joliette/Joliette"," 32","Sainte-Émélie-de-l'Énergie",56,26,11,194,12,3,302,503
"Joliette/Joliette"," 33","Saint-Jean-de-Matha",57,30,8,135,14,0,244,541
"Joliette/Joliette"," 34","Saint-Jean-de-Matha",68,31,8,202,13,4,326,293
"Joliette/Joliette"," 35","Saint-Jean-de-Matha",Merged with No. 34/Fusionné avec le nº 34,,,,,,,267
"Joliette/Joliette"," 36A","Saint-Jean-de-Matha",60,32,2,106,2,4,206,348
"Joliette/Joliette"," 36B","Saint-Jean-de-Matha",55,21,3,112,10,2,203,339
"Joliette/Joliette"," 37","Saint-Jean-de-Matha",45,14,3,109,10,3,184,449
"Joliette/Joliette"," 38","Saint-Jean-de-Matha",55,26,3,169,10,2,265,471
"Joliette/Joliette"," 39","Saint-Jean-de-Matha",69,17,18,209,22,5,340,587
