Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Jacuta,Ben Morrison Pettit,James Rajotte,Martin Rybiak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Leduc/Edmonton--Leduc"," 1A","Edmonton",34,24,117,41,0,216,344
"Edmonton--Leduc/Edmonton--Leduc"," 1B","Edmonton",40,14,99,42,0,195,332
"Edmonton--Leduc/Edmonton--Leduc"," 2","Edmonton",48,22,161,32,1,264,458
"Edmonton--Leduc/Edmonton--Leduc"," 3","Edmonton",51,25,171,32,1,280,384
"Edmonton--Leduc/Edmonton--Leduc"," 4","Edmonton",46,20,101,31,0,198,326
"Edmonton--Leduc/Edmonton--Leduc"," 5","Edmonton",52,25,120,62,1,260,499
"Edmonton--Leduc/Edmonton--Leduc"," 6","Edmonton",42,11,84,42,0,179,402
"Edmonton--Leduc/Edmonton--Leduc"," 7","Edmonton",51,19,119,35,0,224,438
"Edmonton--Leduc/Edmonton--Leduc"," 8","Edmonton",54,17,96,28,0,195,359
"Edmonton--Leduc/Edmonton--Leduc"," 9","Edmonton",56,24,131,34,0,245,415
"Edmonton--Leduc/Edmonton--Leduc"," 10","Edmonton",46,25,111,45,0,227,340
"Edmonton--Leduc/Edmonton--Leduc"," 11","Edmonton",35,18,171,36,0,260,390
"Edmonton--Leduc/Edmonton--Leduc"," 12","Edmonton",66,15,145,45,1,272,465
"Edmonton--Leduc/Edmonton--Leduc"," 13","Edmonton",91,25,115,43,2,276,442
"Edmonton--Leduc/Edmonton--Leduc"," 14","Edmonton",65,24,133,40,0,262,428
"Edmonton--Leduc/Edmonton--Leduc"," 15","Edmonton",51,16,133,30,0,230,402
"Edmonton--Leduc/Edmonton--Leduc"," 16","Edmonton",75,19,201,37,0,332,529
"Edmonton--Leduc/Edmonton--Leduc"," 17","Edmonton",61,14,128,39,0,242,404
"Edmonton--Leduc/Edmonton--Leduc"," 18","Edmonton",67,17,124,21,0,229,426
"Edmonton--Leduc/Edmonton--Leduc"," 19","Edmonton",37,4,143,20,0,204,366
"Edmonton--Leduc/Edmonton--Leduc"," 20","Edmonton",60,30,142,37,0,269,491
"Edmonton--Leduc/Edmonton--Leduc"," 21","Edmonton",79,16,200,14,0,309,563
"Edmonton--Leduc/Edmonton--Leduc"," 22","Edmonton",66,10,157,27,2,262,427
"Edmonton--Leduc/Edmonton--Leduc"," 23","Edmonton",101,17,154,24,1,297,469
"Edmonton--Leduc/Edmonton--Leduc"," 24","Edmonton",63,22,188,31,0,304,517
"Edmonton--Leduc/Edmonton--Leduc"," 25","Edmonton",71,18,157,26,0,272,554
"Edmonton--Leduc/Edmonton--Leduc"," 26","Edmonton",58,15,144,17,1,235,233
"Edmonton--Leduc/Edmonton--Leduc"," 27","Edmonton",Merged with No. 26/Fusionné avec le nº 26,,,,,,195
"Edmonton--Leduc/Edmonton--Leduc"," 28","Edmonton",82,17,153,41,0,293,542
"Edmonton--Leduc/Edmonton--Leduc"," 29","Edmonton",76,15,120,39,0,250,482
"Edmonton--Leduc/Edmonton--Leduc"," 30","Edmonton",65,18,127,26,0,236,380
"Edmonton--Leduc/Edmonton--Leduc"," 31","Edmonton",53,8,173,22,0,256,417
"Edmonton--Leduc/Edmonton--Leduc"," 32","Edmonton",57,5,116,27,0,205,355
"Edmonton--Leduc/Edmonton--Leduc"," 33","Edmonton",72,8,116,18,0,214,449
"Edmonton--Leduc/Edmonton--Leduc"," 34","Edmonton",62,16,130,37,0,245,455
"Edmonton--Leduc/Edmonton--Leduc"," 35","Edmonton",72,17,171,23,0,283,487
"Edmonton--Leduc/Edmonton--Leduc"," 36","Edmonton",94,23,161,24,0,302,534
"Edmonton--Leduc/Edmonton--Leduc"," 37","Edmonton",51,6,119,27,0,203,352
"Edmonton--Leduc/Edmonton--Leduc"," 38","Edmonton",34,7,105,21,0,167,355
"Edmonton--Leduc/Edmonton--Leduc"," 39","Edmonton",48,8,130,25,0,211,381
"Edmonton--Leduc/Edmonton--Leduc"," 40A","Edmonton",93,16,170,24,0,303,559
"Edmonton--Leduc/Edmonton--Leduc"," 40B","Edmonton",84,14,179,35,0,312,498
"Edmonton--Leduc/Edmonton--Leduc"," 41A","Edmonton",45,13,148,25,0,231,386
"Edmonton--Leduc/Edmonton--Leduc"," 41B","Edmonton",53,9,148,25,0,235,409
"Edmonton--Leduc/Edmonton--Leduc"," 41C","Edmonton",59,5,105,31,0,200,386
"Edmonton--Leduc/Edmonton--Leduc"," 42","Edmonton",29,26,123,77,2,257,359
"Edmonton--Leduc/Edmonton--Leduc"," 43","Edmonton",42,21,130,63,0,256,335
