Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neal Gray,Amarjit Grewal,Kate Harrington,Mike Lake,Kyle McLeod,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 45B","Edmonton",26,33,8,104,3,1,1,176,370
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 46A","Edmonton",25,23,6,91,0,1,1,147,306
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 46B","Edmonton",21,38,3,93,0,2,1,158,323
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 46C","Edmonton",30,19,7,112,0,0,1,169,304
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 47","Edmonton",36,49,21,125,4,0,0,235,430
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 48","Edmonton",Void/Supprimé,,,,,,,,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 49","Edmonton",35,50,13,177,2,1,3,281,497
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 50","Edmonton",39,60,15,160,4,2,1,281,470
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 51","Edmonton",35,46,21,150,1,1,2,256,452
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 52","Edmonton",46,31,16,142,2,0,0,237,374
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 53","Edmonton",27,41,21,146,3,0,0,238,427
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 54","Edmonton",49,40,9,131,2,0,0,231,420
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 55","Edmonton",37,47,17,117,1,0,0,219,449
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 56","Edmonton",50,56,17,153,3,0,0,279,512
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 57","Edmonton",43,49,14,102,3,1,1,213,443
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 58","Edmonton",42,58,10,147,3,1,0,261,492
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 59","Edmonton",39,53,17,136,3,0,1,249,465
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 60","Edmonton",30,95,8,91,1,1,0,226,421
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 61","Edmonton",32,31,18,111,3,1,0,196,397
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 62","Edmonton",34,47,6,139,0,0,1,227,472
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 63","Edmonton",39,71,10,104,1,1,0,226,397
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 64","Edmonton",24,62,5,115,4,0,0,210,368
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 65","Edmonton",25,66,2,93,5,0,2,193,381
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 66","Edmonton",23,58,8,90,1,0,0,180,364
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 67","Edmonton",33,76,9,123,0,1,0,242,465
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 68","Edmonton",39,47,6,91,3,1,1,188,482
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 69","Edmonton",33,62,10,97,1,0,1,204,333
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 70","Edmonton",43,55,11,94,4,1,1,209,482
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 71","Edmonton",22,51,15,147,3,2,0,240,477
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 72","Edmonton",21,50,2,95,2,1,0,171,349
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 73","Edmonton",32,98,9,115,1,0,0,255,476
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 74","Edmonton",19,110,7,115,0,1,1,253,494
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 75","Edmonton",33,103,8,130,8,2,0,284,503
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 76","Edmonton",28,51,7,99,1,0,2,188,352
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 77","Edmonton",21,45,9,110,4,1,3,193,357
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 78","Edmonton",17,39,11,66,1,0,0,134,297
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 79","Edmonton",32,38,13,96,4,0,0,183,379
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 80","Edmonton",26,33,14,85,2,2,0,162,369
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 81","Edmonton",49,32,16,102,1,0,0,200,409
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 82","Edmonton",39,32,24,121,4,0,0,220,435
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 83","Edmonton",14,113,8,92,2,1,0,230,489
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 84","Edmonton",11,52,6,104,2,1,3,179,376
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 85","Edmonton",26,36,20,112,4,0,1,199,362
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 86","Edmonton",42,41,8,147,1,0,0,239,461
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 87","Edmonton",21,33,1,92,0,0,0,147,273
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 88","Edmonton",30,26,6,94,0,0,1,157,331
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 89","Edmonton",41,63,8,122,4,1,1,240,495
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 90A","Edmonton",17,48,3,71,1,0,0,140,350
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 90B","Edmonton",16,47,4,73,1,0,0,141,329
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 91","Edmonton",11,61,2,133,1,0,1,209,459
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 92","Edmonton",27,60,1,117,2,0,0,207,380
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 93","Edmonton",28,83,2,114,3,0,1,231,489
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 94","Edmonton",33,39,8,118,2,0,3,203,351
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 95","Edmonton",39,66,10,146,1,0,1,263,456
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 96","Edmonton",44,61,15,164,3,1,0,288,440
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 97","Edmonton",15,64,22,150,2,0,1,254,428
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 98","Edmonton",19,63,13,124,0,0,0,219,380
