Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ernst Braendli,Frank Chilelli,Gurbax S. Malhi,Cesar Martello,John Sprovieri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 1","Brampton",6,2,111,23,97,3,242,426
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 2","Brampton",10,1,110,25,108,3,257,426
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 3","Brampton",3,0,88,12,110,2,215,383
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 4","Brampton",2,1,140,13,97,0,253,457
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5A","Brampton",5,3,160,15,70,3,256,560
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5B","Brampton",4,1,229,17,86,3,340,653
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5C","Brampton",7,1,167,25,61,7,268,537
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5D","Brampton",7,0,179,19,63,3,271,519
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5E","Brampton",1,1,111,22,54,3,192,448
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 6","Brampton",1,0,114,9,21,1,146,344
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7A","Brampton",4,2,264,18,45,1,334,660
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7B","Brampton",2,1,146,15,47,0,211,553
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7C","Brampton",2,1,192,17,39,2,253,583
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 8","Brampton",1,1,157,11,47,0,217,453
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 9","Brampton",3,2,110,13,44,0,172,364
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10A","Brampton",2,1,88,26,115,0,232,495
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10B","Brampton",0,1,21,7,20,3,52,108
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10C","Brampton",2,0,213,21,50,0,286,553
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10D","Brampton",5,3,288,28,106,1,431,800
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11A","Brampton",3,1,200,26,88,4,322,650
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11B","Brampton",5,0,195,27,84,2,313,627
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12A","Brampton",9,0,187,25,80,1,302,592
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12B","Brampton",10,0,211,27,112,1,361,682
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12C","Brampton",6,4,260,31,91,6,398,719
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12D","Brampton",5,1,198,23,112,0,339,625
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12E","Brampton",5,2,211,37,92,1,348,633
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12F","Brampton",5,4,210,45,93,2,359,750
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12G","Brampton",6,3,180,24,81,2,296,523
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12H","Brampton",3,0,183,14,79,3,282,562
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 13","Brampton",7,0,207,31,153,4,402,704
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 14","Brampton",6,0,129,18,113,1,267,447
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 15","Brampton",5,1,236,23,101,2,368,585
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 16","Brampton",11,0,165,19,102,2,299,474
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 17A","Brampton",5,0,178,17,46,1,247,401
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 17B","Brampton",5,1,182,20,75,0,283,461
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 18","Brampton",5,1,149,32,96,3,286,515
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 19","Brampton",9,1,203,22,132,0,367,587
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 20","Brampton",0,1,161,37,61,0,260,440
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 21","Brampton",4,2,144,27,39,0,216,417
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 22","Brampton",2,0,164,25,46,1,238,428
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 23","Brampton",8,4,163,27,94,3,299,501
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 24","Brampton",6,0,135,21,58,0,220,387
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 25","Brampton",5,0,98,38,53,0,194,360
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 26A","Brampton",2,1,216,20,77,2,318,643
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 26B","Brampton",8,2,144,34,106,4,298,567
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 26C","Brampton",9,0,192,26,97,0,324,633
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 27","Brampton",7,0,86,33,102,4,232,407
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 28","Brampton",6,3,111,30,64,6,220,478
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 29","Brampton",16,0,99,16,100,1,232,423
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 30","Brampton",11,2,64,40,66,2,185,365
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 31","Brampton",10,1,86,45,110,0,252,469
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 32","Brampton",8,0,100,32,94,0,234,429
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 33","Brampton",9,0,91,21,80,1,202,369
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 34","Brampton",11,1,106,26,97,1,242,358
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 35","Brampton",15,3,114,31,78,0,241,412
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 36","Brampton",5,0,103,23,77,0,208,382
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 37","Brampton",9,0,81,36,121,0,247,471
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 38","Brampton",14,1,96,35,109,2,257,408
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 39","Brampton",6,1,95,42,102,1,247,440
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 40","Brampton",17,0,94,40,103,2,256,445
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 41","Brampton",11,4,107,45,99,0,266,471
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 42","Brampton",9,1,85,45,82,1,223,397
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 43","Brampton",11,1,88,21,99,0,220,372
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 44","Brampton",7,3,105,55,79,3,252,430
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 45","Brampton",8,1,92,38,67,1,207,389
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 46","Brampton",8,0,75,38,73,4,198,357
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 47","Brampton",13,0,105,16,59,2,195,378
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 48","Brampton",11,0,84,45,94,0,234,437
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 49","Brampton",14,0,80,41,81,2,218,465
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 50","Brampton",8,0,68,66,54,0,196,400
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 51","Brampton",5,0,67,34,52,1,159,313
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 52","Brampton",11,2,87,40,71,1,212,413
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 53","Brampton",10,2,96,42,77,2,229,353
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 54","Brampton",10,0,97,36,87,1,231,442
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 55","Brampton",11,0,58,35,91,0,195,331
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 56","Brampton",8,1,59,33,82,0,183,334
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 57","Brampton",16,0,43,31,80,0,170,340
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 58","Brampton",15,0,64,28,106,0,213,396
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 59","Brampton",9,1,49,32,62,1,154,283
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 60","Brampton",11,0,58,33,71,1,174,323
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 61","Brampton",19,0,85,31,108,0,243,386
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 62","Brampton",9,1,73,56,77,2,218,375
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 63","Brampton",7,0,54,36,68,1,166,354
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 64","Brampton",9,0,63,37,56,4,169,409
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 65","Brampton",16,0,59,40,74,0,189,354
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 66","Brampton",9,1,27,34,54,2,127,276
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 67","Brampton",10,1,64,37,108,0,220,411
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 68","Brampton",8,0,83,18,94,3,206,350
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 69","Brampton",7,1,55,33,68,3,167,300
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 70","Brampton",12,1,95,31,101,0,240,397
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 71","Brampton",13,0,92,36,78,0,219,366
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 72","Brampton",22,0,65,56,92,0,235,387
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 73","Brampton",12,1,70,28,123,1,235,354
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 74","Brampton",17,0,90,55,76,2,240,461
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 75","Brampton",8,1,55,27,74,0,165,367
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 76","Brampton",12,1,82,33,86,1,215,346
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 77","Brampton",5,0,60,31,67,1,164,302
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 78","Brampton",13,1,63,27,52,1,157,305
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 79","Brampton",18,1,65,50,98,1,233,412
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 80","Brampton",10,0,103,49,92,1,255,457
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 81","Brampton",22,0,60,27,56,1,166,344
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 82","Brampton",10,2,106,33,78,2,231,518
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 83","Brampton",2,3,128,23,57,0,213,441
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 84","Brampton",2,0,49,13,27,0,91,231
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 85","Brampton",0,0,61,13,13,2,89,231
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 86","Brampton",2,0,75,21,42,0,140,327
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 87","Brampton",2,0,61,24,26,2,115,244
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 88","Brampton",3,0,31,6,16,0,56,130
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 89","Brampton",12,0,106,41,64,3,226,438
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 90","Brampton",3,0,72,24,50,2,151,240
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 91","Brampton",14,0,53,23,95,0,185,251
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 92","Brampton",10,1,82,28,90,0,211,419
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 93","Brampton",11,0,59,43,92,0,205,386
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 94","Brampton",12,0,82,37,89,1,221,384
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 95","Brampton",9,2,54,31,77,1,174,318
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 96","Brampton",13,1,63,36,86,1,200,362
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 97","Brampton",7,1,79,39,45,0,171,399
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 98","Brampton",5,0,73,62,102,0,242,410
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 99","Brampton",6,1,77,49,93,2,228,345
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 100","Brampton",6,1,70,40,75,0,192,379
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 101","Brampton",10,2,85,29,89,0,215,363
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 102","Brampton",12,0,70,45,65,0,192,359
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 103","Brampton",18,1,50,33,74,1,177,353
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 104","Brampton",10,0,73,49,145,3,280,440
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 105","Brampton",12,0,74,24,92,2,204,379
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 106","Brampton",12,3,68,40,104,2,229,405
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 107","Brampton",7,0,39,28,45,0,119,199
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 108","Brampton",15,0,69,30,84,0,198,409
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 109","Brampton",21,0,67,46,87,0,221,538
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 110","Brampton",11,2,41,29,54,0,137,262
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 111","Brampton",Void/Supprimé,,,,,,,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 112","Brampton",10,5,83,45,57,0,200,454
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 113","Brampton",3,0,29,12,15,0,59,189
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 114","Brampton",13,2,70,43,103,1,232,424
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 115","Brampton",10,0,49,27,118,0,204,333
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 116","Brampton",10,2,81,34,84,1,212,389
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 117","Brampton",13,0,74,52,104,0,243,431
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 118","Brampton",6,2,79,29,34,0,150,362
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 119","Brampton",4,3,86,18,40,0,151,343
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 120","Brampton",7,3,81,26,42,0,159,390
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 121","Brampton",14,1,93,43,96,1,248,408
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 122","Brampton",11,1,75,27,60,4,178,323
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 123","Brampton",19,1,69,32,104,0,225,376
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 124","Brampton",9,0,68,19,79,0,175,301
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 125","Brampton",12,2,69,33,128,0,244,379
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 126","Brampton",11,0,84,23,66,2,186,383
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 127","Brampton",16,2,100,57,100,1,276,455
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 128","Brampton",4,1,192,25,44,2,268,508
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 129","Mississauga",10,1,141,30,46,2,230,492
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 130","Mississauga",7,2,153,37,58,3,260,461
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 131","Mississauga",11,0,173,19,35,1,239,471
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 132","Mississauga",4,1,144,13,36,3,201,441
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 133","Mississauga",4,1,95,32,64,0,196,379
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 134","Mississauga",4,1,139,32,51,0,227,483
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 135","Mississauga",4,0,117,28,42,3,194,379
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 136","Mississauga",6,3,150,36,36,1,232,412
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 137","Mississauga",4,4,124,31,42,0,205,428
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 138","Mississauga",1,1,104,13,35,1,155,368
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 139","Mississauga",3,2,94,17,41,0,157,282
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 140","Mississauga",2,0,100,23,45,0,170,464
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 141","Mississauga",5,0,110,19,30,0,164,424
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 142A","Mississauga",7,2,59,39,33,1,141,402
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 142B","Mississauga",4,3,125,19,46,1,198,379
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 143","Mississauga",Void/Supprimé,,,,,,,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 144","Mississauga",4,1,135,16,51,2,209,391
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 145","Mississauga",3,2,109,27,41,1,183,417
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 146","Mississauga",4,1,108,13,39,1,166,350
