Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jillana Bishop,Werner Keller,Brian Masse,Chris Schnurr,Al Teshuba,Enver Villamizar,Habib Zaidi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Windsor West/Windsor-Ouest"," 1","Windsor",7,30,81,3,14,1,0,0,136,339
"Windsor West/Windsor-Ouest"," 2","Windsor",3,33,37,0,13,0,0,0,86,272
"Windsor West/Windsor-Ouest"," 3","Windsor",2,41,89,2,19,0,2,4,159,433
"Windsor West/Windsor-Ouest"," 4","Windsor",4,19,79,2,12,0,4,0,120,415
"Windsor West/Windsor-Ouest"," 5","Windsor",4,48,78,3,14,0,2,5,154,370
"Windsor West/Windsor-Ouest"," 6","Windsor",1,39,78,3,21,1,10,4,157,454
"Windsor West/Windsor-Ouest"," 7","Windsor",4,20,63,4,25,0,7,0,123,351
"Windsor West/Windsor-Ouest"," 8","Windsor",4,42,90,2,31,0,2,2,173,468
"Windsor West/Windsor-Ouest"," 9","Windsor",5,42,75,2,14,0,4,1,143,346
"Windsor West/Windsor-Ouest"," 10","Windsor",3,13,73,0,7,0,0,5,101,254
"Windsor West/Windsor-Ouest"," 11A","Windsor",1,64,84,2,22,1,4,1,179,410
"Windsor West/Windsor-Ouest"," 11B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,15
"Windsor West/Windsor-Ouest"," 12","Windsor",5,51,90,3,25,0,2,2,178,385
"Windsor West/Windsor-Ouest"," 13","Windsor",5,66,83,1,25,0,2,0,182,385
"Windsor West/Windsor-Ouest"," 14","Windsor",11,37,108,2,24,0,2,0,184,392
"Windsor West/Windsor-Ouest"," 15","Windsor",8,47,73,4,42,1,3,2,180,372
"Windsor West/Windsor-Ouest"," 16","Windsor",8,57,121,2,37,0,0,1,226,476
"Windsor West/Windsor-Ouest"," 17","Windsor",5,62,109,5,26,0,2,2,211,358
"Windsor West/Windsor-Ouest"," 18","Windsor",3,46,79,3,22,0,1,2,156,458
