Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Fitzpatrick,Patrick Jahn,Valerie Mushinski,Larry Zepp,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Prince Albert/Prince Albert"," 1","Shellbrook",171,18,49,11,2,251,459
"Prince Albert/Prince Albert"," 2","Holbein",122,32,41,7,0,202,339
"Prince Albert/Prince Albert"," 3","Shellbrook",89,9,33,5,0,136,277
"Prince Albert/Prince Albert"," 4","Shellbrook",107,23,44,3,0,177,366
"Prince Albert/Prince Albert"," 5","Shellbrook",68,21,37,4,0,130,199
"Prince Albert/Prince Albert"," 6","Shellbrook",81,11,40,2,0,134,219
"Prince Albert/Prince Albert"," 7","Paddockwood",150,32,33,8,1,224,379
"Prince Albert/Prince Albert"," 8","Meath Park",189,38,78,10,0,315,511
"Prince Albert/Prince Albert"," 9","Albertville",80,23,30,7,1,141,197
"Prince Albert/Prince Albert"," 10","Kalyna",97,9,23,3,0,132,230
"Prince Albert/Prince Albert"," 11","Spruce Home",76,30,37,10,0,153,265
"Prince Albert/Prince Albert"," 12","Spruce Home",54,12,24,5,0,95,231
"Prince Albert/Prince Albert"," 13A","Wahpeton",5,79,13,2,0,99,173
"Prince Albert/Prince Albert"," 13B","Wahpeton",40,11,19,2,0,72,113
"Prince Albert/Prince Albert"," 14","Buckland",145,23,55,6,2,231,407
"Prince Albert/Prince Albert"," 15","Buckland",40,6,14,1,1,62,136
"Prince Albert/Prince Albert"," 16","Buckland",151,52,91,7,0,301,419
"Prince Albert/Prince Albert"," 17","Buckland",167,47,80,12,0,306,470
"Prince Albert/Prince Albert"," 18","Prince Albert",144,50,52,6,0,252,423
"Prince Albert/Prince Albert"," 19","Prince Albert",67,25,48,8,1,149,313
"Prince Albert/Prince Albert"," 20","Prince Albert",57,60,57,2,0,176,402
"Prince Albert/Prince Albert"," 21","Prince Albert",46,82,44,7,0,179,459
"Prince Albert/Prince Albert"," 22","Prince Albert",62,45,43,5,0,155,411
"Prince Albert/Prince Albert"," 23","Prince Albert",56,87,54,10,0,207,530
"Prince Albert/Prince Albert"," 24","Prince Albert",42,52,37,5,0,136,314
"Prince Albert/Prince Albert"," 25","Prince Albert",41,53,33,3,0,130,418
"Prince Albert/Prince Albert"," 26","Prince Albert",38,45,29,1,2,115,316
"Prince Albert/Prince Albert"," 27","Prince Albert",72,52,47,7,0,178,370
"Prince Albert/Prince Albert"," 28","Prince Albert",92,51,54,7,0,204,483
"Prince Albert/Prince Albert"," 29A","Prince Albert",32,30,25,4,0,91,174
"Prince Albert/Prince Albert"," 29B","Prince Albert",47,62,38,6,0,153,423
"Prince Albert/Prince Albert"," 30","Prince Albert",117,56,66,6,0,245,357
"Prince Albert/Prince Albert"," 31","Prince Albert",115,68,57,2,1,243,430
"Prince Albert/Prince Albert"," 32","Prince Albert",84,60,66,3,0,213,409
"Prince Albert/Prince Albert"," 33","Prince Albert",98,42,53,3,0,196,341
"Prince Albert/Prince Albert"," 34","Prince Albert",110,56,62,2,0,230,386
"Prince Albert/Prince Albert"," 35","Prince Albert",91,89,66,3,0,249,440
"Prince Albert/Prince Albert"," 36","Prince Albert",141,73,47,5,0,266,467
"Prince Albert/Prince Albert"," 37","Prince Albert",92,50,81,1,1,225,321
"Prince Albert/Prince Albert"," 38","Prince Albert",95,54,90,6,1,246,406
"Prince Albert/Prince Albert"," 39","Prince Albert",58,36,44,14,0,152,340
"Prince Albert/Prince Albert"," 40","Prince Albert",83,36,54,8,0,181,431
"Prince Albert/Prince Albert"," 41","Prince Albert",74,59,86,1,0,220,505
"Prince Albert/Prince Albert"," 42","Prince Albert",61,38,41,5,0,145,369
"Prince Albert/Prince Albert"," 43","Prince Albert",81,44,69,1,0,195,365
"Prince Albert/Prince Albert"," 44","Prince Albert",57,37,41,3,0,138,319
"Prince Albert/Prince Albert"," 45","Prince Albert",72,41,60,2,0,175,358
"Prince Albert/Prince Albert"," 46","Prince Albert",82,47,77,3,0,209,405
"Prince Albert/Prince Albert"," 47","Prince Albert",109,53,44,4,1,211,421
"Prince Albert/Prince Albert"," 48","Prince Albert",113,58,74,7,0,252,470
"Prince Albert/Prince Albert"," 49","Prince Albert",101,34,52,4,0,191,403
"Prince Albert/Prince Albert"," 50","Prince Albert",77,33,32,3,0,145,315
"Prince Albert/Prince Albert"," 51","Prince Albert",89,56,39,5,1,190,387
"Prince Albert/Prince Albert"," 52","Prince Albert",57,44,38,2,0,141,317
"Prince Albert/Prince Albert"," 53","Prince Albert",145,63,76,3,0,287,491
"Prince Albert/Prince Albert"," 54","Prince Albert",60,50,60,5,0,175,349
"Prince Albert/Prince Albert"," 55","Prince Albert",91,52,59,5,0,207,400
"Prince Albert/Prince Albert"," 56","Prince Albert",164,61,89,12,1,327,682
"Prince Albert/Prince Albert"," 57","Prince Albert",89,39,70,10,0,208,407
"Prince Albert/Prince Albert"," 58","Prince Albert",86,56,70,9,0,221,459
"Prince Albert/Prince Albert"," 59","Prince Albert",52,44,54,1,1,152,351
"Prince Albert/Prince Albert"," 60","Prince Albert",80,33,53,5,1,172,358
"Prince Albert/Prince Albert"," 61","Prince Albert",58,41,41,6,1,147,388
"Prince Albert/Prince Albert"," 62","Prince Albert",64,44,41,7,0,156,300
"Prince Albert/Prince Albert"," 63","Prince Albert",97,63,58,5,0,223,395
"Prince Albert/Prince Albert"," 64","Prince Albert",81,49,46,4,0,180,365
"Prince Albert/Prince Albert"," 65","Prince Albert",72,47,47,3,1,170,413
"Prince Albert/Prince Albert"," 66","Prince Albert",136,45,82,5,0,268,412
"Prince Albert/Prince Albert"," 67","Prince Albert",107,38,51,4,1,201,401
"Prince Albert/Prince Albert"," 68","Prince Albert",132,52,54,3,1,242,474
"Prince Albert/Prince Albert"," 69","Prince Albert",112,70,55,1,0,238,413
"Prince Albert/Prince Albert"," 70","Prince Albert",124,50,55,3,0,232,388
"Prince Albert/Prince Albert"," 71","Prince Albert",40,39,27,6,0,112,430
"Prince Albert/Prince Albert"," 72","Prince Albert",145,59,73,6,2,285,443
"Prince Albert/Prince Albert"," 73","Prince Albert",172,62,71,5,0,310,539
"Prince Albert/Prince Albert"," 74","Prince Albert",190,73,77,9,1,350,622
"Prince Albert/Prince Albert"," 75","Prince Albert",161,78,55,3,2,299,463
"Prince Albert/Prince Albert"," 76","Prince Albert",117,57,48,8,0,230,376
"Prince Albert/Prince Albert"," 77","Lily Plain",107,18,33,5,0,163,315
"Prince Albert/Prince Albert"," 78","Birson",109,40,62,3,1,215,477
"Prince Albert/Prince Albert"," 79","Davis",155,34,45,1,0,235,378
"Prince Albert/Prince Albert"," 80","Birson",126,32,37,6,0,201,325
"Prince Albert/Prince Albert"," 81","Birson",132,24,58,3,0,217,340
"Prince Albert/Prince Albert"," 82","Muskoday 99",23,138,63,2,0,226,361
"Prince Albert/Prince Albert"," 83","Birch Hills",129,11,67,3,0,210,339
"Prince Albert/Prince Albert"," 84","Brancepeth",85,9,18,0,0,112,179
"Prince Albert/Prince Albert"," 85","Birch Hills",172,30,81,1,1,285,488
"Prince Albert/Prince Albert"," 86","Birch Hills",74,20,44,5,0,143,236
"Prince Albert/Prince Albert"," 87","Pahonan",94,7,21,3,0,125,191
"Prince Albert/Prince Albert"," 88","James Smith 100",10,331,3,0,1,345,450
"Prince Albert/Prince Albert"," 89","Brockington",41,3,21,1,0,66,97
"Prince Albert/Prince Albert"," 90","Weldon",129,21,36,6,0,192,343
"Prince Albert/Prince Albert"," 91A","Kinistino",70,13,21,2,1,107,280
"Prince Albert/Prince Albert"," 91B","Kinistino",54,8,13,1,0,76,210
"Prince Albert/Prince Albert"," 92","Kinistino",50,9,30,4,2,95,147
