Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Carter,Marilyn Churley,Peter Conroy,Jim Harris,Jim Love,Maria Minna,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beaches--East York/Beaches--East York"," 1","East York",0,46,62,7,1,67,0,183,296
"Beaches--East York/Beaches--East York"," 2","East York",1,62,73,8,0,146,1,291,399
"Beaches--East York/Beaches--East York"," 3","East York",0,56,59,15,0,112,1,243,354
"Beaches--East York/Beaches--East York"," 4","East York",2,63,56,7,2,112,0,242,357
"Beaches--East York/Beaches--East York"," 5","East York",1,63,56,17,0,153,3,293,473
"Beaches--East York/Beaches--East York"," 6","East York",0,32,33,7,2,52,0,126,336
"Beaches--East York/Beaches--East York"," 7","East York",0,75,69,17,1,112,2,276,434
"Beaches--East York/Beaches--East York"," 8","East York",0,28,26,7,0,83,0,144,290
"Beaches--East York/Beaches--East York"," 9","East York",1,24,18,3,0,208,2,256,450
"Beaches--East York/Beaches--East York"," 10","East York",2,53,38,2,2,197,4,298,549
"Beaches--East York/Beaches--East York"," 11","East York",3,51,21,8,3,140,6,232,424
"Beaches--East York/Beaches--East York"," 12","East York",1,53,62,12,0,107,1,236,370
"Beaches--East York/Beaches--East York"," 13","East York",0,56,84,13,0,104,2,259,428
"Beaches--East York/Beaches--East York"," 14","East York",0,65,58,12,0,122,1,258,376
"Beaches--East York/Beaches--East York"," 15","East York",1,74,45,5,1,85,1,212,369
"Beaches--East York/Beaches--East York"," 16","East York",0,99,65,13,1,80,0,258,447
"Beaches--East York/Beaches--East York"," 17","East York",1,99,77,9,1,124,0,311,439
"Beaches--East York/Beaches--East York"," 18","East York",1,76,38,11,1,87,0,214,319
"Beaches--East York/Beaches--East York"," 19","East York",1,63,59,9,1,97,1,231,335
"Beaches--East York/Beaches--East York"," 20","East York",0,62,48,8,2,96,0,216,372
"Beaches--East York/Beaches--East York"," 21","East York",1,84,65,14,1,110,1,276,417
"Beaches--East York/Beaches--East York"," 22","East York",0,85,48,11,0,58,0,202,350
