Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Graham,Anne-Marie Guertin,Andrea Paine,Daniel Quinn,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lac-Saint-Louis/Lac-Saint-Louis"," 1","Pierrefonds",21,79,81,40,112,0,333,593
"Lac-Saint-Louis/Lac-Saint-Louis"," 2","Pierrefonds",9,42,83,24,142,0,300,548
"Lac-Saint-Louis/Lac-Saint-Louis"," 3A","Pierrefonds",15,16,61,33,153,0,278,488
"Lac-Saint-Louis/Lac-Saint-Louis"," 3B","Pierrefonds",16,33,68,27,158,2,304,512
"Lac-Saint-Louis/Lac-Saint-Louis"," 4","Pierrefonds",8,39,57,28,86,2,220,492
"Lac-Saint-Louis/Lac-Saint-Louis"," 5","Pierrefonds",5,56,46,21,61,2,191,367
"Lac-Saint-Louis/Lac-Saint-Louis"," 6","Pierrefonds",5,51,36,16,50,2,160,366
"Lac-Saint-Louis/Lac-Saint-Louis"," 7A","Pierrefonds",7,15,39,18,71,1,151,277
"Lac-Saint-Louis/Lac-Saint-Louis"," 7B","Pierrefonds",3,28,38,17,58,1,145,338
"Lac-Saint-Louis/Lac-Saint-Louis"," 8","Pierrefonds",9,15,17,5,36,1,83,248
"Lac-Saint-Louis/Lac-Saint-Louis"," 9","Pierrefonds",10,16,55,21,59,0,161,354
"Lac-Saint-Louis/Lac-Saint-Louis"," 10","Pierrefonds",11,23,42,27,75,3,181,359
"Lac-Saint-Louis/Lac-Saint-Louis"," 11","Pierrefonds",14,22,73,33,87,0,229,428
"Lac-Saint-Louis/Lac-Saint-Louis"," 12","Pierrefonds",12,35,34,25,64,2,172,350
"Lac-Saint-Louis/Lac-Saint-Louis"," 13","Pierrefonds",12,21,57,26,100,5,221,395
"Lac-Saint-Louis/Lac-Saint-Louis"," 14","Pierrefonds",15,21,75,26,168,3,308,497
"Lac-Saint-Louis/Lac-Saint-Louis"," 15","Pierrefonds",11,30,30,17,56,3,147,409
"Lac-Saint-Louis/Lac-Saint-Louis"," 16A","Pierrefonds",8,30,61,16,86,3,204,395
"Lac-Saint-Louis/Lac-Saint-Louis"," 16B","Pierrefonds",8,44,55,14,101,2,224,369
"Lac-Saint-Louis/Lac-Saint-Louis"," 17","Pierrefonds",8,34,70,25,154,0,291,484
"Lac-Saint-Louis/Lac-Saint-Louis"," 18","Pierrefonds",6,11,50,15,106,1,189,314
"Lac-Saint-Louis/Lac-Saint-Louis"," 19A","Pierrefonds",8,26,60,20,137,1,252,403
"Lac-Saint-Louis/Lac-Saint-Louis"," 19B","Pierrefonds",6,14,67,14,96,2,199,332
"Lac-Saint-Louis/Lac-Saint-Louis"," 20A","Pierrefonds",8,33,48,11,103,0,203,289
"Lac-Saint-Louis/Lac-Saint-Louis"," 20B","Pierrefonds",13,31,60,18,90,2,214,327
"Lac-Saint-Louis/Lac-Saint-Louis"," 21A","Pierrefonds",4,13,47,19,97,5,185,327
"Lac-Saint-Louis/Lac-Saint-Louis"," 21B","Pierrefonds",10,18,48,16,82,3,177,306
"Lac-Saint-Louis/Lac-Saint-Louis"," 22","Pierrefonds",21,26,61,20,118,0,246,454
"Lac-Saint-Louis/Lac-Saint-Louis"," 23","Sainte-Geneviève",18,66,43,12,57,0,196,461
"Lac-Saint-Louis/Lac-Saint-Louis"," 24","Sainte-Geneviève",3,58,32,8,53,3,157,466
"Lac-Saint-Louis/Lac-Saint-Louis"," 25","Sainte-Geneviève",10,48,43,11,47,0,159,504
"Lac-Saint-Louis/Lac-Saint-Louis"," 26","Sainte-Geneviève",26,65,38,21,60,3,213,522
"Lac-Saint-Louis/Lac-Saint-Louis"," 27","Pierrefonds",13,40,54,21,98,2,228,424
"Lac-Saint-Louis/Lac-Saint-Louis"," 28","Pierrefonds",25,20,69,43,109,1,267,381
"Lac-Saint-Louis/Lac-Saint-Louis"," 29","Pierrefonds",15,39,36,13,59,1,163,333
"Lac-Saint-Louis/Lac-Saint-Louis"," 30","Pierrefonds",13,35,70,16,96,2,232,423
"Lac-Saint-Louis/Lac-Saint-Louis"," 31","Pierrefonds",8,32,65,31,134,0,270,545
