Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Hugh Edwards,Mark Eyking,Howie MacDonald,Chris Milburn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sydney--Victoria/Sydney--Victoria"," 1","St. Margaret Village",18,128,65,1,0,212,390
"Sydney--Victoria/Sydney--Victoria"," 2","Pleasant Bay",22,73,24,4,0,123,179
"Sydney--Victoria/Sydney--Victoria"," 3","Capstick",42,127,61,6,0,236,452
"Sydney--Victoria/Sydney--Victoria"," 4","White Point",7,42,28,4,1,82,155
"Sydney--Victoria/Sydney--Victoria"," 5","Neils Harbour",23,99,65,3,3,193,267
"Sydney--Victoria/Sydney--Victoria"," 6","Ingonish",76,168,62,9,0,315,567
"Sydney--Victoria/Sydney--Victoria"," 7","Ingonish Beach",56,170,61,13,0,300,413
"Sydney--Victoria/Sydney--Victoria"," 8","Little River",46,77,56,10,0,189,350
"Sydney--Victoria/Sydney--Victoria"," 9","Englishtown",21,77,15,3,0,116,162
"Sydney--Victoria/Sydney--Victoria"," 10","South Haven",36,59,43,6,2,146,240
"Sydney--Victoria/Sydney--Victoria"," 11","Baddeck",39,87,73,15,0,214,465
"Sydney--Victoria/Sydney--Victoria"," 12","Middle River",46,106,80,10,2,244,345
"Sydney--Victoria/Sydney--Victoria"," 13","Little Narrows",16,111,14,8,0,149,308
"Sydney--Victoria/Sydney--Victoria"," 14","Iona",11,80,28,4,0,123,166
"Sydney--Victoria/Sydney--Victoria"," 15","Baddeck",25,65,33,8,1,132,201
"Sydney--Victoria/Sydney--Victoria"," 16","Baddeck",24,54,41,6,0,125,223
"Sydney--Victoria/Sydney--Victoria"," 17","Baddeck",20,54,34,5,0,113,195
"Sydney--Victoria/Sydney--Victoria"," 18","Baddeck",29,69,36,5,0,139,289
"Sydney--Victoria/Sydney--Victoria"," 19","Iona",31,98,59,6,2,196,296
"Sydney--Victoria/Sydney--Victoria"," 20","Point Aconi",55,66,28,3,0,152,298
"Sydney--Victoria/Sydney--Victoria"," 21","Big Bras d'Or",91,137,45,6,1,280,444
"Sydney--Victoria/Sydney--Victoria"," 22","Boularderie",103,69,39,9,0,220,315
"Sydney--Victoria/Sydney--Victoria"," 23","Millville Boularderie",100,130,36,9,1,276,449
"Sydney--Victoria/Sydney--Victoria"," 24","Alder Point",39,94,28,2,0,163,246
"Sydney--Victoria/Sydney--Victoria"," 25","Hillside Boularderie",89,113,62,3,1,268,423
"Sydney--Victoria/Sydney--Victoria"," 26","Alder Point",82,80,33,4,0,199,346
"Sydney--Victoria/Sydney--Victoria"," 27","Little Bras d'Or South Side",84,109,26,4,0,223,399
"Sydney--Victoria/Sydney--Victoria"," 28","Mill Creek",57,99,33,2,0,191,294
"Sydney--Victoria/Sydney--Victoria"," 29","Florence",52,60,14,4,0,130,303
"Sydney--Victoria/Sydney--Victoria"," 30","Florence",43,52,19,1,0,115,264
"Sydney--Victoria/Sydney--Victoria"," 31","Florence",61,67,26,5,1,160,293
"Sydney--Victoria/Sydney--Victoria"," 32","Bras d'Or",60,97,26,5,0,188,284
"Sydney--Victoria/Sydney--Victoria"," 33","Florence",86,119,29,4,1,239,472
"Sydney--Victoria/Sydney--Victoria"," 34A","Bras d'Or",75,83,25,2,0,185,322
"Sydney--Victoria/Sydney--Victoria"," 34B","Bras d'Or",68,79,35,3,2,187,311
"Sydney--Victoria/Sydney--Victoria"," 35","Gannon",61,106,40,6,5,218,485
"Sydney--Victoria/Sydney--Victoria"," 36","Gannon",40,42,14,1,0,97,200
"Sydney--Victoria/Sydney--Victoria"," 37","Georges River",90,91,64,9,3,257,364
"Sydney--Victoria/Sydney--Victoria"," 38","Scotch Lake",30,96,27,3,0,156,253
"Sydney--Victoria/Sydney--Victoria"," 39","Boisdale",44,75,21,6,1,147,225
"Sydney--Victoria/Sydney--Victoria"," 40","Grand Narrows",36,76,37,6,2,157,250
"Sydney--Victoria/Sydney--Victoria"," 41","Upper North Sydney",69,98,36,11,2,216,332
"Sydney--Victoria/Sydney--Victoria"," 42","Leitches Creek",57,101,30,14,2,204,381
