Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Douglas Christie,Troy DeSouza,Randall Garrison,Keith Martin,David Piney,Mike Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 1","Port Renfrew",0,20,47,31,0,12,0,110,174
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 2","Shirley",1,43,59,60,2,23,0,188,284
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 3","Sooke",0,51,67,73,0,10,0,201,334
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 4","Otter Point",1,81,116,122,1,36,1,358,613
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 5","Otter Point",1,69,114,72,1,27,0,284,517
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 6","East Sooke",5,97,112,121,0,48,0,383,527
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 7","East Sooke",1,99,99,110,1,20,0,330,492
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 8","Sooke",4,99,119,119,2,17,1,361,641
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 9","Sooke",4,113,98,116,1,19,0,351,616
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 10","Sooke",1,49,73,83,0,18,0,224,419
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 11","Sooke",3,102,75,105,0,20,0,305,550
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 12","Sooke",2,128,104,167,1,33,0,435,818
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 13","Sooke",2,82,105,96,1,15,0,301,542
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 14","Sooke",2,52,76,75,0,23,0,228,456
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 15","Sooke",0,34,35,39,2,2,2,114,235
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 16","Sooke",2,102,76,135,1,19,0,335,624
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 17","Sooke",2,85,77,105,0,19,1,289,489
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 18","Sooke",0,43,80,84,0,20,1,228,438
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 19","Sooke",1,87,73,108,0,19,1,289,512
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 20","Sooke",3,95,80,131,0,20,0,329,593
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 21","Sooke 1",0,2,19,2,0,0,0,23,41
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 22","Langford",3,135,100,135,1,31,0,405,718
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 23","Langford",0,98,86,104,0,16,0,304,480
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 24","Langford",0,24,71,47,0,10,0,152,244
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 25","Langford",1,48,55,44,1,12,0,161,259
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 26","Langford",1,38,67,66,0,8,0,180,396
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 27","Langford",3,118,88,128,1,22,0,360,653
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 28","Langford",2,87,102,101,1,21,1,315,445
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 29","Langford",2,115,98,126,0,24,0,365,613
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 30","Langford",1,89,84,90,0,18,0,282,472
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 31","Langford",1,67,82,88,0,10,0,248,371
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 32","Langford",0,51,74,55,0,7,0,187,302
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 33","Langford",0,75,127,140,0,11,0,353,557
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 34","Langford",0,74,45,74,0,10,0,203,351
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 35","Langford",2,56,66,62,0,7,0,193,336
