Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Abbott,Jhim Burwell,Brent Bush,Thomas Fredrick Sima,Clements Verhoeven,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kootenay--Columbia/Kootenay--Columbia"," 1","Mica Creek--Mount Cartier",71,34,65,0,14,0,184,402
"Kootenay--Columbia/Kootenay--Columbia"," 2","Revelstoke",111,36,74,1,6,2,230,486
"Kootenay--Columbia/Kootenay--Columbia"," 3","Revelstoke",118,32,92,0,6,1,249,462
"Kootenay--Columbia/Kootenay--Columbia"," 4","Revelstoke",58,34,46,1,4,0,143,257
"Kootenay--Columbia/Kootenay--Columbia"," 5","Revelstoke",Merged with No. 6/Fusionné avec le nº 6,,,,,,,190
"Kootenay--Columbia/Kootenay--Columbia"," 6","Revelstoke",72,47,92,1,20,3,235,302
"Kootenay--Columbia/Kootenay--Columbia"," 7","Revelstoke",60,31,77,1,9,1,179,317
"Kootenay--Columbia/Kootenay--Columbia"," 8","Revelstoke",39,31,53,0,11,0,134,301
"Kootenay--Columbia/Kootenay--Columbia"," 9","Revelstoke",71,52,88,1,11,1,224,474
"Kootenay--Columbia/Kootenay--Columbia"," 10","Revelstoke",79,29,106,1,11,2,228,421
"Kootenay--Columbia/Kootenay--Columbia"," 11","Revelstoke",47,38,80,2,11,1,179,373
"Kootenay--Columbia/Kootenay--Columbia"," 12","Revelstoke",101,29,76,2,8,0,216,483
"Kootenay--Columbia/Kootenay--Columbia"," 13","Revelstoke",54,42,57,0,6,2,161,321
"Kootenay--Columbia/Kootenay--Columbia"," 14","Revelstoke",84,41,70,0,5,1,201,416
"Kootenay--Columbia/Kootenay--Columbia"," 15","Revelstoke",95,63,78,1,5,1,243,397
"Kootenay--Columbia/Kootenay--Columbia"," 16","Donald",98,33,62,3,21,1,218,391
"Kootenay--Columbia/Kootenay--Columbia"," 17","McMurdo",65,22,67,0,18,0,172,341
"Kootenay--Columbia/Kootenay--Columbia"," 18","Moberly",114,32,43,0,16,1,206,338
"Kootenay--Columbia/Kootenay--Columbia"," 19","Golden",78,32,39,0,20,0,169,380
"Kootenay--Columbia/Kootenay--Columbia"," 20","Golden",138,51,88,3,18,1,299,480
"Kootenay--Columbia/Kootenay--Columbia"," 21","Golden",62,37,80,0,19,1,199,344
"Kootenay--Columbia/Kootenay--Columbia"," 22A","Golden",57,30,61,1,7,1,157,304
"Kootenay--Columbia/Kootenay--Columbia"," 22B","Golden",59,21,43,0,17,0,140,310
"Kootenay--Columbia/Kootenay--Columbia"," 23","Golden",63,17,50,2,10,1,143,321
"Kootenay--Columbia/Kootenay--Columbia"," 24","Golden",89,33,60,1,7,0,190,333
"Kootenay--Columbia/Kootenay--Columbia"," 25","Golden",110,36,65,1,17,0,229,475
"Kootenay--Columbia/Kootenay--Columbia"," 26","Golden",72,23,39,0,6,0,140,304
"Kootenay--Columbia/Kootenay--Columbia"," 27","Glenogle",46,16,25,1,13,0,101,213
"Kootenay--Columbia/Kootenay--Columbia"," 28","Yoho",16,15,30,0,23,0,84,147
"Kootenay--Columbia/Kootenay--Columbia"," 29","Parson",53,24,25,0,10,0,112,155
"Kootenay--Columbia/Kootenay--Columbia"," 30","Edgewood",51,30,95,0,27,1,204,324
"Kootenay--Columbia/Kootenay--Columbia"," 31","Fauquier",50,11,52,0,14,0,127,162
"Kootenay--Columbia/Kootenay--Columbia"," 32","Burton",69,28,79,1,18,2,197,298
"Kootenay--Columbia/Kootenay--Columbia"," 33A","Brouse",71,24,59,1,17,0,172,296
"Kootenay--Columbia/Kootenay--Columbia"," 33B","Brouse",52,35,58,1,15,2,163,294
"Kootenay--Columbia/Kootenay--Columbia"," 34","Nakusp",67,25,34,0,13,0,139,244
"Kootenay--Columbia/Kootenay--Columbia"," 35","Nakusp",58,52,74,2,7,1,194,350
"Kootenay--Columbia/Kootenay--Columbia"," 36","Nakusp",46,20,26,0,10,0,102,193
"Kootenay--Columbia/Kootenay--Columbia"," 37","Nakusp",80,32,72,0,4,0,188,335
"Kootenay--Columbia/Kootenay--Columbia"," 38","Beaton",10,7,18,0,9,0,44,56
"Kootenay--Columbia/Kootenay--Columbia"," 39","Meadow Creek",72,23,47,1,15,0,158,212
"Kootenay--Columbia/Kootenay--Columbia"," 40","Brisco",56,25,34,0,14,0,129,210
"Kootenay--Columbia/Kootenay--Columbia"," 41","Dry Gulch",81,17,23,0,8,0,129,271
"Kootenay--Columbia/Kootenay--Columbia"," 42","Edgewater",170,34,62,1,19,0,286,468
"Kootenay--Columbia/Kootenay--Columbia"," 43","Radium Hot Springs",184,60,50,2,17,3,316,502
"Kootenay--Columbia/Kootenay--Columbia"," 44","Panorama",125,47,56,0,31,0,259,474
"Kootenay--Columbia/Kootenay--Columbia"," 45","Shuswap",41,12,10,0,4,1,68,116
"Kootenay--Columbia/Kootenay--Columbia"," 46","Lake Windermere",108,26,56,0,25,1,216,422
"Kootenay--Columbia/Kootenay--Columbia"," 47A","Invermere",107,35,50,0,14,0,206,347
"Kootenay--Columbia/Kootenay--Columbia"," 47B","Invermere",114,27,44,0,13,0,198,353
"Kootenay--Columbia/Kootenay--Columbia"," 48","Invermere",121,37,49,2,28,0,237,469
"Kootenay--Columbia/Kootenay--Columbia"," 49A","Invermere",65,18,42,0,17,0,142,289
"Kootenay--Columbia/Kootenay--Columbia"," 49B","Invermere",91,26,37,0,11,1,166,320
"Kootenay--Columbia/Kootenay--Columbia"," 50A","Windermere",89,16,28,0,13,1,147,256
"Kootenay--Columbia/Kootenay--Columbia"," 50B","Windermere",86,24,27,0,15,0,152,281
