Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,David W. Bylsma,Heather Carter,Tom Ferguson,Dave Heatley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 1","Glanbrook",123,4,130,13,62,2,334,524
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 2A","Glanbrook",95,0,92,4,33,0,224,325
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 2B","Glanbrook",114,3,89,4,35,1,246,362
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3A","Glanbrook",112,0,78,1,37,1,229,333
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3B","Glanbrook",146,2,110,6,56,0,320,427
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3C","Glanbrook",123,1,89,3,44,0,260,356
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 4","Glanbrook",51,0,39,7,24,0,121,210
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 5","Glanbrook",125,3,114,8,63,0,313,517
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 6A","Glanbrook",74,0,77,8,40,2,201,301
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 6B","Glanbrook",89,2,76,3,35,1,206,303
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 7","Glanbrook",102,7,64,10,89,0,272,413
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 8","Glanbrook",55,2,39,5,41,2,144,266
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 9","Glanbrook",70,3,31,8,35,3,150,286
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 10","Glanbrook",59,3,30,6,20,0,118,221
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 11","Glanbrook",93,5,42,8,52,1,201,372
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 12","Glanbrook",95,1,49,10,46,0,201,347
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 13","Glanbrook",68,3,58,12,37,2,180,315
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 14","Glanbrook",74,4,65,10,44,2,199,330
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 15","Glanbrook",101,2,49,6,37,0,195,331
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16","Glanbrook",143,3,86,13,62,1,308,465
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 17A","Glanbrook",90,5,54,4,59,0,212,355
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 17B","Glanbrook",85,2,72,4,69,2,234,412
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 18","Glanbrook",91,1,48,14,41,0,195,314
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 19","Glanbrook",117,2,54,9,50,2,234,383
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 20","Glanbrook",139,3,110,15,66,2,335,479
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 21","Glanbrook",101,2,55,17,56,0,231,402
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 22A","Glanbrook",87,3,60,8,52,1,211,333
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 22B","Glanbrook",80,1,60,10,50,1,202,306
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 23","Glanbrook",110,3,65,10,41,1,230,343
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 24","Glanbrook",103,6,33,7,32,1,182,264
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 25","Glanbrook",109,4,70,17,48,1,249,403
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 26","Glanbrook",111,7,57,15,59,0,249,409
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 27","Hamilton ",67,0,54,1,26,1,149,242
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 28","Stoney Creek",153,4,91,13,91,0,352,583
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 29","Stoney Creek",113,2,75,4,39,2,235,370
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 30","Stoney Creek",74,0,82,15,33,0,204,284
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 31","Stoney Creek",109,10,109,18,86,2,334,524
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 32","Stoney Creek",134,4,137,16,57,1,349,559
