Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gina Barber,Sue Barnes,Al Gretzky,Steve Hunter,Monica Jarabek,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"London West/London-Ouest"," 77","London",54,118,100,1,15,0,0,288,474
"London West/London-Ouest"," 78","London",52,116,91,2,13,0,0,274,434
"London West/London-Ouest"," 79","London",56,115,92,0,27,0,3,293,398
"London West/London-Ouest"," 80","London",54,96,90,1,12,0,0,253,384
"London West/London-Ouest"," 81","London",32,63,78,3,9,1,1,187,264
"London West/London-Ouest"," 82","London",60,99,117,0,18,0,0,294,423
"London West/London-Ouest"," 83","London",27,96,120,0,5,0,0,248,458
"London West/London-Ouest"," 84","London",28,105,97,3,11,0,0,244,384
"London West/London-Ouest"," 85","London",38,67,50,4,6,0,1,166,329
"London West/London-Ouest"," 86","London",72,138,88,0,14,0,0,312,571
"London West/London-Ouest"," 87","London",44,108,77,3,11,1,3,247,339
"London West/London-Ouest"," 88","London",66,92,39,3,15,0,4,219,380
"London West/London-Ouest"," 89","London",62,75,36,2,13,0,1,189,350
"London West/London-Ouest"," 90","London",61,56,47,4,11,0,0,179,313
"London West/London-Ouest"," 91","London",78,61,34,2,7,2,0,184,319
"London West/London-Ouest"," 92","London",40,62,35,0,14,0,1,152,270
"London West/London-Ouest"," 93","London",50,51,37,1,13,0,1,153,276
"London West/London-Ouest"," 94","London",100,86,46,3,12,0,0,247,391
"London West/London-Ouest"," 95","London",43,120,108,2,4,1,1,279,472
"London West/London-Ouest"," 96","London",65,132,92,1,18,0,0,308,477
"London West/London-Ouest"," 97","London",73,75,63,1,10,1,2,225,347
"London West/London-Ouest"," 98","London",65,52,31,1,14,1,0,164,297
"London West/London-Ouest"," 99","London",59,68,59,2,11,0,2,201,409
"London West/London-Ouest"," 100","London",50,107,71,4,9,1,2,244,386
"London West/London-Ouest"," 101","London",61,75,71,0,13,0,2,222,295
"London West/London-Ouest"," 102","London",67,64,56,1,12,1,1,202,349
