Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Claude J. C. D'Amours,Irka Laplante,Rodolphe Martin,Jean-Pierre Ouellet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Madawaska--Restigouche/Madawaska--Restigouche"," 1","Dalhousie",74,1,48,33,3,159,306
"Madawaska--Restigouche/Madawaska--Restigouche"," 2","Dalhousie",63,8,35,37,3,146,296
"Madawaska--Restigouche/Madawaska--Restigouche"," 3","Dalhousie",119,9,70,69,1,268,483
"Madawaska--Restigouche/Madawaska--Restigouche"," 4","Dalhousie",47,9,51,53,5,165,300
"Madawaska--Restigouche/Madawaska--Restigouche"," 5","Dalhousie",41,7,42,34,3,127,261
"Madawaska--Restigouche/Madawaska--Restigouche"," 6","Dalhousie",48,2,38,26,0,114,206
"Madawaska--Restigouche/Madawaska--Restigouche"," 7","Dalhousie",52,1,29,17,0,99,187
"Madawaska--Restigouche/Madawaska--Restigouche"," 8","Dalhousie",54,1,41,34,3,133,252
"Madawaska--Restigouche/Madawaska--Restigouche"," 9","Dalhousie",64,3,56,26,2,151,249
"Madawaska--Restigouche/Madawaska--Restigouche"," 10","Dalhousie",44,6,25,25,4,104,190
"Madawaska--Restigouche/Madawaska--Restigouche"," 11A","Dalhousie",88,5,76,42,2,213,382
"Madawaska--Restigouche/Madawaska--Restigouche"," 11B","Dalhousie",37,4,28,17,2,88,243
"Madawaska--Restigouche/Madawaska--Restigouche"," 12","McLeods",80,5,52,43,3,183,308
"Madawaska--Restigouche/Madawaska--Restigouche"," 13","Dalhousie Junction",87,8,56,71,8,230,347
"Madawaska--Restigouche/Madawaska--Restigouche"," 14","Point La Nim",47,4,44,48,0,143,264
"Madawaska--Restigouche/Madawaska--Restigouche"," 15","Dundee",111,13,75,71,10,280,414
"Madawaska--Restigouche/Madawaska--Restigouche"," 16","Dundee",89,7,79,39,4,218,329
"Madawaska--Restigouche/Madawaska--Restigouche"," 17","Eel River Crossing",78,3,42,43,8,174,272
"Madawaska--Restigouche/Madawaska--Restigouche"," 18","Eel River Crossing",102,5,82,35,7,231,326
"Madawaska--Restigouche/Madawaska--Restigouche"," 19","Eel River Crossing",66,6,70,48,4,194,295
"Madawaska--Restigouche/Madawaska--Restigouche"," 20","Eel River Crossing",53,8,33,25,3,122,189
"Madawaska--Restigouche/Madawaska--Restigouche"," 21","Charlo",96,8,49,71,5,229,339
"Madawaska--Restigouche/Madawaska--Restigouche"," 22","Charlo",101,8,39,44,3,195,261
"Madawaska--Restigouche/Madawaska--Restigouche"," 23","Charlo",70,10,39,54,3,176,294
