Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neil Adair,John Baird,Randy Bens,Lee Farnworth,John Pacheco,Marlene Rivier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1","Nepean",14,109,0,60,3,22,0,208,394
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 2","Nepean",Void/Supprimé,,,,,,,,
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 3","Nepean",10,84,0,78,2,36,1,211,402
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 4","Nepean",14,99,1,71,3,55,0,243,382
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 5","Nepean",10,102,1,60,4,53,1,231,410
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 6","Nepean",16,100,0,96,5,33,0,250,421
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 7","Nepean",6,113,0,75,3,48,0,245,385
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 8","Nepean",25,176,0,115,8,50,2,376,509
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 9","Nepean",14,159,0,79,2,38,1,293,436
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10A","Nepean",11,49,1,100,1,48,2,212,296
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10B","Nepean",4,125,0,67,8,28,1,233,326
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 11","Nepean",5,62,0,35,2,7,0,111,167
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 12","Nepean",8,61,2,110,2,33,0,216,515
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 13","Nepean",7,79,2,87,1,33,3,212,458
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 14","Nepean",8,71,1,87,4,39,1,211,347
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15","Nepean",12,88,0,97,0,74,1,272,605
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 16","Nepean",4,30,0,62,0,36,0,132,304
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 17","Nepean",4,24,0,26,0,14,1,69,177
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 18","Nepean",10,87,0,125,2,58,1,283,638
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 19","Nepean",2,58,0,58,0,50,0,168,304
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 20","Nepean",4,76,2,65,0,25,0,172,297
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 21","Ottawa",16,110,1,105,2,45,1,280,403
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 22","Ottawa",1,30,0,35,1,27,1,95,161
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 23","Ottawa",12,103,0,83,9,56,2,265,446
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 24","Ottawa",11,103,1,140,10,87,3,355,648
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 25","Ottawa",5,50,1,58,1,36,1,152,316
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 26","Ottawa",11,57,1,51,1,63,0,184,330
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 27","Ottawa",11,50,1,59,3,38,2,164,328
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 28","Ottawa",26,61,0,74,2,64,0,227,388
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 29","Ottawa",17,64,0,61,1,38,0,181,269
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 30","Ottawa",4,52,3,133,2,33,0,227,420
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 31","Ottawa",9,49,0,61,2,49,0,170,316
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 32","Ottawa",19,78,0,57,4,76,1,235,379
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 33","Ottawa",18,69,0,77,2,57,1,224,359
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 34","Ottawa",18,80,0,75,7,57,2,239,356
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 35","Ottawa",14,71,0,71,5,49,0,210,327
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 36","Ottawa",20,75,0,44,4,41,1,185,318
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37","Ottawa",9,52,0,51,0,35,0,147,261
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 38","Ottawa",Void/Supprimé,,,,,,,,
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39","Ottawa",11,118,5,104,6,46,3,293,508
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39-1","Ottawa",18,156,1,94,5,47,0,321,456
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39-2","Ottawa",21,144,0,115,5,35,0,320,433
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 40","Ottawa",Void/Supprimé,,,,,,,,
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 41","Ottawa",16,70,1,71,1,46,1,206,291
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 42","Ottawa",10,75,1,61,0,49,1,197,361
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 43","Ottawa",4,44,0,39,6,14,1,108,262
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 44","Ottawa",20,62,1,62,2,41,0,188,352
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 45","Ottawa",8,110,0,89,9,44,2,262,349
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 46","Ottawa",14,94,1,115,0,54,0,278,499
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 47","Ottawa",22,95,0,95,2,66,0,280,449
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 48","Ottawa",13,105,0,83,1,22,0,224,435
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 49","Ottawa",19,77,0,97,0,31,0,224,367
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 50","Ottawa",2,79,0,66,7,28,0,182,285
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 51","Ottawa",11,104,1,65,7,29,3,220,303
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 52","Ottawa",16,93,1,74,3,43,0,230,371
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 53","Ottawa",19,92,0,86,1,47,0,245,362
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 54","Ottawa",6,101,2,52,1,26,0,188,287
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 55","Ottawa",9,63,0,65,0,20,1,158,230
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 56","Ottawa",10,101,0,98,4,38,1,252,439
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 57","Ottawa",17,116,0,67,2,20,0,222,324
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 58","Ottawa",15,84,0,87,1,57,1,245,419
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 59","Ottawa",20,99,0,84,3,57,1,264,419
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 60","Ottawa",16,57,0,61,2,40,0,176,297
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 61","Ottawa",5,101,0,44,1,30,1,182,302
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 62","Ottawa",12,66,0,45,1,30,1,155,257
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 63","Ottawa",10,83,0,42,2,44,0,181,273
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 64","Ottawa",7,79,1,62,5,50,0,204,440
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 65","Ottawa",6,44,0,37,1,23,1,112,249
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 66","Ottawa",10,89,0,97,2,52,0,250,447
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 67","Ottawa",5,45,0,58,1,31,1,141,361
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 68","Ottawa",3,38,0,29,2,15,1,88,235
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 69","Ottawa",6,48,2,89,2,34,0,181,352
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 70","Ottawa",11,64,2,89,0,40,1,207,397
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 71","Ottawa",5,66,1,90,2,33,1,198,332
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 72","Ottawa",6,51,1,185,2,60,8,313,570
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 73","Ottawa",11,60,0,66,2,42,0,181,359
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 74","Nepean",7,101,0,87,4,17,1,217,339
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 75","Nepean",13,106,0,81,2,24,1,227,355
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 76","Nepean",16,69,1,75,2,28,1,192,347
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 77","Nepean",9,99,0,54,0,11,2,175,318
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 78","Nepean",8,65,0,62,4,31,1,171,351
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 79","Nepean",9,83,0,62,3,25,2,184,366
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 80","Nepean",16,73,0,70,4,30,0,193,300
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 81","Nepean",12,66,0,58,3,45,1,185,326
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 82","Nepean",19,75,1,90,1,40,0,226,331
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 83","Nepean",12,110,0,87,5,43,1,258,397
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 84","Nepean",11,73,0,56,3,44,0,187,293
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 85","Nepean",23,160,0,100,2,41,1,327,493
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 86","Nepean",12,56,1,38,0,38,0,145,231
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 87","Nepean",8,67,2,63,3,49,0,192,331
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 88","Nepean",7,107,0,106,5,25,1,251,376
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 89","Nepean",13,129,0,97,4,33,1,277,391
"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 90","Nepean",25,132,0,85,2,35,1,280,393
