Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark de Pelham,Phil Green,Paul D.J. McMurray,Dagmar Sullivan,Paul Szabo,Brendan Tarry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga South/Mississauga-Sud"," 1","Mississauga",18,95,0,1,110,10,3,237,351
"Mississauga South/Mississauga-Sud"," 2","Mississauga",20,87,0,1,111,5,1,225,341
"Mississauga South/Mississauga-Sud"," 3","Mississauga",22,71,1,1,120,13,0,228,379
"Mississauga South/Mississauga-Sud"," 4","Mississauga",16,55,0,0,71,6,5,153,278
"Mississauga South/Mississauga-Sud"," 5","Mississauga",17,52,0,1,79,7,0,156,260
"Mississauga South/Mississauga-Sud"," 6","Mississauga",24,101,0,2,140,18,0,285,461
"Mississauga South/Mississauga-Sud"," 7","Mississauga",22,116,0,0,144,19,1,302,454
"Mississauga South/Mississauga-Sud"," 8","Mississauga",38,104,0,1,116,24,3,286,461
"Mississauga South/Mississauga-Sud"," 9","Mississauga",26,77,0,0,143,23,0,269,388
"Mississauga South/Mississauga-Sud"," 10","Mississauga",14,83,0,0,108,3,0,208,323
"Mississauga South/Mississauga-Sud"," 11","Mississauga",15,88,0,0,97,9,2,211,300
"Mississauga South/Mississauga-Sud"," 12","Mississauga",16,70,0,0,78,12,0,176,279
"Mississauga South/Mississauga-Sud"," 13","Mississauga",37,112,1,0,138,9,0,297,449
"Mississauga South/Mississauga-Sud"," 14","Mississauga",19,95,0,0,124,14,0,252,373
"Mississauga South/Mississauga-Sud"," 15","Mississauga",Merged with No. 14/Fusionné avec le nº 14,,,,,,,,58
"Mississauga South/Mississauga-Sud"," 16","Mississauga",26,72,2,0,90,2,0,192,296
"Mississauga South/Mississauga-Sud"," 17","Mississauga",41,92,0,0,135,9,2,279,476
"Mississauga South/Mississauga-Sud"," 18","Mississauga",29,86,0,0,99,5,1,220,409
"Mississauga South/Mississauga-Sud"," 19","Mississauga",29,76,0,0,99,15,0,219,344
"Mississauga South/Mississauga-Sud"," 20","Mississauga",42,92,2,2,112,19,1,270,494
"Mississauga South/Mississauga-Sud"," 21A","Mississauga",20,31,0,0,38,3,1,93,241
"Mississauga South/Mississauga-Sud"," 21B","Mississauga",16,30,0,1,22,4,0,73,281
"Mississauga South/Mississauga-Sud"," 22","Mississauga",9,5,0,0,30,2,1,47,133
"Mississauga South/Mississauga-Sud"," 23","Mississauga",16,51,2,0,55,10,5,139,329
"Mississauga South/Mississauga-Sud"," 24","Mississauga",45,98,0,0,118,7,2,270,395
"Mississauga South/Mississauga-Sud"," 25","Mississauga",30,94,0,0,144,3,1,272,416
"Mississauga South/Mississauga-Sud"," 26","Mississauga",42,108,1,0,139,17,3,310,482
"Mississauga South/Mississauga-Sud"," 27","Mississauga",35,97,3,0,122,15,1,273,493
"Mississauga South/Mississauga-Sud"," 28","Mississauga",22,73,0,0,107,12,3,217,363
"Mississauga South/Mississauga-Sud"," 29","Mississauga",14,20,0,0,14,2,0,50,128
"Mississauga South/Mississauga-Sud"," 30","Mississauga",34,79,1,0,97,10,1,222,377
"Mississauga South/Mississauga-Sud"," 31","Mississauga",27,61,1,1,113,12,5,220,390
"Mississauga South/Mississauga-Sud"," 32","Mississauga",17,76,1,1,102,15,0,212,394
"Mississauga South/Mississauga-Sud"," 33","Mississauga",36,76,0,1,129,6,4,252,450
"Mississauga South/Mississauga-Sud"," 34","Mississauga",30,104,0,1,105,17,0,257,443
"Mississauga South/Mississauga-Sud"," 35","Mississauga",28,84,1,0,105,10,2,230,380
"Mississauga South/Mississauga-Sud"," 36","Mississauga",31,74,1,0,116,11,3,236,370
"Mississauga South/Mississauga-Sud"," 37","Mississauga",28,101,0,3,108,3,2,245,410
"Mississauga South/Mississauga-Sud"," 38","Mississauga",42,80,2,1,159,9,0,293,481
"Mississauga South/Mississauga-Sud"," 39A","Mississauga",30,94,0,1,113,16,0,254,480
"Mississauga South/Mississauga-Sud"," 39B","Mississauga",26,79,0,1,103,9,0,218,421
"Mississauga South/Mississauga-Sud"," 40","Mississauga",40,89,2,1,78,13,2,225,394
"Mississauga South/Mississauga-Sud"," 41","Mississauga",34,61,2,0,79,12,1,189,381
"Mississauga South/Mississauga-Sud"," 42","Mississauga",27,52,0,0,82,9,0,170,334
"Mississauga South/Mississauga-Sud"," 43A","Mississauga",24,45,2,0,54,12,0,137,284
"Mississauga South/Mississauga-Sud"," 43B","Mississauga",17,33,1,0,56,4,0,111,233
"Mississauga South/Mississauga-Sud"," 44","Mississauga",33,91,1,2,87,30,0,244,421
"Mississauga South/Mississauga-Sud"," 45A","Mississauga",31,32,1,0,47,6,0,117,268
"Mississauga South/Mississauga-Sud"," 45B","Mississauga",18,24,0,1,45,2,0,90,235
"Mississauga South/Mississauga-Sud"," 46","Mississauga",31,47,1,2,56,12,2,151,330
"Mississauga South/Mississauga-Sud"," 47","Mississauga",31,50,0,0,54,9,0,144,331
"Mississauga South/Mississauga-Sud"," 48","Mississauga",29,41,1,0,54,3,0,128,291
"Mississauga South/Mississauga-Sud"," 49","Mississauga",42,84,0,0,104,19,0,249,485
"Mississauga South/Mississauga-Sud"," 50","Mississauga",9,32,0,1,101,3,1,147,304
"Mississauga South/Mississauga-Sud"," 51","Mississauga",16,67,2,0,109,8,1,203,305
"Mississauga South/Mississauga-Sud"," 52","Mississauga",17,27,0,0,32,5,0,81,237
"Mississauga South/Mississauga-Sud"," 53","Mississauga",21,45,2,0,59,3,0,130,222
"Mississauga South/Mississauga-Sud"," 54","Mississauga",18,34,0,0,66,1,2,121,373
"Mississauga South/Mississauga-Sud"," 55","Mississauga",16,74,1,0,63,3,1,158,319
"Mississauga South/Mississauga-Sud"," 56A","Mississauga",32,55,0,0,82,13,0,182,388
"Mississauga South/Mississauga-Sud"," 56B","Mississauga",12,47,0,0,46,4,1,110,254
"Mississauga South/Mississauga-Sud"," 57","Mississauga",12,21,0,0,41,3,0,77,180
"Mississauga South/Mississauga-Sud"," 58","Mississauga",9,21,0,0,22,4,1,57,112
"Mississauga South/Mississauga-Sud"," 59","Mississauga",5,92,0,0,65,7,0,169,349
"Mississauga South/Mississauga-Sud"," 60A","Mississauga",7,79,0,0,75,7,1,169,265
"Mississauga South/Mississauga-Sud"," 60B","Mississauga",2,74,0,0,62,5,2,145,241
"Mississauga South/Mississauga-Sud"," 61","Mississauga",23,114,0,0,115,11,1,264,399
"Mississauga South/Mississauga-Sud"," 62","Mississauga",30,97,0,0,106,15,3,251,394
