Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barry Bell,Jack Cook,Nina Grewal,Brenda Locke,Duncan McDonald,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 1","Surrey",59,12,82,62,8,1,224,438
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 2","Surrey",70,12,97,85,4,0,268,519
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3","Surrey",60,22,80,105,8,0,275,542
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 4","Surrey",40,20,92,101,1,0,254,449
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5A","Surrey",28,17,77,67,1,0,190,350
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5B","Surrey",35,17,71,74,2,0,199,343
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 6","Surrey",28,19,110,84,5,0,246,479
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7A","Surrey",20,19,57,52,2,1,151,319
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7B","Surrey",14,19,74,74,6,0,187,389
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 8","Surrey",63,24,112,110,3,1,313,570
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 9","Surrey",42,20,121,88,5,1,277,498
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 10","Surrey",40,11,106,44,4,0,205,333
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 11","Surrey",48,32,95,73,7,0,255,456
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12A","Surrey",13,8,100,58,5,0,184,377
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12B","Surrey",25,21,67,59,2,0,174,434
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13A","Surrey",27,15,72,49,1,0,164,317
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13B","Surrey",34,18,56,49,3,1,161,336
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14A","Surrey",21,10,61,61,1,0,154,376
