Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tasha Bridgen,Jake Cole,George Kolaczynski,Isabel Metcalfe,Gordon O'Connor,Tracy Parsons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 1A","West Carleton",33,12,0,29,87,2,1,164,263
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 1B","West Carleton",22,21,1,34,78,0,0,156,249
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 2A","West Carleton",27,11,3,40,85,0,0,166,260
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 2B","West Carleton",26,13,1,27,88,1,0,156,270
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 3A","West Carleton",17,10,2,32,83,0,0,144,261
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 3B","West Carleton",27,6,6,22,107,1,0,169,264
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 4","West Carleton",42,16,6,42,97,3,0,206,355
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 5","West Carleton",37,11,3,20,126,0,1,198,311
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 6","West Carleton",41,17,2,70,166,5,1,302,448
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 7","West Carleton",29,16,2,48,113,1,1,210,399
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 8","West Carleton",48,14,5,53,168,0,0,288,475
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 9A","West Carleton",20,12,0,11,124,0,0,167,248
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 9B","West Carleton",20,14,7,29,102,0,0,172,267
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 10","West Carleton",33,22,1,42,140,3,0,241,376
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 11","West Carleton",41,18,4,51,145,4,0,263,415
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 12","West Carleton",15,6,3,20,133,0,0,177,267
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 13","West Carleton",28,19,3,30,128,0,0,208,359
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 14","West Carleton",40,33,5,53,166,2,0,299,484
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 15","West Carleton",15,22,1,26,116,0,1,181,341
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 16A","West Carleton",23,10,2,18,97,2,0,152,270
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 16B","West Carleton",16,25,2,24,74,0,1,142,262
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 17","West Carleton",49,32,0,59,146,0,2,288,453
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 18","West Carleton",25,24,0,50,116,0,0,215,324
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 19","West Carleton",33,24,1,36,141,1,1,237,363
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 20","Kanata",38,32,1,53,129,0,2,255,415
