Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Dowling,Linda Duncan,Michael Fedeyko,Andy Hladyshevsky,Kevan Hunter,Rahim Jaffer,Cameron Wakefield,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Strathcona/Edmonton--Strathcona"," 66","Edmonton",0,41,0,25,0,60,6,0,132,245
"Edmonton--Strathcona/Edmonton--Strathcona"," 67","Edmonton",1,53,2,49,0,54,9,0,168,300
"Edmonton--Strathcona/Edmonton--Strathcona"," 68","Edmonton",4,49,3,49,0,67,8,0,180,371
"Edmonton--Strathcona/Edmonton--Strathcona"," 69","Edmonton",1,65,0,24,1,80,18,0,189,340
"Edmonton--Strathcona/Edmonton--Strathcona"," 70","Edmonton",1,70,6,25,0,88,5,1,196,430
"Edmonton--Strathcona/Edmonton--Strathcona"," 71","Edmonton",3,92,4,49,1,126,19,0,294,436
"Edmonton--Strathcona/Edmonton--Strathcona"," 72","Edmonton",2,56,4,38,0,77,12,1,190,366
"Edmonton--Strathcona/Edmonton--Strathcona"," 73","Edmonton",1,47,0,39,0,117,9,0,213,335
"Edmonton--Strathcona/Edmonton--Strathcona"," 74","Edmonton",2,31,5,43,1,126,6,1,215,359
"Edmonton--Strathcona/Edmonton--Strathcona"," 75","Edmonton",0,34,1,20,0,96,7,0,158,221
"Edmonton--Strathcona/Edmonton--Strathcona"," 76","Edmonton",3,72,5,86,0,179,12,0,357,540
"Edmonton--Strathcona/Edmonton--Strathcona"," 77","Edmonton",5,65,2,68,0,155,12,0,307,549
"Edmonton--Strathcona/Edmonton--Strathcona"," 78","Edmonton",1,49,3,29,0,81,8,0,171,434
"Edmonton--Strathcona/Edmonton--Strathcona"," 79","Edmonton",2,45,4,39,0,72,9,0,171,326
"Edmonton--Strathcona/Edmonton--Strathcona"," 80","Edmonton",3,60,2,64,1,124,11,0,265,386
"Edmonton--Strathcona/Edmonton--Strathcona"," 81","Edmonton",0,32,2,39,0,108,9,0,190,339
"Edmonton--Strathcona/Edmonton--Strathcona"," 82","Edmonton",2,39,2,62,1,144,13,0,263,398
"Edmonton--Strathcona/Edmonton--Strathcona"," 83","Edmonton",3,70,0,41,0,113,10,0,237,351
"Edmonton--Strathcona/Edmonton--Strathcona"," 84","Edmonton",1,40,2,34,0,100,6,0,183,263
"Edmonton--Strathcona/Edmonton--Strathcona"," 85","Edmonton",2,44,1,49,1,104,8,0,209,314
"Edmonton--Strathcona/Edmonton--Strathcona"," 86","Edmonton",2,39,1,31,0,106,8,0,187,291
"Edmonton--Strathcona/Edmonton--Strathcona"," 87","Edmonton",0,35,1,31,0,108,6,1,182,287
"Edmonton--Strathcona/Edmonton--Strathcona"," 88","Edmonton",1,30,1,26,0,86,7,0,151,388
"Edmonton--Strathcona/Edmonton--Strathcona"," 89","Edmonton",1,42,4,44,0,140,8,0,239,378
"Edmonton--Strathcona/Edmonton--Strathcona"," 90","Edmonton",5,83,1,36,0,141,12,0,278,414
"Edmonton--Strathcona/Edmonton--Strathcona"," 91","Edmonton",1,61,1,60,0,123,10,0,256,406
"Edmonton--Strathcona/Edmonton--Strathcona"," 92","Edmonton",0,53,5,30,0,114,6,0,208,386
"Edmonton--Strathcona/Edmonton--Strathcona"," 93","Edmonton",0,15,0,23,0,95,3,1,137,216
"Edmonton--Strathcona/Edmonton--Strathcona"," 94","Edmonton",3,46,2,40,1,95,8,0,195,362
"Edmonton--Strathcona/Edmonton--Strathcona"," 95","Edmonton",1,68,3,30,0,72,14,0,188,297
"Edmonton--Strathcona/Edmonton--Strathcona"," 96","Edmonton",1,73,1,29,0,70,7,0,181,321
"Edmonton--Strathcona/Edmonton--Strathcona"," 97","Edmonton",2,44,1,50,0,117,7,1,222,431
"Edmonton--Strathcona/Edmonton--Strathcona"," 98","Edmonton",0,36,3,19,0,49,12,2,121,243
"Edmonton--Strathcona/Edmonton--Strathcona"," 99","Edmonton",0,93,3,88,1,114,13,1,313,517
"Edmonton--Strathcona/Edmonton--Strathcona"," 100","Edmonton",3,69,2,42,0,99,17,0,232,454
"Edmonton--Strathcona/Edmonton--Strathcona"," 101","Edmonton",3,64,2,48,0,49,13,0,179,271
"Edmonton--Strathcona/Edmonton--Strathcona"," 102","Edmonton",4,93,3,59,1,120,15,0,295,443
"Edmonton--Strathcona/Edmonton--Strathcona"," 103","Edmonton",2,103,2,41,0,113,20,0,281,439
"Edmonton--Strathcona/Edmonton--Strathcona"," 104","Edmonton",4,163,4,75,0,101,29,1,377,597
"Edmonton--Strathcona/Edmonton--Strathcona"," 105","Edmonton",3,103,7,40,0,110,16,1,280,475
"Edmonton--Strathcona/Edmonton--Strathcona"," 106","Edmonton",5,92,5,42,2,103,21,1,271,510
"Edmonton--Strathcona/Edmonton--Strathcona"," 107","Edmonton",2,94,5,34,0,103,14,0,252,464
"Edmonton--Strathcona/Edmonton--Strathcona"," 108","Edmonton",8,66,0,27,1,76,21,0,199,384
"Edmonton--Strathcona/Edmonton--Strathcona"," 109","Edmonton",0,87,3,34,3,86,21,1,235,496
"Edmonton--Strathcona/Edmonton--Strathcona"," 110","Edmonton",2,63,3,30,0,76,26,0,200,377
"Edmonton--Strathcona/Edmonton--Strathcona"," 111","Edmonton",2,102,3,26,0,76,9,2,220,386
"Edmonton--Strathcona/Edmonton--Strathcona"," 112","Edmonton",1,76,1,15,0,65,8,0,166,259
"Edmonton--Strathcona/Edmonton--Strathcona"," 113","Edmonton",3,76,3,15,0,53,16,1,167,312
"Edmonton--Strathcona/Edmonton--Strathcona"," 114","Edmonton",3,78,0,41,0,92,18,0,232,378
"Edmonton--Strathcona/Edmonton--Strathcona"," 115","Edmonton",0,59,1,32,0,94,15,0,201,363
"Edmonton--Strathcona/Edmonton--Strathcona"," 116","Edmonton",2,76,3,35,0,96,13,3,228,423
"Edmonton--Strathcona/Edmonton--Strathcona"," 117","Edmonton",3,97,2,35,0,141,19,1,298,537
"Edmonton--Strathcona/Edmonton--Strathcona"," 118","Edmonton",2,68,5,51,1,112,14,0,253,418
"Edmonton--Strathcona/Edmonton--Strathcona"," 119","Edmonton",3,33,1,37,0,107,17,5,203,381
"Edmonton--Strathcona/Edmonton--Strathcona"," 120","Edmonton",2,61,1,35,0,94,14,0,207,345
"Edmonton--Strathcona/Edmonton--Strathcona"," 121","Edmonton",0,83,4,34,0,79,10,2,212,363
"Edmonton--Strathcona/Edmonton--Strathcona"," 122","Edmonton",0,94,3,30,0,92,15,2,236,430
"Edmonton--Strathcona/Edmonton--Strathcona"," 123","Edmonton",0,72,2,24,0,74,11,0,183,352
"Edmonton--Strathcona/Edmonton--Strathcona"," 124","Edmonton",1,84,2,33,1,51,12,2,186,357
"Edmonton--Strathcona/Edmonton--Strathcona"," 125","Edmonton",1,160,2,51,0,67,28,2,311,566
"Edmonton--Strathcona/Edmonton--Strathcona"," 126","Edmonton",1,104,0,18,0,50,22,1,196,332
"Edmonton--Strathcona/Edmonton--Strathcona"," 127","Edmonton",0,118,3,60,2,92,10,1,286,466
"Edmonton--Strathcona/Edmonton--Strathcona"," 128","Edmonton",0,105,2,27,1,79,24,0,238,377
"Edmonton--Strathcona/Edmonton--Strathcona"," 129","Edmonton",0,95,1,25,1,69,20,0,211,340
"Edmonton--Strathcona/Edmonton--Strathcona"," 130","Edmonton",1,108,3,26,1,66,20,0,225,373
"Edmonton--Strathcona/Edmonton--Strathcona"," 131","Edmonton",2,91,2,29,1,50,14,0,189,365
"Edmonton--Strathcona/Edmonton--Strathcona"," 132","Edmonton",1,54,6,24,0,60,14,0,159,316
"Edmonton--Strathcona/Edmonton--Strathcona"," 133","Edmonton",1,112,0,26,0,80,13,0,232,370
"Edmonton--Strathcona/Edmonton--Strathcona"," 134","Edmonton",2,68,3,34,0,59,12,0,178,288
"Edmonton--Strathcona/Edmonton--Strathcona"," 135","Edmonton",2,103,3,43,0,97,15,2,265,485
"Edmonton--Strathcona/Edmonton--Strathcona"," 136","Edmonton",3,142,9,27,0,87,15,0,283,406
"Edmonton--Strathcona/Edmonton--Strathcona"," 137","Edmonton",0,138,1,29,0,64,14,0,246,359
"Edmonton--Strathcona/Edmonton--Strathcona"," 138","Edmonton",0,95,0,16,0,47,9,1,168,299
"Edmonton--Strathcona/Edmonton--Strathcona"," 139","Edmonton",2,91,0,24,0,59,15,1,192,282
"Edmonton--Strathcona/Edmonton--Strathcona"," 140","Edmonton",2,113,3,27,2,67,14,0,228,337
"Edmonton--Strathcona/Edmonton--Strathcona"," 141","Edmonton",0,107,2,17,1,60,19,1,207,352
"Edmonton--Strathcona/Edmonton--Strathcona"," 142","Edmonton",0,75,3,20,0,36,11,0,145,235
"Edmonton--Strathcona/Edmonton--Strathcona"," 143","Edmonton",1,133,2,36,0,89,24,0,285,407
"Edmonton--Strathcona/Edmonton--Strathcona"," 144","Edmonton",4,102,0,33,1,58,21,0,219,396
"Edmonton--Strathcona/Edmonton--Strathcona"," 145","Edmonton",1,119,0,27,0,68,21,1,237,361
"Edmonton--Strathcona/Edmonton--Strathcona"," 146","Edmonton",1,122,1,48,0,86,19,0,277,458
"Edmonton--Strathcona/Edmonton--Strathcona"," 147","Edmonton",0,118,1,49,0,51,11,0,230,345
"Edmonton--Strathcona/Edmonton--Strathcona"," 148","Edmonton",1,147,1,42,1,56,18,1,267,377
"Edmonton--Strathcona/Edmonton--Strathcona"," 149","Edmonton",0,95,1,39,0,51,11,0,197,280
"Edmonton--Strathcona/Edmonton--Strathcona"," 150","Edmonton",1,189,2,77,0,115,10,1,395,548
"Edmonton--Strathcona/Edmonton--Strathcona"," 151","Edmonton",1,73,1,52,0,111,14,1,253,405
"Edmonton--Strathcona/Edmonton--Strathcona"," 152","Edmonton",0,54,2,86,1,134,9,1,287,408
"Edmonton--Strathcona/Edmonton--Strathcona"," 153","Edmonton",0,50,1,42,0,102,20,0,215,334
"Edmonton--Strathcona/Edmonton--Strathcona"," 154","Edmonton",1,70,1,62,0,118,12,0,264,377
"Edmonton--Strathcona/Edmonton--Strathcona"," 155","Edmonton",1,51,2,39,0,61,7,0,161,259
"Edmonton--Strathcona/Edmonton--Strathcona"," 156","Edmonton",0,49,0,30,0,69,12,2,162,324
"Edmonton--Strathcona/Edmonton--Strathcona"," 157","Edmonton",3,62,0,34,0,114,15,1,229,385
"Edmonton--Strathcona/Edmonton--Strathcona"," 158","Edmonton",0,38,4,29,0,76,6,1,154,391
"Edmonton--Strathcona/Edmonton--Strathcona"," 159","Edmonton",2,93,1,30,0,54,7,0,187,311
"Edmonton--Strathcona/Edmonton--Strathcona"," 160","Edmonton",0,49,1,20,0,75,20,0,165,308
"Edmonton--Strathcona/Edmonton--Strathcona"," 161","Edmonton",2,109,1,48,0,126,8,0,294,436
"Edmonton--Strathcona/Edmonton--Strathcona"," 162","Edmonton",1,78,3,58,1,103,5,0,249,345
"Edmonton--Strathcona/Edmonton--Strathcona"," 163","Edmonton",3,58,0,44,0,78,6,0,189,317
"Edmonton--Strathcona/Edmonton--Strathcona"," 164","Edmonton",1,62,1,49,0,118,18,0,249,422
"Edmonton--Strathcona/Edmonton--Strathcona"," 165","Edmonton",2,84,2,27,1,79,20,0,215,323
"Edmonton--Strathcona/Edmonton--Strathcona"," 166","Edmonton",3,74,1,34,1,92,9,0,214,300
"Edmonton--Strathcona/Edmonton--Strathcona"," 167","Edmonton",0,55,2,28,0,79,8,1,173,375
"Edmonton--Strathcona/Edmonton--Strathcona"," 168","Edmonton",0,72,0,38,1,87,13,0,211,341
"Edmonton--Strathcona/Edmonton--Strathcona"," 169","Edmonton",0,40,1,28,0,70,8,0,147,276
"Edmonton--Strathcona/Edmonton--Strathcona"," 170","Edmonton",1,65,2,32,2,81,11,1,195,390
"Edmonton--Strathcona/Edmonton--Strathcona"," 171","Edmonton",0,24,2,21,0,51,7,0,105,250
"Edmonton--Strathcona/Edmonton--Strathcona"," 172A","Edmonton",2,36,2,29,0,62,8,1,140,289
"Edmonton--Strathcona/Edmonton--Strathcona"," 172B","Edmonton",1,34,1,39,0,60,6,0,141,273
"Edmonton--Strathcona/Edmonton--Strathcona"," 173","Edmonton",1,50,2,74,1,111,7,0,246,467
"Edmonton--Strathcona/Edmonton--Strathcona"," 174","Edmonton",5,48,4,44,1,69,9,1,181,289
"Edmonton--Strathcona/Edmonton--Strathcona"," 175","Edmonton",4,90,4,40,0,120,18,0,276,527
"Edmonton--Strathcona/Edmonton--Strathcona"," 176A","Edmonton",2,36,4,19,2,51,10,0,124,260
"Edmonton--Strathcona/Edmonton--Strathcona"," 176B","Edmonton",2,31,2,14,0,41,7,0,97,259
"Edmonton--Strathcona/Edmonton--Strathcona"," 177","Edmonton",0,78,2,33,0,69,14,2,198,359
"Edmonton--Strathcona/Edmonton--Strathcona"," 178","Edmonton",3,77,2,43,0,81,19,0,225,413
"Edmonton--Strathcona/Edmonton--Strathcona"," 179","Edmonton",2,48,0,18,0,68,12,0,148,344
"Edmonton--Strathcona/Edmonton--Strathcona"," 180","Edmonton",3,84,6,46,0,74,25,0,238,443
"Edmonton--Strathcona/Edmonton--Strathcona"," 181","Edmonton",2,80,1,31,0,99,22,1,236,362
"Edmonton--Strathcona/Edmonton--Strathcona"," 182","Edmonton",4,61,2,34,0,83,20,1,205,371
"Edmonton--Strathcona/Edmonton--Strathcona"," 183","Edmonton",3,55,3,15,0,87,6,0,169,380
"Edmonton--Strathcona/Edmonton--Strathcona"," 184","Edmonton",2,65,1,32,1,100,17,1,219,359
"Edmonton--Strathcona/Edmonton--Strathcona"," 185","Edmonton",2,64,5,48,0,96,17,0,232,369
"Edmonton--Strathcona/Edmonton--Strathcona"," 186","Edmonton",2,59,3,18,0,82,10,0,174,362
"Edmonton--Strathcona/Edmonton--Strathcona"," 187","Edmonton",0,63,1,33,0,96,10,0,203,330
"Edmonton--Strathcona/Edmonton--Strathcona"," 188","Edmonton",5,68,1,36,0,81,11,0,202,335
"Edmonton--Strathcona/Edmonton--Strathcona"," 189","Edmonton",1,45,9,41,0,101,11,1,209,428
"Edmonton--Strathcona/Edmonton--Strathcona"," 190","Edmonton",1,38,5,27,0,133,13,0,217,359
"Edmonton--Strathcona/Edmonton--Strathcona"," 191","Edmonton",3,29,3,26,1,81,10,0,153,471
"Edmonton--Strathcona/Edmonton--Strathcona"," 192","Edmonton",1,35,0,24,1,102,8,0,171,299
"Edmonton--Strathcona/Edmonton--Strathcona"," 193","Edmonton",2,41,4,21,0,101,5,0,174,311
"Edmonton--Strathcona/Edmonton--Strathcona"," 194","Edmonton",3,40,10,17,0,84,11,1,166,338
"Edmonton--Strathcona/Edmonton--Strathcona"," 195","Edmonton",6,37,10,24,0,89,13,0,179,318
"Edmonton--Strathcona/Edmonton--Strathcona"," 400","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,49
"Edmonton--Strathcona/Edmonton--Strathcona"," 401","Edmonton",2,17,3,43,2,95,3,0,165,208
"Edmonton--Strathcona/Edmonton--Strathcona"," 402","Edmonton",Merged with No. 403/Fusionné avec le nº 403,,,,,,,,,79
"Edmonton--Strathcona/Edmonton--Strathcona"," 403","Edmonton",1,41,0,15,1,30,12,0,100,134
"Edmonton--Strathcona/Edmonton--Strathcona"," 404","Edmonton",0,38,0,31,0,57,5,0,131,232
"Edmonton--Strathcona/Edmonton--Strathcona"," 405","Edmonton",0,29,1,27,0,39,6,0,102,211
"Edmonton--Strathcona/Edmonton--Strathcona"," 406","Edmonton",1,66,2,24,1,60,12,0,166,295
"Edmonton--Strathcona/Edmonton--Strathcona"," 407","Edmonton",Merged with No. 121/Fusionné avec le nº 121,,,,,,,,,12
"Edmonton--Strathcona/Edmonton--Strathcona"," 500","Mobile poll/Bureau itinérant",2,24,10,22,0,65,7,2,132,194
"Edmonton--Strathcona/Edmonton--Strathcona"," 501","Mobile poll/Bureau itinérant",0,17,2,28,5,44,3,3,102,153
"Edmonton--Strathcona/Edmonton--Strathcona"," 502","Mobile poll/Bureau itinérant",1,21,7,15,1,50,4,1,100,111
"Edmonton--Strathcona/Edmonton--Strathcona"," 503","Mobile poll/Bureau itinérant",5,11,3,10,2,27,0,3,61,74
"Edmonton--Strathcona/Edmonton--Strathcona"," 504","Mobile poll/Bureau itinérant",0,17,0,11,1,36,1,3,69,95
"Edmonton--Strathcona/Edmonton--Strathcona"," 505","Mobile poll/Bureau itinérant",1,13,3,25,1,40,4,0,87,187
"Edmonton--Strathcona/Edmonton--Strathcona"," 506","Mobile poll/Bureau itinérant",0,14,3,13,1,41,2,2,76,125
"Edmonton--Strathcona/Edmonton--Strathcona"," 507","Mobile poll/Bureau itinérant",1,16,11,23,0,60,2,8,121,159
"Edmonton--Strathcona/Edmonton--Strathcona"," 600","Edmonton",0,133,3,93,0,120,18,1,368,
"Edmonton--Strathcona/Edmonton--Strathcona"," 601","Edmonton",0,233,4,94,0,240,43,0,614,
"Edmonton--Strathcona/Edmonton--Strathcona"," 602","Edmonton",5,80,9,96,1,424,38,3,656,
"Edmonton--Strathcona/Edmonton--Strathcona"," 603","Edmonton",4,127,4,176,2,434,31,2,780,
"Edmonton--Strathcona/Edmonton--Strathcona"," 604","Edmonton",1,95,2,106,0,385,31,3,623,
"Edmonton--Strathcona/Edmonton--Strathcona"," 605","Edmonton",1,121,5,58,0,200,25,0,410,
"Edmonton--Strathcona/Edmonton--Strathcona"," 606","Edmonton",1,107,3,54,0,182,20,1,368,
"Edmonton--Strathcona/Edmonton--Strathcona"," 607","Edmonton",2,156,6,91,1,156,10,0,422,
"Edmonton--Strathcona/Edmonton--Strathcona"," 608","Edmonton",0,137,7,151,0,375,19,3,692,
"Edmonton--Strathcona/Edmonton--Strathcona"," 609","Edmonton",2,128,7,125,3,325,29,0,619,
"Edmonton--Strathcona/Edmonton--Strathcona",,Group 1/Groupe 1,5,50,7,32,0,52,9,2,157,285
"Edmonton--Strathcona/Edmonton--Strathcona",,Group 2/Groupe 2,6,307,14,250,1,727,65,14,1384,
