Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anthony Eric Barendregt,Bruce Benson,James Bezan,Duncan E. Geisler,Thomas Alexander Goodman,Ed Schreyer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Selkirk--Interlake/Selkirk--Interlake"," 1","St. Martin",0,13,95,3,2,51,0,164,303
"Selkirk--Interlake/Selkirk--Interlake"," 1-1","St. Martin",0,5,1,0,0,2,0,8,10
"Selkirk--Interlake/Selkirk--Interlake"," 2","Dauphin River",0,17,4,0,0,20,0,41,63
"Selkirk--Interlake/Selkirk--Interlake"," 3","Grahamdale",0,10,162,3,5,16,0,196,323
"Selkirk--Interlake/Selkirk--Interlake"," 4","Lake St. Martin",0,73,1,3,0,59,1,137,407
"Selkirk--Interlake/Selkirk--Interlake"," 5","Little Saskatchewan",0,38,5,4,0,92,0,139,226
"Selkirk--Interlake/Selkirk--Interlake"," 6A","Fairford 50",0,43,5,0,3,95,0,146,279
"Selkirk--Interlake/Selkirk--Interlake"," 6B","Fairford 50",0,59,8,2,1,85,0,155,270
"Selkirk--Interlake/Selkirk--Interlake"," 7","Dallas",0,2,14,0,1,9,0,26,40
"Selkirk--Interlake/Selkirk--Interlake"," 8","Jackhead Harbour",1,15,5,0,2,43,0,66,158
"Selkirk--Interlake/Selkirk--Interlake"," 9","Matheson Island",0,6,12,1,1,35,0,55,76
"Selkirk--Interlake/Selkirk--Interlake"," 10A","Fisher River",0,79,15,1,0,69,0,164,329
"Selkirk--Interlake/Selkirk--Interlake"," 10B","Fisher River",0,87,18,0,1,77,1,184,393
"Selkirk--Interlake/Selkirk--Interlake"," 11","Little Bullhead",0,2,6,0,0,23,0,31,58
"Selkirk--Interlake/Selkirk--Interlake"," 12","Peguis",0,39,11,0,3,118,1,172,292
"Selkirk--Interlake/Selkirk--Interlake"," 13A","Peguis",0,50,19,0,1,101,0,171,371
"Selkirk--Interlake/Selkirk--Interlake"," 13B","Peguis",0,42,16,0,0,95,3,156,399
"Selkirk--Interlake/Selkirk--Interlake"," 14","Peguis",0,45,9,0,3,119,2,178,385
"Selkirk--Interlake/Selkirk--Interlake"," 15","Hodgson",0,18,118,4,4,53,1,198,477
"Selkirk--Interlake/Selkirk--Interlake"," 16","Fisher Branch",1,15,71,2,0,59,0,148,204
"Selkirk--Interlake/Selkirk--Interlake"," 17A","Fisher Branch",0,13,81,6,3,77,0,180,257
"Selkirk--Interlake/Selkirk--Interlake"," 17B","Fisher Branch",0,3,2,0,0,4,1,10,21
"Selkirk--Interlake/Selkirk--Interlake"," 18","Fisher Branch",0,14,76,3,3,55,1,152,384
"Selkirk--Interlake/Selkirk--Interlake"," 19","Hecla",4,2,81,0,0,17,0,104,178
"Selkirk--Interlake/Selkirk--Interlake"," 20","Okno",0,2,91,0,1,32,0,126,310
"Selkirk--Interlake/Selkirk--Interlake"," 21","Vidir",2,4,87,0,1,46,0,140,286
"Selkirk--Interlake/Selkirk--Interlake"," 22","Riverton",3,11,84,2,2,65,1,168,314
"Selkirk--Interlake/Selkirk--Interlake"," 23","Riverton",1,11,56,2,3,77,1,151,325
"Selkirk--Interlake/Selkirk--Interlake"," 24","Riverton",0,14,36,1,3,50,0,104,161
"Selkirk--Interlake/Selkirk--Interlake"," 25","Arborg",0,2,127,2,3,49,0,183,261
"Selkirk--Interlake/Selkirk--Interlake"," 26","Arborg",2,18,118,1,5,88,0,232,469
"Selkirk--Interlake/Selkirk--Interlake"," 27","Arborg",1,15,92,1,3,79,0,191,296
"Selkirk--Interlake/Selkirk--Interlake"," 28","Arborg",2,6,74,4,2,91,0,179,241
"Selkirk--Interlake/Selkirk--Interlake"," 29","Hnausa",0,8,71,2,0,42,0,123,226
"Selkirk--Interlake/Selkirk--Interlake"," 30","Ashern",0,17,59,0,0,19,0,95,160
"Selkirk--Interlake/Selkirk--Interlake"," 31","Moosehorn",1,17,170,16,4,89,0,297,404
"Selkirk--Interlake/Selkirk--Interlake"," 32","Ashern",1,12,153,15,3,33,1,218,332
"Selkirk--Interlake/Selkirk--Interlake"," 33","Ashern",1,19,64,6,1,35,0,126,290
"Selkirk--Interlake/Selkirk--Interlake"," 34","Ashern",0,11,71,14,2,35,0,133,199
"Selkirk--Interlake/Selkirk--Interlake"," 35","Camper",0,8,62,12,0,14,1,97,169
"Selkirk--Interlake/Selkirk--Interlake"," 36","Dog Creek",1,59,5,2,0,135,5,207,356
"Selkirk--Interlake/Selkirk--Interlake"," 37","Eriksdale",1,20,150,2,5,59,0,237,415
"Selkirk--Interlake/Selkirk--Interlake"," 38","Eriksdale",0,18,105,5,3,52,0,183,357
"Selkirk--Interlake/Selkirk--Interlake"," 39","Broad Valley",0,6,61,1,2,48,0,118,159
"Selkirk--Interlake/Selkirk--Interlake"," 40","Chatfield",0,10,101,3,2,102,0,218,385
"Selkirk--Interlake/Selkirk--Interlake"," 41","Lundar",0,11,149,4,2,45,0,211,350
"Selkirk--Interlake/Selkirk--Interlake"," 42","Lundar",1,26,173,6,1,57,2,266,493
"Selkirk--Interlake/Selkirk--Interlake"," 43","Rembrandt",0,7,76,2,5,66,1,157,272
"Selkirk--Interlake/Selkirk--Interlake"," 44","Fraserwood",0,22,91,0,0,73,0,186,296
"Selkirk--Interlake/Selkirk--Interlake"," 45","Komarno",0,11,120,1,5,75,2,214,333
"Selkirk--Interlake/Selkirk--Interlake"," 46A","Camp Morton",3,8,49,1,2,58,1,122,280
"Selkirk--Interlake/Selkirk--Interlake"," 46B","Camp Morton",0,21,76,0,2,55,0,154,275
"Selkirk--Interlake/Selkirk--Interlake"," 47","Camp Morton",0,9,64,0,8,60,0,141,274
"Selkirk--Interlake/Selkirk--Interlake"," 48","Camp Morton",1,29,129,4,14,105,3,285,519
"Selkirk--Interlake/Selkirk--Interlake"," 49","Aspen Park",2,26,108,3,10,79,1,229,409
"Selkirk--Interlake/Selkirk--Interlake"," 50","Gimli",4,25,123,2,6,109,1,270,393
"Selkirk--Interlake/Selkirk--Interlake"," 51","Gimli",0,22,73,2,8,69,1,175,307
"Selkirk--Interlake/Selkirk--Interlake"," 52","Gimli",2,69,158,3,13,169,0,414,694
"Selkirk--Interlake/Selkirk--Interlake"," 53","South Beach",0,21,144,1,7,108,0,281,500
"Selkirk--Interlake/Selkirk--Interlake"," 54","Husavick",0,14,60,1,2,53,1,131,311
"Selkirk--Interlake/Selkirk--Interlake"," 55","Husavick",1,32,117,0,5,82,0,237,435
"Selkirk--Interlake/Selkirk--Interlake"," 56","Winnipeg Beach",0,18,83,0,5,75,1,182,308
"Selkirk--Interlake/Selkirk--Interlake"," 57A","Winnipeg Beach",0,15,66,0,7,97,1,186,319
"Selkirk--Interlake/Selkirk--Interlake"," 57B","Winnipeg Beach",0,24,75,0,4,80,2,185,323
"Selkirk--Interlake/Selkirk--Interlake"," 58","Oak Point",0,12,103,0,0,48,1,164,274
"Selkirk--Interlake/Selkirk--Interlake"," 59","St. Laurent",0,16,61,1,4,38,0,120,217
"Selkirk--Interlake/Selkirk--Interlake"," 60","St. Laurent",1,69,85,1,5,100,2,263,574
"Selkirk--Interlake/Selkirk--Interlake"," 61","Inwood",1,16,155,3,6,91,0,272,430
"Selkirk--Interlake/Selkirk--Interlake"," 62","Erinview",0,13,160,0,6,46,0,225,357
"Selkirk--Interlake/Selkirk--Interlake"," 63","Lake Francis",0,24,108,0,4,40,0,176,343
"Selkirk--Interlake/Selkirk--Interlake"," 64","Reaburn",2,3,126,0,1,27,0,159,190
"Selkirk--Interlake/Selkirk--Interlake"," 65","Woodlands",3,18,180,4,16,59,1,281,462
"Selkirk--Interlake/Selkirk--Interlake"," 66","Woodlands",2,8,117,0,7,34,0,168,250
"Selkirk--Interlake/Selkirk--Interlake"," 67","Marquette",0,6,48,0,0,31,0,85,120
"Selkirk--Interlake/Selkirk--Interlake"," 68","Oswald",3,10,126,0,8,44,0,191,307
"Selkirk--Interlake/Selkirk--Interlake"," 69","Rosser",2,2,149,2,10,32,0,197,330
"Selkirk--Interlake/Selkirk--Interlake"," 70A","Warren",1,26,106,0,9,67,0,209,329
"Selkirk--Interlake/Selkirk--Interlake"," 70B","Warren",0,14,98,1,5,67,0,185,329
"Selkirk--Interlake/Selkirk--Interlake"," 71","Teulon",0,17,126,0,3,60,0,206,284
"Selkirk--Interlake/Selkirk--Interlake"," 72A","Teulon",4,18,144,1,7,82,0,256,409
"Selkirk--Interlake/Selkirk--Interlake"," 72B","Teulon",0,11,124,1,3,60,3,202,373
"Selkirk--Interlake/Selkirk--Interlake"," 73","Teulon",1,8,59,1,2,39,0,110,189
"Selkirk--Interlake/Selkirk--Interlake"," 74","Teulon",0,4,34,0,1,18,0,57,94
"Selkirk--Interlake/Selkirk--Interlake"," 75","Teulon",0,6,95,1,2,31,1,136,208
"Selkirk--Interlake/Selkirk--Interlake"," 76","Gunton",0,4,147,2,8,52,0,213,310
"Selkirk--Interlake/Selkirk--Interlake"," 77","Balmoral",0,13,97,1,9,42,0,162,257
"Selkirk--Interlake/Selkirk--Interlake"," 78","Balmoral",4,5,113,0,7,49,0,178,319
"Selkirk--Interlake/Selkirk--Interlake"," 79","Argyle",1,9,177,1,11,52,0,251,415
"Selkirk--Interlake/Selkirk--Interlake"," 80","Lait",3,2,93,1,6,40,0,145,240
"Selkirk--Interlake/Selkirk--Interlake"," 81","Stonewall",0,11,96,0,11,45,0,163,264
