Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Migniaud Dominique,Francine Lalonde,Christian Prévost,Benjamin Rankin,Nicolas Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 1","Montréal",13,141,41,12,13,2,222,374
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 2","Montréal",23,209,32,5,28,3,300,476
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 3","Montréal",17,110,32,9,8,1,177,366
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 4","Montréal",18,191,49,5,15,5,283,419
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 5","Montréal",14,209,65,13,31,2,334,472
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 6","Montréal",18,100,25,4,9,2,158,236
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7A","Montréal",16,92,28,3,9,5,153,323
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7B","Montréal",7,105,30,10,7,0,159,290
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 8","Montréal",17,192,29,6,13,4,261,491
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 9","Montréal",23,247,30,6,33,5,344,511
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 10","Montréal",15,126,33,2,13,1,190,299
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 11","Montréal",26,221,56,8,16,3,330,534
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 12","Montréal",40,226,67,11,28,2,374,576
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13A","Montréal",18,115,30,3,13,0,179,304
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13B","Montréal",12,134,20,2,9,2,179,311
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 14","Montréal",26,190,52,9,29,2,308,454
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 15","Montréal",31,115,31,4,18,5,204,383
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 16","Montréal",11,193,43,7,18,0,272,457
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 17","Montréal",26,199,46,5,20,4,300,460
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 18","Montréal",27,105,30,3,5,0,170,427
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 19A","Montréal",10,72,13,2,6,3,106,295
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 19B","Montréal",11,74,18,6,5,1,115,299
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 20","Montréal",49,157,43,5,14,7,275,420
