Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shirley Baril,Steven Blaney,Eric Boucher,Normand Cadrin,Mathieu Castonguay,Réal Lapierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lévis--Bellechasse/Lévis--Bellechasse"," 1","Lévis",2,50,6,15,6,42,2,123,310
"Lévis--Bellechasse/Lévis--Bellechasse"," 2","Lévis",16,82,14,6,11,65,2,196,409
"Lévis--Bellechasse/Lévis--Bellechasse"," 3","Lévis",15,81,8,10,6,49,4,173,332
"Lévis--Bellechasse/Lévis--Bellechasse"," 4","Lévis",30,83,10,16,7,60,2,208,348
"Lévis--Bellechasse/Lévis--Bellechasse"," 5","Lévis",14,71,15,10,12,69,1,192,301
"Lévis--Bellechasse/Lévis--Bellechasse"," 6","Lévis",11,120,13,10,29,63,3,249,452
"Lévis--Bellechasse/Lévis--Bellechasse"," 7","Lévis",13,108,25,17,20,85,4,272,492
"Lévis--Bellechasse/Lévis--Bellechasse"," 8","Lévis",4,102,13,12,11,80,1,223,361
"Lévis--Bellechasse/Lévis--Bellechasse"," 9","Lévis",2,65,8,7,5,50,0,137,200
"Lévis--Bellechasse/Lévis--Bellechasse"," 10","Lévis",13,152,20,22,10,102,1,320,493
"Lévis--Bellechasse/Lévis--Bellechasse"," 11","Lévis",14,94,7,13,6,70,1,205,376
"Lévis--Bellechasse/Lévis--Bellechasse"," 12","Lévis",12,108,15,10,14,61,0,220,374
"Lévis--Bellechasse/Lévis--Bellechasse"," 13","Lévis",4,81,10,9,8,65,3,180,368
"Lévis--Bellechasse/Lévis--Bellechasse"," 14","Lévis",18,82,19,12,9,65,2,207,401
"Lévis--Bellechasse/Lévis--Bellechasse"," 15","Lévis",15,71,12,12,10,68,7,195,582
"Lévis--Bellechasse/Lévis--Bellechasse"," 16","Lévis",15,120,5,34,14,83,3,274,517
"Lévis--Bellechasse/Lévis--Bellechasse"," 17","Lévis",15,97,9,14,13,68,1,217,312
"Lévis--Bellechasse/Lévis--Bellechasse"," 18","Lévis",14,122,9,35,12,59,1,252,445
"Lévis--Bellechasse/Lévis--Bellechasse"," 19","Lévis",5,95,13,13,13,88,3,230,450
"Lévis--Bellechasse/Lévis--Bellechasse"," 20","Lévis",3,102,10,14,11,66,0,206,364
"Lévis--Bellechasse/Lévis--Bellechasse"," 21","Lévis",5,50,6,12,16,39,1,129,272
"Lévis--Bellechasse/Lévis--Bellechasse"," 22A","Lévis",20,73,14,17,17,62,3,206,397
"Lévis--Bellechasse/Lévis--Bellechasse"," 22B","Mobile poll/Bureau itinérant",33,27,4,3,2,16,1,86,42
"Lévis--Bellechasse/Lévis--Bellechasse"," 23","Lévis",27,100,20,24,15,85,5,276,441
"Lévis--Bellechasse/Lévis--Bellechasse"," 24A","Lévis",9,58,13,20,15,59,2,176,336
"Lévis--Bellechasse/Lévis--Bellechasse"," 24B","Mobile poll/Bureau itinérant",Merged with No. 22B/Fusionné avec le nº 22B,,,,,,,,53
"Lévis--Bellechasse/Lévis--Bellechasse"," 24C","Mobile poll/Bureau itinérant",Merged with No. 22B/Fusionné avec le nº 22B,,,,,,,,23
"Lévis--Bellechasse/Lévis--Bellechasse"," 25","Lévis",15,110,30,19,25,101,2,302,407
"Lévis--Bellechasse/Lévis--Bellechasse"," 26","Lévis",17,238,19,45,14,129,3,465,732
"Lévis--Bellechasse/Lévis--Bellechasse"," 27","Lévis",13,117,19,25,20,95,2,291,466
"Lévis--Bellechasse/Lévis--Bellechasse"," 28","Lévis",17,97,20,16,12,117,3,282,472
"Lévis--Bellechasse/Lévis--Bellechasse"," 29","Lévis",15,78,16,19,18,79,2,227,374
"Lévis--Bellechasse/Lévis--Bellechasse"," 30","Lévis",13,83,10,12,13,69,0,200,414
"Lévis--Bellechasse/Lévis--Bellechasse"," 31","Lévis",13,72,10,26,17,49,2,189,310
"Lévis--Bellechasse/Lévis--Bellechasse"," 32","Lévis",9,65,11,21,15,80,0,201,408
"Lévis--Bellechasse/Lévis--Bellechasse"," 33","Lévis",18,49,10,6,12,42,3,140,319
"Lévis--Bellechasse/Lévis--Bellechasse"," 34","Lévis",15,87,13,15,9,81,0,220,440
"Lévis--Bellechasse/Lévis--Bellechasse"," 35","Lévis",71,88,8,10,7,46,9,239,400
"Lévis--Bellechasse/Lévis--Bellechasse"," 36","Lévis",15,63,23,19,13,70,2,205,380
"Lévis--Bellechasse/Lévis--Bellechasse"," 37","Lévis",24,62,13,15,13,71,2,200,385
"Lévis--Bellechasse/Lévis--Bellechasse"," 38","Lévis",17,79,17,17,22,63,2,217,386
"Lévis--Bellechasse/Lévis--Bellechasse"," 39","Lévis",15,79,16,13,17,73,1,214,336
"Lévis--Bellechasse/Lévis--Bellechasse"," 40","Lévis",11,99,20,9,9,65,2,215,395
