Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Royal Galipeau,Marc Godbout,Mark Andrew Leahy,Alain Saint-Yves,Sarah Samplonius,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ottawa--Orléans/Ottawa--Orléans"," 1","Gloucester",83,85,52,2,7,1,230,354
"Ottawa--Orléans/Ottawa--Orléans"," 2","Gloucester",110,76,40,1,17,1,245,370
"Ottawa--Orléans/Ottawa--Orléans"," 3","Gloucester",96,110,60,4,8,0,278,475
"Ottawa--Orléans/Ottawa--Orléans"," 4","Gloucester",86,79,39,1,10,2,217,311
"Ottawa--Orléans/Ottawa--Orléans"," 5","Gloucester",87,133,38,4,11,0,273,430
"Ottawa--Orléans/Ottawa--Orléans"," 6","Gloucester",66,84,49,2,12,1,214,379
"Ottawa--Orléans/Ottawa--Orléans"," 7A","Gloucester",107,115,42,2,12,0,278,387
"Ottawa--Orléans/Ottawa--Orléans"," 7B","Mobile poll/Bureau itinérant",Merged with No. 32B/Fusionné avec le nº 32B,,,,,,,48
"Ottawa--Orléans/Ottawa--Orléans"," 8","Gloucester",Merged with No. 7A/Fusionné avec le nº 7A,,,,,,,185
"Ottawa--Orléans/Ottawa--Orléans"," 9","Gloucester",70,78,38,0,10,1,197,380
"Ottawa--Orléans/Ottawa--Orléans"," 10","Gloucester",70,96,36,0,11,0,213,349
"Ottawa--Orléans/Ottawa--Orléans"," 11","Gloucester",75,84,42,1,9,1,212,330
"Ottawa--Orléans/Ottawa--Orléans"," 12","Gloucester",75,85,29,3,6,1,199,335
"Ottawa--Orléans/Ottawa--Orléans"," 13","Gloucester",99,92,48,2,18,3,262,549
"Ottawa--Orléans/Ottawa--Orléans"," 14","Gloucester",15,23,3,1,1,0,43,129
"Ottawa--Orléans/Ottawa--Orléans"," 15","Gloucester",118,120,42,2,12,1,295,432
"Ottawa--Orléans/Ottawa--Orléans"," 16","Gloucester",99,77,40,2,15,0,233,382
"Ottawa--Orléans/Ottawa--Orléans"," 17","Gloucester",88,71,31,0,8,2,200,317
"Ottawa--Orléans/Ottawa--Orléans"," 18","Gloucester",120,103,38,1,21,1,284,407
"Ottawa--Orléans/Ottawa--Orléans"," 19","Gloucester",119,99,51,2,13,2,286,407
"Ottawa--Orléans/Ottawa--Orléans"," 20","Gloucester",108,93,49,7,6,0,263,454
"Ottawa--Orléans/Ottawa--Orléans"," 21","Gloucester",97,106,54,2,9,1,269,459
"Ottawa--Orléans/Ottawa--Orléans"," 22","Gloucester",126,72,37,1,8,2,246,392
"Ottawa--Orléans/Ottawa--Orléans"," 23","Gloucester",107,70,41,1,15,0,234,371
"Ottawa--Orléans/Ottawa--Orléans"," 24","Gloucester",85,65,28,3,7,0,188,289
"Ottawa--Orléans/Ottawa--Orléans"," 25","Gloucester",74,93,40,2,10,0,219,571
"Ottawa--Orléans/Ottawa--Orléans"," 26","Gloucester",40,45,31,9,4,0,129,233
"Ottawa--Orléans/Ottawa--Orléans"," 27","Gloucester",111,111,70,4,23,2,321,580
"Ottawa--Orléans/Ottawa--Orléans"," 28","Gloucester",83,85,51,2,12,1,234,398
"Ottawa--Orléans/Ottawa--Orléans"," 29","Gloucester",90,85,45,2,9,0,231,344
"Ottawa--Orléans/Ottawa--Orléans"," 30","Gloucester",80,65,34,2,7,0,188,331
"Ottawa--Orléans/Ottawa--Orléans"," 31","Gloucester",Merged with No. 32A/Fusionné avec le nº 32A,,,,,,,320
"Ottawa--Orléans/Ottawa--Orléans"," 32A","Gloucester",152,156,70,2,17,1,398,333
"Ottawa--Orléans/Ottawa--Orléans"," 32B","Mobile poll/Bureau itinérant",24,79,2,1,2,1,109,163
"Ottawa--Orléans/Ottawa--Orléans"," 33","Gloucester",95,140,36,6,15,0,292,413
"Ottawa--Orléans/Ottawa--Orléans"," 34","Cumberland",95,93,41,4,12,1,246,364
