Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Epp,Laurie Lang,Lynn T. Lau,Ron Symic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 38","Edmonton",170,43,12,66,1,292,579
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 39","Edmonton",61,7,4,4,0,76,161
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 40","Edmonton",183,35,20,33,0,271,508
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 41","Edmonton",Merged with No. 42/Fusionné avec le nº 42,,,,,,36
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 42","Edmonton",60,18,6,13,0,97,202
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 43A","Edmonton",177,74,25,57,1,334,600
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 43B","Edmonton",133,53,14,45,4,249,498
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 44","Edmonton",225,51,20,81,0,377,739
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 45","Edmonton",110,49,15,55,0,229,420
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 46","Edmonton",109,41,8,59,0,217,447
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 47","Edmonton",165,45,12,61,0,283,544
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 48","Edmonton",124,45,13,43,0,225,460
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 49","Edmonton",138,43,22,38,0,241,519
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 50","Edmonton",81,44,14,36,0,175,303
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 51","Edmonton",153,64,16,39,2,274,512
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 52","Edmonton",191,71,21,67,0,350,552
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 53A","Edmonton",141,56,16,58,0,271,633
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 53B","Edmonton",127,58,16,43,1,245,528
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 54","Edmonton",111,42,18,37,0,208,371
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 55","Edmonton",138,54,10,50,0,252,468
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 56","Edmonton",119,36,11,50,0,216,426
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 57","Edmonton",125,50,8,50,0,233,462
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 58","Edmonton",104,29,11,32,0,176,388
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 59","Edmonton",101,56,16,42,0,215,423
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 60","Edmonton",137,45,10,45,0,237,436
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 61","Edmonton",96,35,11,29,2,173,268
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 62","Edmonton",169,38,17,35,1,260,437
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 63","Edmonton",102,35,10,34,2,183,376
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 64","Edmonton",141,27,21,29,0,218,376
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 65","Edmonton",111,32,3,30,0,176,335
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 66","Edmonton",118,38,22,40,0,218,383
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 67","Edmonton",123,50,9,52,0,234,481
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 68","Edmonton",55,14,4,26,0,99,320
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 69","Edmonton",77,33,3,36,0,149,306
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 70","Edmonton",67,38,15,43,0,163,472
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 71","Edmonton",121,39,17,36,0,213,369
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 72","Edmonton",180,56,9,61,0,306,568
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 73","Edmonton",90,32,12,30,0,164,383
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 74","Edmonton",128,55,12,38,0,233,373
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 75","Edmonton",66,30,10,25,2,133,266
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 76","Edmonton",66,39,3,46,0,154,462
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 77","Edmonton",111,41,13,41,0,206,391
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 78","Edmonton",207,69,19,66,4,365,695
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 79","Edmonton",138,54,8,46,0,246,412
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 80","Edmonton",93,40,14,40,0,187,371
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 81","Edmonton",112,28,10,17,0,167,304
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 82","Edmonton",64,30,16,38,0,148,276
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 83","Edmonton",63,31,14,14,0,122,262
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 84","Edmonton",119,37,9,30,0,195,343
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 85","Edmonton",74,24,7,26,1,132,279
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 86","Edmonton",72,34,14,35,0,155,377
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 87","Edmonton",78,32,9,38,0,157,258
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 88","Edmonton",85,26,11,25,0,147,339
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 89","Edmonton",55,24,4,23,0,106,321
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 90","Edmonton",114,67,11,33,1,226,400
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 91","Edmonton",52,32,2,26,0,112,242
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 92","Edmonton",95,32,12,28,0,167,368
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 93","Edmonton",62,23,10,24,1,120,258
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 94","Edmonton",117,53,11,47,0,228,452
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 95","Edmonton",274,86,29,80,0,469,929
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 96","Sandy Beach",128,37,13,18,0,196,440
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 97","East Edmonton",151,30,19,30,1,231,390
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 98","Sherwood Park",355,93,32,65,0,545,886
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 99","Sherwood Park",153,38,26,51,1,269,481
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 100","Sherwood Park",175,24,22,34,0,255,382
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 101","Sherwood Park",186,25,16,19,2,248,386
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 102","Sherwood Park",223,33,18,29,1,304,446
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 103","Sherwood Park",174,30,12,22,1,239,414
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 104","Sherwood Park",122,27,10,37,1,197,338
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 105","Sherwood Park",523,55,40,59,0,677,1057
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 106","Sherwood Park",136,21,14,19,0,190,354
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 107","Sherwood Park",157,26,13,20,0,216,335
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 108","Sherwood Park",155,25,19,16,0,215,339
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 109","Sherwood Park",101,29,12,29,0,171,284
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 110A","Sherwood Park",235,25,18,31,0,309,514
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 110B","Sherwood Park",176,15,22,31,0,244,452
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 111","Sherwood Park",184,28,12,36,0,260,480
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 112","Sherwood Park",174,23,16,40,0,253,438
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 113","Strathcona Park",192,46,24,43,0,305,479
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 114","Sherwood Park",214,42,30,61,1,348,524
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 115","Sherwood Park",151,32,31,49,0,263,437
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 116","Sherwood Park",163,35,23,33,1,255,390
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 117","Sherwood Park",189,29,27,37,0,282,500
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 118","Sherwood Park",121,22,15,21,0,179,266
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 119","Sherwood Park",143,23,30,39,0,235,399
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 120","Sherwood Park",138,33,22,20,0,213,309
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 121","Sherwood Park",107,20,14,19,0,160,341
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 122","Sherwood Park",120,23,19,21,0,183,266
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 123","Sherwood Park",169,42,50,47,0,308,463
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 124","Sherwood Park",150,29,24,45,0,248,406
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 125","Sherwood Park",149,30,22,30,0,231,360
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 126","Sherwood Park",183,40,18,36,1,278,389
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 127","Sherwood Park",137,35,11,25,0,208,303
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 128","Sherwood Park",188,32,29,33,0,282,443
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 129","Sherwood Park",177,46,21,18,0,262,433
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 130","Sherwood Park",154,32,22,27,0,235,380
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 131","Sherwood Park",165,28,21,37,0,251,405
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 132","Sherwood Park",110,21,18,24,0,173,310
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 133","Sherwood Park",123,30,16,35,0,204,357
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 134","Sherwood Park",149,41,27,21,0,238,421
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 135","Sherwood Park",166,32,38,34,0,270,427
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 136","Sherwood Park",181,43,21,29,0,274,444
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 137","Sherwood Park",157,29,27,27,0,240,414
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 138","Sherwood Park",215,46,53,38,0,352,554
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 139","Sherwood Park",150,20,20,30,0,220,346
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 140","Sherwood Park",115,27,31,20,0,193,314
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 141","Sherwood Park",165,48,28,40,0,281,458
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 142","Sherwood Park",159,31,23,22,0,235,436
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 143A","Sherwood Park",204,53,28,37,2,324,510
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 143B","Sherwood Park",189,30,17,25,1,262,471
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 144","Sherwood Park",156,40,27,38,1,262,390
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 145","Sherwood Park",183,37,12,29,0,261,423
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 146","Sherwood Park",185,40,27,42,0,294,455
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 147","Sherwood Park",242,39,24,31,2,338,495
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 148","Sherwood Park",266,41,27,34,0,368,554
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 149","Sherwood Park",247,26,22,40,0,335,551
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 150","Sherwood Park",213,36,30,48,1,328,488
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 151","Sherwood Park",176,40,28,46,0,290,436
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 152","Sherwood Park",196,27,22,32,1,278,426
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 153A","Sherwood Park",206,28,13,35,0,282,466
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 153B","Sherwood Park",167,34,21,27,0,249,414
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 154A","Sherwood Park",232,29,19,40,0,320,505
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 154B","Sherwood Park",196,24,21,51,1,293,488
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 155","Sherwood Park",116,20,21,34,0,191,325
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 156","Sherwood Park",102,44,11,15,0,172,302
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 157","Sherwood Park",111,34,20,34,0,199,394
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 158","Sherwood Park",93,22,37,27,1,180,340
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 159","Sherwood Park",121,33,16,23,1,194,315
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 160","Sherwood Park",145,40,31,29,0,245,380
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 161","Sherwood Park",88,10,17,19,0,134,253
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 162","Sherwood Park",123,29,11,29,0,192,310
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 163","Sherwood Park",104,24,15,20,0,163,292
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 164","Sherwood Park",131,28,19,33,0,211,317
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 165","Sherwood Park",117,42,25,17,0,201,318
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 166","Sherwood Park",146,34,23,41,0,244,382
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 167","Sherwood Park",118,25,19,31,2,195,336
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 168","Sherwood Park",113,14,13,21,1,162,248
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 169","Sherwood Park",185,33,14,34,0,266,414
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 170","Sherwood Park",109,33,15,18,0,175,294
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 171","Sherwood Park",140,35,12,15,2,204,330
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 172","Sherwood Park",105,20,18,26,0,169,256
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 173","Sherwood Park",124,16,35,35,0,210,346
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 174","Sherwood Park",165,24,20,29,1,239,376
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 175","Sherwood Park",150,33,21,28,1,233,343
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 176","Sherwood Park",126,28,20,24,0,198,291
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 177","Sherwood Park",150,36,16,19,0,221,332
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 178","Sherwood Park",118,33,18,20,0,189,305
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 179","Sherwood Park",215,41,11,42,0,309,508
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 180","Sherwood Park",157,19,19,19,0,214,375
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 181","Sherwood Park",223,32,21,39,1,316,480
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 182","Sherwood Park",375,66,20,58,0,519,815
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 183A","Sherwood Park",191,47,24,37,1,300,534
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 183B","Sherwood Park",195,37,30,33,0,295,473
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 184","Sherwood Park",138,24,17,23,1,203,334
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 185","Sherwood Park",184,28,8,22,0,242,383
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 186","Sherwood Park",163,39,17,21,0,240,398
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 187","Sherwood Park",152,13,6,27,0,198,325
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 188","Sherwood Park",328,41,31,49,1,450,724
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 189","Campbelltown (Sherwood Park)",251,42,27,53,0,373,691
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 190","Whitecroft",261,26,39,35,0,361,606
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 191","Whitecroft",221,27,22,35,0,305,467
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 192","Whitecroft",196,30,18,24,1,269,433
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 193","Whitecroft",182,16,10,15,0,223,354
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 500","Mobile poll/Bureau itinérant",49,11,7,18,2,87,190
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 501","Mobile poll/Bureau itinérant",93,22,6,18,2,141,233
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 502","Mobile poll/Bureau itinérant",60,15,4,21,3,103,132
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 503","Mobile poll/Bureau itinérant",51,33,20,35,2,141,185
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 600","Fort Saskatchewan--Strathcona County",217,41,23,35,1,317,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 601","Fort Saskatchewan",294,33,10,40,0,377,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 602","Edmonton",171,29,8,59,0,267,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 603","Edmonton",95,22,10,11,0,138,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 604","Edmonton",233,64,14,80,0,391,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 605","Edmonton",291,96,26,84,0,497,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 606","Edmonton--Strathcona County",94,15,5,14,0,128,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 607","Strathcona County",428,60,24,60,1,573,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 608","Strathcona County",178,27,16,34,0,255,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 609","Strathcona County",331,51,47,49,0,478,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 610","Strathcona County",386,40,28,73,0,527,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 611","Strathcona County",150,12,11,31,0,204,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 612","Strathcona County",453,45,28,71,1,598,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 613","Strathcona County",173,11,9,35,0,228,
"Edmonton--Sherwood Park/Edmonton--Sherwood Park",,Group 1/Groupe 1,74,15,14,33,4,140,301
"Edmonton--Sherwood Park/Edmonton--Sherwood Park",,Group 2/Groupe 2,759,86,42,123,27,1037,
