Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Francine Brière,Jean Lambert,Paula Maundcote,Diane St-Jacques,Robert Vincent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Shefford/Shefford"," 1","Rougemont",16,76,19,61,113,3,288,448
"Shefford/Shefford"," 2","Rougemont",13,59,19,27,113,5,236,335
"Shefford/Shefford"," 3","Rougemont",10,55,8,23,105,2,203,343
"Shefford/Shefford"," 4","Rougemont",10,50,16,34,119,6,235,366
"Shefford/Shefford"," 5","Rougemont",15,94,21,43,228,7,408,620
"Shefford/Shefford"," 6","Saint-Césaire",11,49,19,34,132,5,250,434
"Shefford/Shefford"," 7","Saint-Césaire",12,79,17,43,192,12,355,616
"Shefford/Shefford"," 8","Saint-Césaire",10,39,11,29,111,2,202,313
"Shefford/Shefford"," 9","Saint-Paul-d'Abbotsford",15,77,17,68,114,3,294,489
"Shefford/Shefford"," 10","Saint-Paul-d'Abbotsford",13,63,10,56,102,3,247,383
"Shefford/Shefford"," 11","Saint-Paul-d'Abbotsford",15,69,6,40,104,4,238,389
"Shefford/Shefford"," 12","Saint-Paul-d'Abbotsford",15,97,12,53,149,5,331,498
"Shefford/Shefford"," 13","Saint-Paul-d'Abbotsford",11,69,12,36,119,6,253,440
"Shefford/Shefford"," 14","Saint-Césaire",12,61,11,33,108,0,225,407
"Shefford/Shefford"," 15","Saint-Césaire",5,35,9,25,84,0,158,327
"Shefford/Shefford"," 16","Saint-Césaire",9,28,6,29,91,3,166,337
"Shefford/Shefford"," 17","Saint-Césaire",5,70,10,35,106,9,235,389
"Shefford/Shefford"," 18","Saint-Césaire",10,80,22,32,138,6,288,487
"Shefford/Shefford"," 19","Sainte-Angèle-de-Monnoir",2,39,6,31,59,1,138,234
"Shefford/Shefford"," 20","Sainte-Angèle-de-Monnoir",19,56,20,38,166,8,307,437
"Shefford/Shefford"," 21","Sainte-Angèle-de-Monnoir",19,54,26,34,181,7,321,470
"Shefford/Shefford"," 22","Saint-Césaire",9,23,11,25,58,1,127,274
"Shefford/Shefford"," 23","Saint-Césaire",9,49,16,37,79,2,192,333
"Shefford/Shefford"," 24","Ange-Gardien",10,86,15,53,163,12,339,510
"Shefford/Shefford"," 25","Ange-Gardien",14,94,15,57,100,3,283,469
"Shefford/Shefford"," 26","Ange-Gardien",11,73,13,55,98,2,252,427
"Shefford/Shefford"," 27","Sainte-Cécile-de-Milton",8,73,18,43,139,9,290,489
"Shefford/Shefford"," 28","Sainte-Cécile-de-Milton",14,85,8,49,166,6,328,513
"Shefford/Shefford"," 29","Sainte-Cécile-de-Milton",5,79,11,53,144,6,298,473
"Shefford/Shefford"," 30","Granby",4,70,14,38,124,8,258,456
"Shefford/Shefford"," 31","Granby",9,80,16,65,159,7,336,509
"Shefford/Shefford"," 32","Granby",9,99,7,51,162,3,331,475
"Shefford/Shefford"," 33","Granby",10,101,9,73,143,7,343,523
"Shefford/Shefford"," 34","Granby",4,57,7,49,87,2,206,283
"Shefford/Shefford"," 35","Granby",9,90,18,74,116,5,312,468
"Shefford/Shefford"," 36","Granby",12,83,14,53,164,4,330,504
"Shefford/Shefford"," 36-1","Granby",12,54,17,51,69,2,205,316
"Shefford/Shefford"," 37","Granby",8,64,13,55,137,5,282,437
"Shefford/Shefford"," 38","Granby",8,68,11,48,110,10,255,425
"Shefford/Shefford"," 39","Granby",11,105,22,67,193,7,405,615
"Shefford/Shefford"," 40","Granby",5,43,12,33,80,0,173,285
"Shefford/Shefford"," 41","Granby",9,84,10,52,160,0,315,496
"Shefford/Shefford"," 42","Granby",12,106,18,57,126,4,323,544
"Shefford/Shefford"," 43","Granby",15,64,16,43,110,6,254,454
"Shefford/Shefford"," 44A","Granby",4,49,9,24,84,8,178,367
"Shefford/Shefford"," 44B","Granby",6,45,4,25,109,1,190,359
"Shefford/Shefford"," 45","Granby",3,49,10,45,76,3,186,328
"Shefford/Shefford"," 46","Granby",14,100,20,84,160,11,389,582
"Shefford/Shefford"," 47","Granby",5,31,9,50,78,2,175,274
"Shefford/Shefford"," 48","Saint-Alphonse",7,77,10,60,118,10,282,439
"Shefford/Shefford"," 49","Saint-Alphonse",15,61,14,34,144,5,273,405
"Shefford/Shefford"," 50","Saint-Alphonse",8,62,6,54,88,7,225,362
"Shefford/Shefford"," 51","Saint-Alphonse",17,75,10,45,142,10,299,430
"Shefford/Shefford"," 52","Saint-Alphonse",13,73,19,26,157,10,298,452
"Shefford/Shefford"," 53","Granby",3,70,4,80,80,2,239,458
"Shefford/Shefford"," 54","Granby",7,93,7,159,91,9,366,541
"Shefford/Shefford"," 55A","Granby",1,42,7,46,71,3,170,331
"Shefford/Shefford"," 55B","Granby",5,58,3,47,63,5,181,336
"Shefford/Shefford"," 56","Granby",10,58,14,66,122,9,279,475
"Shefford/Shefford"," 57","Granby",8,51,8,45,102,4,218,360
"Shefford/Shefford"," 58","Granby",13,46,7,55,97,6,224,368
"Shefford/Shefford"," 59","Granby",13,62,13,40,105,5,238,436
"Shefford/Shefford"," 60","Granby",12,53,3,57,91,2,218,359
"Shefford/Shefford"," 61","Granby",10,69,18,63,120,3,283,433
"Shefford/Shefford"," 62","Granby",9,100,15,87,148,5,364,553
"Shefford/Shefford"," 63A","Granby",7,52,14,51,99,1,224,355
"Shefford/Shefford"," 63B","Granby",7,51,4,66,80,3,211,346
"Shefford/Shefford"," 64","Granby",17,72,21,87,119,1,317,500
"Shefford/Shefford"," 65","Granby",1,57,10,87,89,1,245,391
"Shefford/Shefford"," 66","Granby",10,39,11,59,84,11,214,369
"Shefford/Shefford"," 67","Granby",7,49,11,84,88,4,243,359
"Shefford/Shefford"," 68","Granby",10,51,13,55,88,4,221,358
"Shefford/Shefford"," 69","Granby",8,37,8,29,67,3,152,276
"Shefford/Shefford"," 70","Granby",4,45,11,39,62,4,165,310
"Shefford/Shefford"," 71","Granby",5,57,9,60,74,3,208,385
"Shefford/Shefford"," 72","Granby",5,67,10,75,101,4,262,497
"Shefford/Shefford"," 73","Granby",7,64,14,78,90,2,255,443
"Shefford/Shefford"," 74","Granby",13,78,4,92,94,2,283,485
"Shefford/Shefford"," 75","Granby",13,73,14,79,92,0,271,448
"Shefford/Shefford"," 76","Granby",9,57,9,64,90,5,234,449
"Shefford/Shefford"," 77","Granby",6,24,2,21,65,0,118,275
"Shefford/Shefford"," 78","Granby",12,49,6,50,67,4,188,333
"Shefford/Shefford"," 79","Granby",9,57,7,42,100,4,219,405
"Shefford/Shefford"," 80","Granby",3,40,15,66,95,2,221,355
"Shefford/Shefford"," 81","Granby",19,46,16,83,86,1,251,381
"Shefford/Shefford"," 82","Granby",10,37,12,45,92,2,198,406
"Shefford/Shefford"," 83","Granby",8,26,2,32,66,3,137,345
"Shefford/Shefford"," 84","Granby",7,25,13,38,80,6,169,344
"Shefford/Shefford"," 85","Granby",8,46,15,65,107,4,245,514
"Shefford/Shefford"," 86","Granby",3,40,8,41,89,5,186,406
"Shefford/Shefford"," 87","Granby",10,28,4,31,50,2,125,344
"Shefford/Shefford"," 88","Granby",11,40,9,41,94,4,199,334
"Shefford/Shefford"," 89","Granby",10,47,18,67,82,2,226,419
"Shefford/Shefford"," 90","Granby",11,47,8,68,102,0,236,358
"Shefford/Shefford"," 91","Granby",8,76,10,84,88,1,267,448
"Shefford/Shefford"," 92","Granby",11,53,16,80,126,0,286,471
"Shefford/Shefford"," 93","Granby",0,54,4,43,64,2,167,287
"Shefford/Shefford"," 94","Granby",6,27,2,24,57,0,116,153
"Shefford/Shefford"," 95A","Granby",8,66,14,55,118,5,266,516
"Shefford/Shefford"," 95B","Granby",9,84,20,57,118,1,289,513
"Shefford/Shefford"," 96","Granby",7,78,13,58,114,9,279,497
"Shefford/Shefford"," 96-1","Granby",7,52,8,28,115,9,219,378
"Shefford/Shefford"," 97","Granby",11,34,8,27,111,5,196,482
"Shefford/Shefford"," 98","Granby",5,38,7,62,142,5,259,635
"Shefford/Shefford"," 99","Granby",14,57,12,35,116,2,236,440
"Shefford/Shefford"," 100","Granby",5,75,8,39,148,0,275,528
"Shefford/Shefford"," 101","Granby",6,33,6,36,75,3,159,316
"Shefford/Shefford"," 102","Granby",4,54,9,40,81,0,188,495
"Shefford/Shefford"," 103","Granby",5,50,8,49,98,3,213,386
