Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Dewar,Walter Kolisnyk,Inky Mark,Kathy Storey,Iris Yawney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 1","Barrows",41,33,11,2,0,0,87,133
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 2","Mafeking",33,29,55,0,0,0,117,257
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 3","Pelican Rapids",82,140,2,0,4,1,229,377
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 4","Birch River",41,37,104,4,0,0,186,351
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 5","Birch River",42,25,57,0,0,1,125,247
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 6","Bowsman",10,34,161,10,3,1,219,385
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 7","Bowsman",10,26,96,4,2,1,139,237
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 8","Big Woody",9,34,65,5,1,0,114,188
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 9","Swan River",12,48,139,3,1,0,203,325
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 10","Swan River",40,76,121,6,1,0,244,403
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 11","Swan River",37,55,175,13,2,1,283,527
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 12","Swan River",37,58,212,6,1,0,314,466
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 13","Swan River",10,32,57,2,2,3,106,218
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 14","Swan River",33,37,105,3,2,0,180,324
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 15","Swan River",31,58,119,6,1,1,216,369
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 16","Swan River",20,55,145,8,4,2,234,404
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 17","Swan River",20,54,79,1,1,1,156,277
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 18","Swan River",19,27,124,8,3,2,183,342
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 19","Minitonas",9,23,100,9,2,0,143,245
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 20","Minitonas",14,53,168,6,4,4,249,377
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 21","Minitonas",15,31,113,8,0,0,167,349
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 22","Benito",9,16,81,5,0,1,112,225
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 23A","Benito",28,39,112,2,1,0,182,325
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 23B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,17
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 24","Kenville",29,31,142,6,1,0,209,369
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 25","Durban",8,23,100,4,2,0,137,252
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 26","Duck Bay",122,27,21,0,0,0,170,334
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 27","Duck River",107,81,20,6,0,1,215,562
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28A","Pine Creek 66A",27,4,5,0,0,0,36,56
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28B","Pine Creek 66A",45,8,0,0,0,1,54,69
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28C","Pine Creek 66A",32,7,5,0,0,1,45,54
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 29","Pine River",19,48,64,4,3,1,139,244
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 30","Winnipegosis",21,25,89,6,2,0,143,240
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 31","Winnipegosis",35,36,69,2,1,1,144,277
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 32","Winnipegosis",20,44,64,2,2,0,132,271
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 33","Mink Creek",9,63,81,6,5,3,167,256
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 34","Ethelbert",27,66,100,7,5,0,205,308
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 35","Ethelbert",15,22,77,2,0,1,117,225
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 36","San Clara",49,21,86,8,0,2,166,282
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 37","Zelena",17,26,90,6,1,0,140,242
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 38","Roblin",12,22,98,11,0,0,143,234
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 39","Roblin",12,26,69,2,2,1,112,237
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 40","Roblin",18,20,69,3,0,1,111,235
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 41","Roblin",23,40,140,10,1,0,214,399
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 42","Roblin",20,19,112,8,1,0,160,258
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 43A","Roblin",18,15,70,13,0,0,116,176
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 43B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,35
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 43C","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,35
