Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Dewar,Sylvia Gerl,Vicki Gunn,Peter Van Loan,Kate Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York--Simcoe/York--Simcoe"," 1","Innisfil",17,40,1,110,82,0,250,519
"York--Simcoe/York--Simcoe"," 2","Innisfil",22,45,0,128,88,0,283,511
"York--Simcoe/York--Simcoe"," 3A","Innisfil",23,34,0,81,46,1,185,337
"York--Simcoe/York--Simcoe"," 3B","Innisfil",19,40,1,61,53,2,176,322
"York--Simcoe/York--Simcoe"," 4","Innisfil",13,48,5,97,104,0,267,455
"York--Simcoe/York--Simcoe"," 5","Innisfil",17,27,3,102,79,0,228,470
"York--Simcoe/York--Simcoe"," 6","Innisfil",Merged with No. 8/Fusionné avec le nº 8,,,,,,,103
"York--Simcoe/York--Simcoe"," 7","Innisfil",7,30,0,79,95,0,211,327
"York--Simcoe/York--Simcoe"," 8","Innisfil",17,33,1,134,72,0,257,225
"York--Simcoe/York--Simcoe"," 9","Innisfil",10,33,3,67,69,0,182,287
"York--Simcoe/York--Simcoe"," 10","Innisfil",9,33,2,115,95,2,256,396
"York--Simcoe/York--Simcoe"," 11","Innisfil",11,55,0,97,74,0,237,397
"York--Simcoe/York--Simcoe"," 12","Innisfil",Merged with No. 8/Fusionné avec le nº 8,,,,,,,66
"York--Simcoe/York--Simcoe"," 13","Innisfil",8,29,0,120,119,1,277,506
"York--Simcoe/York--Simcoe"," 14","Innisfil",24,44,3,131,79,0,281,452
"York--Simcoe/York--Simcoe"," 15","Innisfil",28,48,4,158,87,1,326,522
"York--Simcoe/York--Simcoe"," 16","Innisfil",20,27,1,136,87,0,271,410
"York--Simcoe/York--Simcoe"," 17","Innisfil",21,23,5,138,55,0,242,419
"York--Simcoe/York--Simcoe"," 18","Innisfil",24,22,4,125,86,0,261,537
"York--Simcoe/York--Simcoe"," 19","Innisfil",8,20,3,89,46,0,166,312
"York--Simcoe/York--Simcoe"," 20","Innisfil",29,31,5,147,80,2,294,547
"York--Simcoe/York--Simcoe"," 21","Innisfil",18,21,0,101,72,0,212,390
"York--Simcoe/York--Simcoe"," 22","Innisfil",22,34,1,146,74,0,277,488
"York--Simcoe/York--Simcoe"," 23","Innisfil",35,50,4,185,96,0,370,551
"York--Simcoe/York--Simcoe"," 24","Innisfil",15,30,1,104,50,0,200,311
"York--Simcoe/York--Simcoe"," 25","Innisfil",23,55,4,85,59,0,226,459
"York--Simcoe/York--Simcoe"," 26","Innisfil",14,28,1,84,58,0,185,378
"York--Simcoe/York--Simcoe"," 27","Innisfil",13,26,0,62,37,2,140,263
"York--Simcoe/York--Simcoe"," 28","Innisfil",27,25,2,89,56,0,199,378
"York--Simcoe/York--Simcoe"," 29","Innisfil",9,32,2,85,54,0,182,344
"York--Simcoe/York--Simcoe"," 30","Innisfil",18,14,2,80,34,0,148,325
"York--Simcoe/York--Simcoe"," 31","Innisfil",10,42,0,72,54,0,178,334
"York--Simcoe/York--Simcoe"," 32","Innisfil",20,38,2,99,76,0,235,445
"York--Simcoe/York--Simcoe"," 33","Innisfil",12,25,2,73,46,0,158,328
"York--Simcoe/York--Simcoe"," 34","Innisfil",13,34,3,72,66,0,188,372
"York--Simcoe/York--Simcoe"," 35","Innisfil",12,26,1,97,58,1,195,356
"York--Simcoe/York--Simcoe"," 36","Innisfil",12,35,1,61,31,1,141,284
"York--Simcoe/York--Simcoe"," 37","Innisfil",29,34,4,84,80,0,231,439
"York--Simcoe/York--Simcoe"," 38","Innisfil",20,29,2,102,53,0,206,410
"York--Simcoe/York--Simcoe"," 39","Innisfil",24,65,2,143,70,1,305,507
"York--Simcoe/York--Simcoe"," 40","Innisfil",12,34,0,99,80,0,225,395
"York--Simcoe/York--Simcoe"," 41A","Innisfil",17,33,1,150,86,3,290,484
"York--Simcoe/York--Simcoe"," 41B","Innisfil",16,41,2,123,63,0,245,474
"York--Simcoe/York--Simcoe"," 42","Innisfil",14,22,1,124,58,0,219,448
"York--Simcoe/York--Simcoe"," 43","Innisfil",12,27,0,65,71,0,175,291
"York--Simcoe/York--Simcoe"," 44A","Innisfil",20,23,2,116,74,0,235,475
"York--Simcoe/York--Simcoe"," 44B","Innisfil",20,37,5,120,72,0,254,472
"York--Simcoe/York--Simcoe"," 45","Innisfil",21,46,4,93,65,0,229,470
"York--Simcoe/York--Simcoe"," 46","Innisfil",22,36,3,102,64,1,228,469
"York--Simcoe/York--Simcoe"," 47","Innisfil",26,47,3,100,58,0,234,436
"York--Simcoe/York--Simcoe"," 48","Innisfil",23,33,1,114,73,0,244,505
"York--Simcoe/York--Simcoe"," 49","Innisfil",9,32,1,117,77,0,236,466
"York--Simcoe/York--Simcoe"," 50","Georgina",17,53,0,122,55,0,247,553
"York--Simcoe/York--Simcoe"," 51","Georgina",16,55,3,124,57,0,255,442
"York--Simcoe/York--Simcoe"," 52","Georgina",15,41,2,67,48,0,173,320
"York--Simcoe/York--Simcoe"," 53A","Georgina",9,31,4,121,93,0,258,366
"York--Simcoe/York--Simcoe"," 53B","Georgina",9,37,3,92,69,1,211,315
"York--Simcoe/York--Simcoe"," 54","Georgina",18,29,2,114,80,0,243,381
"York--Simcoe/York--Simcoe"," 55","Georgina",4,34,1,58,30,0,127,247
"York--Simcoe/York--Simcoe"," 56","Georgina",13,28,1,80,48,0,170,331
"York--Simcoe/York--Simcoe"," 57","Georgina",15,27,2,82,56,0,182,368
"York--Simcoe/York--Simcoe"," 58","Georgina",12,31,1,94,49,0,187,336
"York--Simcoe/York--Simcoe"," 59","Georgina",12,39,3,114,50,0,218,437
"York--Simcoe/York--Simcoe"," 60","Georgina",20,34,1,157,98,0,310,521
"York--Simcoe/York--Simcoe"," 61","Georgina",11,24,1,108,71,2,217,347
"York--Simcoe/York--Simcoe"," 62","Georgina",13,23,3,134,55,1,229,342
"York--Simcoe/York--Simcoe"," 63","Georgina",18,29,3,94,70,0,214,359
"York--Simcoe/York--Simcoe"," 64","Georgina",15,27,4,85,52,0,183,378
"York--Simcoe/York--Simcoe"," 65","Georgina",9,23,1,90,53,1,177,358
"York--Simcoe/York--Simcoe"," 66","Georgina",23,55,3,112,68,2,263,547
"York--Simcoe/York--Simcoe"," 67A","Georgina",13,31,2,69,54,2,171,331
"York--Simcoe/York--Simcoe"," 67B","Georgina",16,25,1,69,41,1,153,383
"York--Simcoe/York--Simcoe"," 67C","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,49
"York--Simcoe/York--Simcoe"," 68","Georgina",13,22,6,74,46,2,163,389
"York--Simcoe/York--Simcoe"," 69","Georgina",8,38,1,66,38,0,151,310
"York--Simcoe/York--Simcoe"," 70","Georgina",19,41,4,119,55,0,238,529
"York--Simcoe/York--Simcoe"," 71","Georgina",7,12,0,63,34,1,117,246
"York--Simcoe/York--Simcoe"," 72","Georgina",7,26,0,73,48,1,155,330
"York--Simcoe/York--Simcoe"," 73","Georgina",12,25,1,57,69,0,164,331
"York--Simcoe/York--Simcoe"," 74","Georgina",9,31,1,82,71,0,194,380
"York--Simcoe/York--Simcoe"," 75","Georgina",6,23,2,95,53,1,180,343
"York--Simcoe/York--Simcoe"," 76A","Georgina",14,23,0,77,58,0,172,318
"York--Simcoe/York--Simcoe"," 76B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,19
"York--Simcoe/York--Simcoe"," 77","Georgina",10,44,2,85,55,0,196,399
"York--Simcoe/York--Simcoe"," 78","Georgina",7,30,1,59,60,0,157,364
"York--Simcoe/York--Simcoe"," 79","Georgina",12,39,0,74,62,2,189,410
"York--Simcoe/York--Simcoe"," 80","Georgina",5,19,0,60,79,1,164,327
"York--Simcoe/York--Simcoe"," 81","Georgina",18,38,1,85,71,0,213,416
"York--Simcoe/York--Simcoe"," 82","Georgina",28,46,0,87,59,0,220,435
"York--Simcoe/York--Simcoe"," 83","Georgina",24,29,4,94,45,0,196,404
"York--Simcoe/York--Simcoe"," 84","Georgina",14,30,0,80,63,0,187,387
"York--Simcoe/York--Simcoe"," 85","Georgina",19,45,3,131,73,0,271,462
"York--Simcoe/York--Simcoe"," 86","Georgina",39,52,3,151,50,0,295,457
"York--Simcoe/York--Simcoe"," 87","Georgina",34,54,3,144,89,1,325,561
"York--Simcoe/York--Simcoe"," 88","Georgina",10,46,4,122,62,0,244,435
"York--Simcoe/York--Simcoe"," 89","Georgina",11,33,0,128,57,1,230,453
"York--Simcoe/York--Simcoe"," 90","Georgina",21,48,2,117,74,1,263,484
"York--Simcoe/York--Simcoe"," 91A","Georgina",16,22,0,59,44,1,142,275
"York--Simcoe/York--Simcoe"," 91B","Georgina",11,32,1,88,43,1,176,340
"York--Simcoe/York--Simcoe"," 92","Georgina Island 33",2,14,0,10,76,0,102,159
"York--Simcoe/York--Simcoe"," 93","Innisfil",14,30,7,141,84,0,276,489
"York--Simcoe/York--Simcoe"," 94","Innisfil",27,19,3,83,44,1,177,345
"York--Simcoe/York--Simcoe"," 95","Bradford West Gwillimbury",11,17,1,120,87,1,237,383
"York--Simcoe/York--Simcoe"," 96A","Bradford West Gwillimbury",28,29,3,124,86,1,271,484
"York--Simcoe/York--Simcoe"," 96B","Bradford West Gwillimbury",19,55,7,131,79,0,291,511
"York--Simcoe/York--Simcoe"," 97A","Bradford West Gwillimbury",14,22,1,101,69,1,208,328
"York--Simcoe/York--Simcoe"," 97B","Bradford West Gwillimbury",8,18,8,58,83,0,175,325
"York--Simcoe/York--Simcoe"," 98","Bradford West Gwillimbury",7,34,4,86,82,0,213,433
"York--Simcoe/York--Simcoe"," 99","Bradford West Gwillimbury",8,35,0,117,109,3,272,441
"York--Simcoe/York--Simcoe"," 100","Bradford West Gwillimbury",8,27,1,120,102,0,258,421
"York--Simcoe/York--Simcoe"," 101","Bradford West Gwillimbury",18,24,0,128,120,1,291,526
