Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chummy Anthony,Scott Brison,Mary DeWolfe,Bob Mullan,Sheila Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kings--Hants/Kings--Hants"," 1","Scots Bay",2,61,31,53,7,0,154,235
"Kings--Hants/Kings--Hants"," 2","Pereaux",2,79,33,48,4,1,167,294
"Kings--Hants/Kings--Hants"," 3","Canning",4,141,76,98,8,0,327,531
"Kings--Hants/Kings--Hants"," 4","Sheffield Mills",2,49,15,48,1,1,116,227
"Kings--Hants/Kings--Hants"," 5","Canard",3,116,32,104,6,3,264,414
"Kings--Hants/Kings--Hants"," 6","Canning",2,97,50,77,5,0,231,448
"Kings--Hants/Kings--Hants"," 7","Canning",2,69,28,69,6,0,174,290
"Kings--Hants/Kings--Hants"," 8","Kingsport",0,86,48,44,2,0,180,279
"Kings--Hants/Kings--Hants"," 9","Port Williams",3,98,44,92,7,0,244,383
"Kings--Hants/Kings--Hants"," 10A","Port Williams",1,100,33,71,5,1,211,313
"Kings--Hants/Kings--Hants"," 10B","Port Williams",2,136,31,59,6,0,234,311
"Kings--Hants/Kings--Hants"," 11","Port Williams",1,119,42,79,5,0,246,392
"Kings--Hants/Kings--Hants"," 12","Kentville",1,77,12,51,2,0,143,214
"Kings--Hants/Kings--Hants"," 13","Kentville",2,78,44,90,8,3,225,431
"Kings--Hants/Kings--Hants"," 14","Kentville",2,66,58,72,1,1,200,454
"Kings--Hants/Kings--Hants"," 15","Kentville",6,94,69,107,2,2,280,521
"Kings--Hants/Kings--Hants"," 16","Aldershot",1,40,21,37,2,1,102,234
"Kings--Hants/Kings--Hants"," 17","Kentville",3,86,45,84,4,0,222,378
"Kings--Hants/Kings--Hants"," 18","Kentville",3,42,40,56,1,0,142,270
"Kings--Hants/Kings--Hants"," 19","Aldershot",2,82,57,70,3,4,218,414
"Kings--Hants/Kings--Hants"," 20","Centreville",4,68,46,101,5,2,226,398
"Kings--Hants/Kings--Hants"," 21","Centreville",3,92,37,85,4,1,222,378
"Kings--Hants/Kings--Hants"," 22","Centreville",2,94,49,107,5,0,257,513
"Kings--Hants/Kings--Hants"," 23","Centreville",0,54,32,86,5,1,178,318
"Kings--Hants/Kings--Hants"," 24","Glenmont",2,79,53,46,13,2,195,375
"Kings--Hants/Kings--Hants"," 25","Halls Harbour",2,64,25,58,3,0,152,297
"Kings--Hants/Kings--Hants"," 26","Canada Creek",0,38,18,29,4,0,89,130
"Kings--Hants/Kings--Hants"," 27","Lakeville",2,132,41,96,7,0,278,418
"Kings--Hants/Kings--Hants"," 28","Lakeville",0,118,43,122,6,2,291,537
"Kings--Hants/Kings--Hants"," 29","Waterville",2,89,43,82,9,0,225,320
"Kings--Hants/Kings--Hants"," 30","Cambridge",5,114,63,132,7,1,322,537
"Kings--Hants/Kings--Hants"," 31","Lakeville",3,93,47,96,3,0,242,392
"Kings--Hants/Kings--Hants"," 32","Coldbrook",0,96,29,94,3,1,223,393
"Kings--Hants/Kings--Hants"," 33","Coldbrook",0,69,27,45,3,0,144,242
"Kings--Hants/Kings--Hants"," 34","Coldbrook",1,118,36,96,1,1,253,422
"Kings--Hants/Kings--Hants"," 35","Coldbrook",3,73,28,82,6,0,192,339
"Kings--Hants/Kings--Hants"," 36","Coldbrook",4,140,55,113,9,2,323,454
"Kings--Hants/Kings--Hants"," 37","Coldbrook",2,95,31,67,3,0,198,295
"Kings--Hants/Kings--Hants"," 38","Kentville",3,117,44,75,4,0,243,441
"Kings--Hants/Kings--Hants"," 39","Kentville",2,126,30,109,3,0,270,431
"Kings--Hants/Kings--Hants"," 40","Kentville",1,113,35,101,8,2,260,425
"Kings--Hants/Kings--Hants"," 41","Kentville",2,115,42,74,7,1,241,441
"Kings--Hants/Kings--Hants"," 42","Kentville",1,115,45,89,2,2,254,472
"Kings--Hants/Kings--Hants"," 43","Kentville",1,66,47,56,3,3,176,392
"Kings--Hants/Kings--Hants"," 44","Kentville",1,65,23,44,4,1,138,333
"Kings--Hants/Kings--Hants"," 45A","Kentville",1,57,27,43,3,0,131,248
"Kings--Hants/Kings--Hants"," 45B","Kentville",1,68,28,67,5,1,170,323
"Kings--Hants/Kings--Hants"," 46","Kentville",1,139,36,90,8,1,275,448
"Kings--Hants/Kings--Hants"," 47","Kentville",2,84,43,59,7,1,196,427
"Kings--Hants/Kings--Hants"," 48","Kentville",2,104,55,90,4,0,255,460
"Kings--Hants/Kings--Hants"," 49","New Minas",2,67,30,71,5,0,175,371
"Kings--Hants/Kings--Hants"," 50","New Minas",2,44,27,44,1,0,118,242
"Kings--Hants/Kings--Hants"," 51","New Minas",0,52,20,37,1,0,110,210
"Kings--Hants/Kings--Hants"," 52","New Minas",8,98,24,91,7,1,229,442
"Kings--Hants/Kings--Hants"," 53","New Minas",1,74,35,70,4,3,187,404
"Kings--Hants/Kings--Hants"," 54","New Minas",2,79,26,82,3,1,193,344
"Kings--Hants/Kings--Hants"," 55","New Minas",1,87,33,64,3,0,188,328
"Kings--Hants/Kings--Hants"," 56","New Minas",1,59,45,46,3,1,155,332
"Kings--Hants/Kings--Hants"," 57","New Minas",2,99,41,75,3,0,220,424
"Kings--Hants/Kings--Hants"," 58","New Minas",4,132,47,129,2,0,314,536
"Kings--Hants/Kings--Hants"," 59","White Rock",1,79,34,104,3,1,222,350
"Kings--Hants/Kings--Hants"," 60","North Alton",4,81,36,73,6,1,201,320
"Kings--Hants/Kings--Hants"," 61A","New Minas",3,66,22,92,4,0,187,329
"Kings--Hants/Kings--Hants"," 61B","New Minas",3,86,27,69,6,1,192,357
"Kings--Hants/Kings--Hants"," 62","North Alton",3,84,35,94,5,1,222,537
"Kings--Hants/Kings--Hants"," 63","North Alton",0,65,30,86,3,3,187,364
"Kings--Hants/Kings--Hants"," 64","Hortonville",1,114,47,46,3,1,212,332
"Kings--Hants/Kings--Hants"," 65","Avonport",1,78,50,62,7,0,198,364
"Kings--Hants/Kings--Hants"," 66","Avonport",2,75,57,77,3,0,214,383
"Kings--Hants/Kings--Hants"," 67","Gaspereau",1,77,47,89,3,0,217,351
"Kings--Hants/Kings--Hants"," 68","White Rock",2,99,60,81,4,2,248,404
"Kings--Hants/Kings--Hants"," 69","Grand Pré",1,74,56,67,5,1,204,302
"Kings--Hants/Kings--Hants"," 70","Greenwich",2,90,51,51,6,1,201,326
"Kings--Hants/Kings--Hants"," 71","Greenwich",4,115,44,66,6,0,235,384
"Kings--Hants/Kings--Hants"," 72","Gaspereau",3,64,68,116,7,1,259,452
"Kings--Hants/Kings--Hants"," 73","Wolfville",1,93,48,53,4,1,200,373
"Kings--Hants/Kings--Hants"," 74","Wolfville",0,86,38,31,5,0,160,307
"Kings--Hants/Kings--Hants"," 75","Wolfville",2,111,62,70,5,1,251,443
"Kings--Hants/Kings--Hants"," 76","Wolfville",1,98,55,36,9,0,199,407
"Kings--Hants/Kings--Hants"," 77","Wolfville",Merged with No. 80/Fusionné avec le nº 80,,,,,,,58
"Kings--Hants/Kings--Hants"," 78","Wolfville",Merged with No. 80/Fusionné avec le nº 80,,,,,,,72
"Kings--Hants/Kings--Hants"," 79","Wolfville",2,83,35,49,15,0,184,206
"Kings--Hants/Kings--Hants"," 80","Wolfville",2,165,57,40,16,1,281,185
"Kings--Hants/Kings--Hants"," 81","Wolfville",3,90,60,40,11,0,204,283
"Kings--Hants/Kings--Hants"," 82","Wolfville",1,156,75,68,11,0,311,452
"Kings--Hants/Kings--Hants"," 83","Wolfville",2,96,43,43,3,2,189,314
"Kings--Hants/Kings--Hants"," 84","Wolfville",2,103,64,49,15,0,233,438
"Kings--Hants/Kings--Hants"," 85","Wolfville",1,179,70,63,9,2,324,501
"Kings--Hants/Kings--Hants"," 86","Hants Border",0,111,47,53,6,0,217,350
"Kings--Hants/Kings--Hants"," 87","Hants Border",2,115,53,56,4,0,230,498
"Kings--Hants/Kings--Hants"," 88","Hantsport",0,102,35,49,3,1,190,321
