Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Burch,Bill Bylsma,Elaine Couto,Rick Dykstra,Jim Fannon,Walt Lastewka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. Catharines/St. Catharines"," 1","St. Catharines",33,5,0,119,4,65,1,227,355
"St. Catharines/St. Catharines"," 2","St. Catharines",35,1,0,92,13,96,1,238,373
"St. Catharines/St. Catharines"," 3","St. Catharines",46,0,0,100,16,133,0,295,463
"St. Catharines/St. Catharines"," 4","St. Catharines",47,3,1,138,14,132,0,335,500
"St. Catharines/St. Catharines"," 5","St. Catharines",61,4,0,125,8,127,1,326,451
"St. Catharines/St. Catharines"," 6","St. Catharines",53,0,0,97,32,117,4,303,425
"St. Catharines/St. Catharines"," 7A","St. Catharines",21,0,0,102,13,99,0,235,323
"St. Catharines/St. Catharines"," 7B","St. Catharines",21,1,0,108,7,90,2,229,312
"St. Catharines/St. Catharines"," 8","St. Catharines",19,2,1,165,3,108,0,298,456
"St. Catharines/St. Catharines"," 9","St. Catharines",34,5,0,135,14,76,0,264,410
"St. Catharines/St. Catharines"," 10","St. Catharines",50,3,0,122,11,121,3,310,500
"St. Catharines/St. Catharines"," 11A","St. Catharines",23,0,1,87,5,68,0,184,292
"St. Catharines/St. Catharines"," 11B","St. Catharines",32,0,1,69,7,69,0,178,289
"St. Catharines/St. Catharines"," 12A","St. Catharines",13,1,0,79,4,64,0,161,278
"St. Catharines/St. Catharines"," 12B","St. Catharines",14,2,2,69,6,84,0,177,289
"St. Catharines/St. Catharines"," 13","St. Catharines",32,1,0,98,8,109,0,248,391
"St. Catharines/St. Catharines"," 14","St. Catharines",29,3,0,93,9,90,0,224,322
"St. Catharines/St. Catharines"," 15A","St. Catharines",26,1,0,78,1,50,0,156,279
"St. Catharines/St. Catharines"," 15B","St. Catharines",41,3,0,78,5,49,0,176,275
"St. Catharines/St. Catharines"," 16","St. Catharines",51,0,0,68,7,91,0,217,354
"St. Catharines/St. Catharines"," 17","St. Catharines",18,2,0,45,2,37,0,104,267
"St. Catharines/St. Catharines"," 18","St. Catharines",39,2,0,97,11,111,1,261,384
"St. Catharines/St. Catharines"," 19","St. Catharines",38,2,0,147,7,102,0,296,459
"St. Catharines/St. Catharines"," 20","St. Catharines",42,4,0,73,2,63,1,185,350
"St. Catharines/St. Catharines"," 21","St. Catharines",59,0,0,90,14,89,0,252,371
"St. Catharines/St. Catharines"," 22","St. Catharines",51,5,0,119,6,90,0,271,457
"St. Catharines/St. Catharines"," 23","St. Catharines",39,0,2,64,10,58,0,173,308
"St. Catharines/St. Catharines"," 24","St. Catharines",28,4,0,130,10,124,0,296,490
"St. Catharines/St. Catharines"," 25","St. Catharines",55,1,0,119,17,151,1,344,475
"St. Catharines/St. Catharines"," 26","St. Catharines",47,2,3,118,11,101,1,283,404
"St. Catharines/St. Catharines"," 27","St. Catharines",34,1,1,85,12,76,0,209,336
"St. Catharines/St. Catharines"," 28","St. Catharines",64,2,1,86,9,102,3,267,416
"St. Catharines/St. Catharines"," 29","St. Catharines",71,1,2,119,3,112,0,308,484
"St. Catharines/St. Catharines"," 30","St. Catharines",43,1,0,79,2,82,0,207,301
"St. Catharines/St. Catharines"," 31","St. Catharines",29,1,2,85,6,156,0,279,389
"St. Catharines/St. Catharines"," 32","St. Catharines",53,1,0,130,8,104,1,297,411
"St. Catharines/St. Catharines"," 33","St. Catharines",47,2,1,76,7,89,1,223,358
"St. Catharines/St. Catharines"," 34","St. Catharines",38,5,0,139,17,114,0,313,479
"St. Catharines/St. Catharines"," 35","St. Catharines",57,0,0,69,16,82,0,224,424
"St. Catharines/St. Catharines"," 36","St. Catharines",60,3,0,113,12,81,0,269,460
"St. Catharines/St. Catharines"," 37","St. Catharines",58,1,0,88,8,88,0,243,391
"St. Catharines/St. Catharines"," 38","St. Catharines",34,1,0,112,3,135,4,289,471
"St. Catharines/St. Catharines"," 39","St. Catharines",30,1,0,125,10,142,0,308,455
"St. Catharines/St. Catharines"," 40","St. Catharines",37,1,1,87,5,102,2,235,476
"St. Catharines/St. Catharines"," 41","St. Catharines",72,2,0,133,6,88,0,301,423
"St. Catharines/St. Catharines"," 42","St. Catharines",69,4,0,118,17,95,2,305,523
"St. Catharines/St. Catharines"," 43","St. Catharines",41,2,0,144,15,131,0,333,508
"St. Catharines/St. Catharines"," 44","St. Catharines",42,1,0,86,6,72,0,207,330
"St. Catharines/St. Catharines"," 45","St. Catharines",44,12,0,113,4,101,1,275,373
"St. Catharines/St. Catharines"," 46","St. Catharines",41,0,0,124,8,91,0,264,408
"St. Catharines/St. Catharines"," 47","St. Catharines",31,1,0,76,10,88,0,206,357
"St. Catharines/St. Catharines"," 48","St. Catharines",34,2,0,112,4,134,0,286,434
"St. Catharines/St. Catharines"," 49","St. Catharines",50,0,0,107,9,125,1,292,406
