Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Ujjal Dosanjh,Bev Meslo,Doug Perry,Tarlok Sablok,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver South/Vancouver-Sud"," 67","Vancouver",0,129,66,6,57,2,260,487
"Vancouver South/Vancouver-Sud"," 68","Vancouver",2,118,60,8,86,2,276,590
"Vancouver South/Vancouver-Sud"," 69","Vancouver",0,126,80,7,66,2,281,577
"Vancouver South/Vancouver-Sud"," 70","Vancouver",0,124,53,8,64,2,251,535
"Vancouver South/Vancouver-Sud"," 71","Vancouver",0,113,84,16,61,1,275,544
"Vancouver South/Vancouver-Sud"," 72","Vancouver",0,129,79,7,85,0,300,519
"Vancouver South/Vancouver-Sud"," 73","Vancouver",3,148,63,4,41,2,261,557
"Vancouver South/Vancouver-Sud"," 74","Vancouver",1,137,61,7,42,1,249,507
"Vancouver South/Vancouver-Sud"," 75","Vancouver",0,161,71,5,48,2,287,552
"Vancouver South/Vancouver-Sud"," 76","Vancouver",4,111,66,7,54,1,243,476
"Vancouver South/Vancouver-Sud"," 77","Vancouver",0,155,60,6,64,0,285,542
"Vancouver South/Vancouver-Sud"," 78","Vancouver",1,111,75,6,64,7,264,503
"Vancouver South/Vancouver-Sud"," 79","Vancouver",3,134,99,5,56,3,300,565
"Vancouver South/Vancouver-Sud"," 80","Vancouver",3,142,70,5,77,0,297,586
"Vancouver South/Vancouver-Sud"," 81","Vancouver",4,146,89,6,70,1,316,591
"Vancouver South/Vancouver-Sud"," 82","Vancouver",1,111,69,7,49,0,237,568
"Vancouver South/Vancouver-Sud"," 83","Vancouver",0,128,105,8,78,1,320,598
"Vancouver South/Vancouver-Sud"," 84","Vancouver",3,151,60,7,86,0,307,535
"Vancouver South/Vancouver-Sud"," 85","Vancouver",2,122,40,3,49,1,217,411
"Vancouver South/Vancouver-Sud"," 86","Vancouver",3,180,52,3,75,1,314,569
"Vancouver South/Vancouver-Sud"," 87","Vancouver",1,132,65,5,66,0,269,523
"Vancouver South/Vancouver-Sud"," 88","Vancouver",1,99,40,6,45,2,193,485
"Vancouver South/Vancouver-Sud"," 89","Vancouver",0,145,49,7,64,1,266,522
"Vancouver South/Vancouver-Sud"," 90A","Vancouver",1,83,34,4,60,2,184,359
"Vancouver South/Vancouver-Sud"," 90B","Vancouver",0,76,31,3,31,1,142,317
"Vancouver South/Vancouver-Sud"," 91","Vancouver",0,140,61,4,92,1,298,541
"Vancouver South/Vancouver-Sud"," 92","Vancouver",0,110,47,2,76,0,235,497
"Vancouver South/Vancouver-Sud"," 93","Vancouver",2,96,48,7,46,0,199,414
"Vancouver South/Vancouver-Sud"," 94","Vancouver",0,130,59,0,43,0,232,489
"Vancouver South/Vancouver-Sud"," 95","Vancouver",1,80,35,2,39,1,158,308
"Vancouver South/Vancouver-Sud"," 96","Vancouver",2,148,56,9,66,1,282,521
"Vancouver South/Vancouver-Sud"," 97","Vancouver",2,164,70,3,85,0,324,650
"Vancouver South/Vancouver-Sud"," 98A","Vancouver",0,89,28,2,32,0,151,297
"Vancouver South/Vancouver-Sud"," 98B","Vancouver",0,127,28,4,51,0,210,378
"Vancouver South/Vancouver-Sud"," 99","Vancouver",0,111,40,8,49,0,208,497
"Vancouver South/Vancouver-Sud"," 100","Vancouver",0,61,23,12,34,0,130,273
"Vancouver South/Vancouver-Sud"," 101","Vancouver",0,80,63,14,57,1,215,451
"Vancouver South/Vancouver-Sud"," 102","Vancouver",1,109,84,3,55,2,254,497
"Vancouver South/Vancouver-Sud"," 103","Vancouver",2,110,47,6,47,0,212,467
"Vancouver South/Vancouver-Sud"," 104","Vancouver",1,109,46,1,48,1,206,479
