Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Roach Denis,Daniel Fournier,Yan Lacombe,Jean-C. Lapierre,Léo-Paul Lauzon,Jacques Léonard,Régent Millette,Philip Paynter,François Pilon,Xavier Rochon,Linda Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Outremont/Outremont"," 1A","Montréal",Merged with No. 63A/Fusionné avec le nº 63A,,,,,,,,,,,,,202
"Outremont/Outremont"," 1B","Montréal",0,24,1,110,18,39,2,1,3,0,2,0,200,526
"Outremont/Outremont"," 2","Montréal",0,11,1,37,29,75,0,0,12,1,0,3,169,348
"Outremont/Outremont"," 3","Montréal",1,9,1,64,109,78,0,0,23,0,1,4,290,489
"Outremont/Outremont"," 4","Montréal",1,12,1,69,70,82,0,1,11,0,1,1,249,409
"Outremont/Outremont"," 5","Montréal",0,19,2,86,70,68,0,2,18,0,0,2,267,477
"Outremont/Outremont"," 6","Montréal",1,12,0,46,78,49,0,0,18,0,1,0,205,393
"Outremont/Outremont"," 7","Montréal",0,11,1,67,89,65,0,1,9,0,1,2,246,448
"Outremont/Outremont"," 8","Montréal",0,8,1,64,73,46,0,0,20,0,0,1,213,397
"Outremont/Outremont"," 9","Montréal",1,18,1,77,79,70,0,1,24,1,0,2,274,490
"Outremont/Outremont"," 10","Montréal",2,14,0,56,100,105,0,0,22,3,1,2,305,512
"Outremont/Outremont"," 11","Montréal",2,12,1,49,80,110,0,1,21,0,1,1,278,445
"Outremont/Outremont"," 12","Montréal",1,3,0,63,64,73,0,0,9,0,0,1,214,368
"Outremont/Outremont"," 13","Montréal",2,22,1,70,81,74,0,2,16,0,0,0,268,460
"Outremont/Outremont"," 14","Montréal",0,39,1,50,68,57,0,1,4,0,0,2,222,506
"Outremont/Outremont"," 15","Montréal",0,41,1,85,67,64,1,0,16,2,0,0,277,498
"Outremont/Outremont"," 16","Montréal",1,11,1,95,96,85,0,1,26,0,2,1,319,580
"Outremont/Outremont"," 17","Montréal",1,28,0,63,48,71,0,0,14,0,0,1,226,441
"Outremont/Outremont"," 18","Montréal",0,25,2,88,92,70,0,0,24,0,0,1,302,580
"Outremont/Outremont"," 19","Montréal",1,29,0,61,62,81,0,1,13,0,2,0,250,541
"Outremont/Outremont"," 20","Montréal",2,13,0,54,87,71,0,0,13,0,0,1,241,441
"Outremont/Outremont"," 21","Montréal",0,12,1,38,48,77,0,0,15,0,0,1,192,343
"Outremont/Outremont"," 22","Montréal",1,15,3,120,86,78,0,3,35,1,2,0,344,540
"Outremont/Outremont"," 23","Montréal",2,16,0,132,91,76,0,0,24,0,0,1,342,537
"Outremont/Outremont"," 24","Montréal",0,15,0,88,101,61,0,0,14,0,2,0,281,505
"Outremont/Outremont"," 25","Montréal",2,9,0,44,69,71,0,0,17,0,1,3,216,428
"Outremont/Outremont"," 26","Montréal",1,8,0,67,92,96,0,1,12,0,0,0,277,464
"Outremont/Outremont"," 27A","Montréal",Merged with No. 28/Fusionné avec le nº 28,,,,,,,,,,,,,114
"Outremont/Outremont"," 27B","Montréal",Merged with No. 30/Fusionné avec le nº 30,,,,,,,,,,,,,113
"Outremont/Outremont"," 28","Montréal",2,14,0,70,71,97,0,0,22,0,0,0,276,402
"Outremont/Outremont"," 29","Montréal",2,17,0,81,100,30,0,0,17,0,0,2,249,452
"Outremont/Outremont"," 30","Montréal",0,16,1,69,79,88,0,1,30,0,1,2,287,392
