Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maro Akoury,Claude Bachand,Véronique Bisaillon,Mathieu-Gilles Lanciault,Francis Lévesque,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Jean/Saint-Jean"," 1","Saint-Luc",29,184,32,44,67,1,357,579
"Saint-Jean/Saint-Jean"," 2","Saint-Luc",34,156,18,19,67,3,297,499
"Saint-Jean/Saint-Jean"," 3","Saint-Luc",27,111,14,13,44,1,210,318
"Saint-Jean/Saint-Jean"," 4A","Saint-Luc",25,63,9,25,54,1,177,302
"Saint-Jean/Saint-Jean"," 4B","Saint-Luc",26,69,14,15,66,5,195,304
"Saint-Jean/Saint-Jean"," 5","Saint-Luc",21,172,7,14,66,3,283,524
"Saint-Jean/Saint-Jean"," 6A","Saint-Luc",16,118,10,17,42,3,206,350
"Saint-Jean/Saint-Jean"," 6B","Saint-Luc",19,116,10,17,45,3,210,343
"Saint-Jean/Saint-Jean"," 7","Saint-Luc",20,109,9,16,57,6,217,386
"Saint-Jean/Saint-Jean"," 8A","Saint-Luc",15,131,9,18,50,3,226,354
"Saint-Jean/Saint-Jean"," 8B","Saint-Luc",18,121,13,13,50,2,217,333
"Saint-Jean/Saint-Jean"," 9","Saint-Luc",16,110,11,13,69,4,223,313
"Saint-Jean/Saint-Jean"," 10","Saint-Luc",26,70,9,20,34,4,163,248
"Saint-Jean/Saint-Jean"," 11A","Saint-Luc",20,103,11,12,29,1,176,326
"Saint-Jean/Saint-Jean"," 11B","Saint-Luc",13,101,10,11,32,6,173,324
"Saint-Jean/Saint-Jean"," 12","Saint-Luc",21,135,16,24,68,3,267,382
"Saint-Jean/Saint-Jean"," 13","Saint-Luc",32,177,17,33,73,5,337,523
"Saint-Jean/Saint-Jean"," 14","Saint-Luc",21,77,3,16,41,3,161,248
"Saint-Jean/Saint-Jean"," 15","Saint-Luc",27,180,11,21,66,0,305,460
"Saint-Jean/Saint-Jean"," 16","Saint-Luc",32,142,14,15,59,4,266,392
"Saint-Jean/Saint-Jean"," 17","Saint-Luc",16,120,14,23,25,6,204,325
"Saint-Jean/Saint-Jean"," 18","Saint-Luc",34,191,13,31,74,5,348,547
"Saint-Jean/Saint-Jean"," 19A","Saint-Luc",22,114,3,5,32,3,179,331
"Saint-Jean/Saint-Jean"," 19B","Saint-Luc",24,106,9,13,37,3,192,358
"Saint-Jean/Saint-Jean"," 20A","Saint-Luc",12,127,8,16,44,1,208,339
"Saint-Jean/Saint-Jean"," 20B","Saint-Luc",17,133,4,17,55,2,228,341
"Saint-Jean/Saint-Jean"," 21A","Saint-Luc",21,134,11,20,78,3,267,478
"Saint-Jean/Saint-Jean"," 21B","Saint-Luc",22,163,15,22,88,5,315,540
"Saint-Jean/Saint-Jean"," 22","Saint-Luc",20,149,9,12,49,4,243,417
"Saint-Jean/Saint-Jean"," 23","Saint-Luc",15,151,11,20,31,3,231,395
"Saint-Jean/Saint-Jean"," 24","Saint-Luc",28,214,13,39,41,3,338,519
"Saint-Jean/Saint-Jean"," 25","Saint-Luc",41,205,23,36,65,5,375,589
"Saint-Jean/Saint-Jean"," 26","Saint-Luc",33,197,9,29,63,0,331,590
"Saint-Jean/Saint-Jean"," 27","Saint-Luc",33,191,13,34,75,3,349,546
"Saint-Jean/Saint-Jean"," 28","Saint-Luc",29,187,11,27,69,7,330,504
"Saint-Jean/Saint-Jean"," 29","Saint-Luc",24,146,10,14,61,3,258,447
"Saint-Jean/Saint-Jean"," 30","Saint-Luc",43,170,15,28,89,0,345,502
"Saint-Jean/Saint-Jean"," 31A","Saint-Luc",16,87,6,16,51,3,179,309
"Saint-Jean/Saint-Jean"," 31B","Saint-Luc",22,86,9,19,48,2,186,304
"Saint-Jean/Saint-Jean"," 32A","Saint-Luc",29,104,8,3,53,3,200,324
"Saint-Jean/Saint-Jean"," 32B","Saint-Luc",17,89,15,12,39,5,177,294
"Saint-Jean/Saint-Jean"," 33","Saint-Luc",34,205,16,16,50,2,323,571
"Saint-Jean/Saint-Jean"," 34A","Saint-Luc",14,113,12,19,42,4,204,352
"Saint-Jean/Saint-Jean"," 34B","Saint-Luc",12,119,9,16,41,4,201,333
