Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tina Agrell,M. A. Bonnie Brown,Laura Domsy,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oakville/Oakville"," 1","Oakville",Merged with No. 7/Fusionné avec le nº 7,,,,,,54
"Oakville/Oakville"," 2A","Oakville",16,150,13,135,1,315,547
"Oakville/Oakville"," 2B","Oakville",22,141,7,164,1,335,585
"Oakville/Oakville"," 2C","Oakville",24,144,15,114,0,297,501
"Oakville/Oakville"," 2D","Oakville",21,165,13,153,0,352,575
"Oakville/Oakville"," 3","Oakville",16,154,15,167,0,352,507
"Oakville/Oakville"," 4","Oakville",9,172,9,135,1,326,514
"Oakville/Oakville"," 5","Oakville",17,145,13,111,0,286,429
"Oakville/Oakville"," 6","Oakville",10,123,12,102,0,247,397
"Oakville/Oakville"," 7","Oakville",4,86,6,123,0,219,320
"Oakville/Oakville"," 8","Oakville",9,81,3,53,0,146,242
"Oakville/Oakville"," 9","Oakville",21,153,18,110,0,302,474
"Oakville/Oakville"," 10","Oakville",32,144,15,107,2,300,499
"Oakville/Oakville"," 11","Oakville",25,129,13,109,1,277,438
"Oakville/Oakville"," 12","Oakville",24,155,7,70,2,258,428
"Oakville/Oakville"," 13","Oakville",24,158,12,76,3,273,395
"Oakville/Oakville"," 14","Oakville",27,143,5,123,0,298,449
"Oakville/Oakville"," 15","Oakville",14,105,11,93,0,223,371
"Oakville/Oakville"," 16","Oakville",14,134,10,99,0,257,420
"Oakville/Oakville"," 17","Oakville",27,157,11,121,2,318,482
"Oakville/Oakville"," 18","Oakville",25,165,12,124,0,326,485
"Oakville/Oakville"," 19","Oakville",20,149,14,129,1,313,475
"Oakville/Oakville"," 20","Oakville",22,148,5,121,2,298,426
"Oakville/Oakville"," 21","Oakville",25,172,10,105,1,313,500
"Oakville/Oakville"," 22","Oakville",40,149,9,113,1,312,486
"Oakville/Oakville"," 23","Oakville",10,94,10,105,0,219,338
"Oakville/Oakville"," 24","Oakville",12,111,10,133,0,266,444
"Oakville/Oakville"," 25","Oakville",9,77,13,108,1,208,355
"Oakville/Oakville"," 26","Oakville",18,132,20,118,1,289,444
"Oakville/Oakville"," 27","Oakville",14,99,7,139,0,259,451
"Oakville/Oakville"," 28","Oakville",17,92,6,123,0,238,392
"Oakville/Oakville"," 29","Oakville",11,87,10,108,0,216,356
"Oakville/Oakville"," 30","Oakville",25,89,12,124,1,251,411
"Oakville/Oakville"," 31","Oakville",23,112,13,107,0,255,397
"Oakville/Oakville"," 32","Oakville",8,114,9,141,1,273,417
"Oakville/Oakville"," 33","Oakville",13,92,13,101,2,221,333
"Oakville/Oakville"," 34","Oakville",17,53,18,109,0,197,341
