Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mahmood-Raza Baig,Vivian Barbot,Marc Hasbani,Peter Macrisopoulos,Pierre Pettigrew,Mustaque A. Sarker,Louis-Philippe Verenka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Papineau/Papineau"," 1","Montréal",2,65,4,2,77,10,4,1,165,415
"Papineau/Papineau"," 2","Montréal",0,56,12,1,147,13,4,5,238,445
"Papineau/Papineau"," 3","Montréal",1,72,9,1,101,27,5,4,220,439
"Papineau/Papineau"," 4","Montréal",0,59,13,1,93,27,5,2,200,376
"Papineau/Papineau"," 5","Montréal",0,82,18,0,80,15,7,1,203,507
"Papineau/Papineau"," 6","Montréal",1,63,11,1,111,19,3,1,210,395
"Papineau/Papineau"," 7","Montréal",1,85,9,2,110,35,9,3,254,450
"Papineau/Papineau"," 8","Montréal",0,57,3,0,126,18,7,0,211,387
"Papineau/Papineau"," 9","Montréal",2,67,8,1,102,27,1,2,210,425
"Papineau/Papineau"," 10","Montréal",0,76,14,0,95,22,6,3,216,392
"Papineau/Papineau"," 11","Montréal",2,87,12,0,92,27,3,5,228,448
"Papineau/Papineau"," 12","Montréal",0,64,6,0,114,13,4,5,206,346
"Papineau/Papineau"," 13","Montréal",2,80,6,1,92,21,8,1,211,405
"Papineau/Papineau"," 14","Montréal",2,62,13,1,59,12,5,6,160,348
"Papineau/Papineau"," 15","Montréal",0,50,19,1,72,22,9,2,175,393
"Papineau/Papineau"," 16","Montréal",2,73,18,0,65,15,11,3,187,436
"Papineau/Papineau"," 17","Montréal",2,112,17,0,64,25,15,4,239,486
"Papineau/Papineau"," 18","Montréal",0,81,16,2,107,25,12,6,249,536
"Papineau/Papineau"," 19","Montréal",2,34,11,1,119,26,7,2,202,451
"Papineau/Papineau"," 20","Montréal",1,73,4,2,121,27,3,2,233,431
"Papineau/Papineau"," 21","Montréal",0,37,4,5,103,13,5,3,170,307
"Papineau/Papineau"," 22","Montréal",2,77,15,3,114,22,9,6,248,410
"Papineau/Papineau"," 23","Montréal",0,62,21,2,112,27,5,0,229,409
"Papineau/Papineau"," 24","Montréal",1,66,9,2,121,17,7,5,228,438
"Papineau/Papineau"," 25","Montréal",3,80,14,1,107,14,10,0,229,411
"Papineau/Papineau"," 26","Montréal",0,62,10,2,89,16,8,1,188,378
"Papineau/Papineau"," 27","Montréal",2,85,25,3,93,18,11,3,240,478
"Papineau/Papineau"," 28","Montréal",0,101,17,0,61,28,6,3,216,479
"Papineau/Papineau"," 29","Montréal",3,117,21,1,64,16,7,4,233,463
"Papineau/Papineau"," 30","Montréal",0,53,14,1,81,17,5,2,173,370
