Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Blanchette,Hélène Chalifour Scherrer,Roger Clavet,Francis Fortin,Luc Harvey,Robert Hudon,Stefan Jetchick,Frédérick Têtu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Louis-Hébert/Louis-Hébert"," 194","Cap-Rouge",20,22,77,3,99,11,1,3,0,236,378
"Louis-Hébert/Louis-Hébert"," 195A","Cap-Rouge",32,13,75,5,88,16,0,4,1,234,384
"Louis-Hébert/Louis-Hébert"," 195B","Cap-Rouge",12,6,57,2,62,5,0,0,1,145,253
"Louis-Hébert/Louis-Hébert"," 196","Cap-Rouge",44,33,149,3,121,23,1,7,3,384,579
"Louis-Hébert/Louis-Hébert"," 197","Cap-Rouge",54,33,119,3,97,13,1,10,0,330,499
"Louis-Hébert/Louis-Hébert"," 198","Cap-Rouge",32,23,89,3,94,12,0,13,2,268,467
"Louis-Hébert/Louis-Hébert"," 199","Cap-Rouge",40,28,113,4,123,12,0,17,0,337,474
"Louis-Hébert/Louis-Hébert"," 200","Cap-Rouge",31,31,137,2,110,14,0,3,1,329,511
"Louis-Hébert/Louis-Hébert"," 201","Cap-Rouge",21,35,98,3,124,17,0,3,3,304,538
"Louis-Hébert/Louis-Hébert"," 202","Cap-Rouge",21,8,62,2,82,9,2,10,3,199,411
"Louis-Hébert/Louis-Hébert"," 203","Cap-Rouge",19,25,105,1,76,10,1,4,0,241,419
"Louis-Hébert/Louis-Hébert"," 204","Cap-Rouge",15,23,65,1,47,6,0,3,0,160,274
"Louis-Hébert/Louis-Hébert"," 205","Cap-Rouge",20,23,68,1,64,10,0,3,1,190,354
"Louis-Hébert/Louis-Hébert"," 206","Cap-Rouge",25,37,83,2,98,12,1,5,2,265,437
"Louis-Hébert/Louis-Hébert"," 207","Cap-Rouge",26,41,88,2,107,21,1,9,1,296,452
"Louis-Hébert/Louis-Hébert"," 400","Sainte-Foy",14,23,47,0,93,3,0,7,2,189,209
"Louis-Hébert/Louis-Hébert"," 401","Sainte-Foy",7,28,31,0,71,7,2,8,6,160,251
"Louis-Hébert/Louis-Hébert"," 402","Sainte-Foy",16,65,76,3,148,5,1,9,3,326,410
"Louis-Hébert/Louis-Hébert"," 403","Sainte-Foy",7,28,37,0,74,6,0,4,1,157,212
"Louis-Hébert/Louis-Hébert"," 404","Sainte-Foy",Merged with No. 400/Fusionné avec le nº 400,,,,,,,,,,46
"Louis-Hébert/Louis-Hébert"," 500","Mobile poll/Bureau itinérant",5,59,11,0,25,1,1,2,6,110,144
"Louis-Hébert/Louis-Hébert"," 501","Mobile poll/Bureau itinérant",9,61,14,1,29,1,0,2,3,120,164
"Louis-Hébert/Louis-Hébert"," 600","Québec",23,70,149,9,244,9,1,9,1,515,
"Louis-Hébert/Louis-Hébert"," 601","Québec",15,42,98,1,156,9,0,15,2,338,
"Louis-Hébert/Louis-Hébert"," 602","Québec",26,83,116,5,117,6,3,14,2,372,
"Louis-Hébert/Louis-Hébert"," 603","Québec",9,79,122,2,111,9,1,18,2,353,
"Louis-Hébert/Louis-Hébert"," 604","Québec",37,64,157,4,112,16,0,9,3,402,
"Louis-Hébert/Louis-Hébert"," 605","Québec",14,71,83,2,89,3,0,8,0,270,
"Louis-Hébert/Louis-Hébert"," 606","Québec",21,171,193,5,164,8,7,10,1,580,
"Louis-Hébert/Louis-Hébert"," 607","Québec",23,128,190,3,186,19,0,8,2,559,
"Louis-Hébert/Louis-Hébert"," 608","Québec",16,88,92,4,113,4,0,9,2,328,
"Louis-Hébert/Louis-Hébert"," 609","Québec",17,119,109,3,115,13,0,6,5,387,
"Louis-Hébert/Louis-Hébert"," 610","Québec",32,210,220,9,196,17,1,11,2,698,
"Louis-Hébert/Louis-Hébert"," 611","Québec",21,131,154,5,163,17,2,30,2,525,
"Louis-Hébert/Louis-Hébert"," 612","Québec",20,127,168,6,189,12,1,8,5,536,
"Louis-Hébert/Louis-Hébert"," 613","Québec",20,106,158,6,172,6,0,5,3,476,
"Louis-Hébert/Louis-Hébert"," 614","Québec",17,143,162,14,228,10,1,10,7,592,
"Louis-Hébert/Louis-Hébert"," 615","Québec",58,66,234,5,291,21,0,33,4,712,
"Louis-Hébert/Louis-Hébert"," 616","Québec",60,134,315,5,288,18,0,17,4,841,
"Louis-Hébert/Louis-Hébert",,Group 1/Groupe 1,14,31,55,4,92,6,1,3,5,211,505
"Louis-Hébert/Louis-Hébert",,Group 2/Groupe 2,129,751,790,21,509,47,2,38,24,2311,
