Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Blanchette,Hélène Chalifour Scherrer,Roger Clavet,Francis Fortin,Luc Harvey,Robert Hudon,Stefan Jetchick,Frédérick Têtu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Louis-Hébert/Louis-Hébert"," 129","Sainte-Foy",35,34,81,2,123,6,1,8,4,294,547
"Louis-Hébert/Louis-Hébert"," 130A","Sainte-Foy",35,25,66,2,64,9,0,7,0,208,329
"Louis-Hébert/Louis-Hébert"," 130B","Sainte-Foy",15,42,73,5,84,9,0,2,1,231,436
"Louis-Hébert/Louis-Hébert"," 131","Sainte-Foy",15,12,35,0,37,6,0,1,1,107,247
"Louis-Hébert/Louis-Hébert"," 132","Sainte-Foy",9,7,22,1,28,6,0,4,2,79,154
"Louis-Hébert/Louis-Hébert"," 132-1","Sainte-Foy",13,14,44,4,35,7,0,3,1,121,216
"Louis-Hébert/Louis-Hébert"," 132-2","Sainte-Foy",7,19,56,5,49,5,0,1,0,142,237
"Louis-Hébert/Louis-Hébert"," 133","Sainte-Foy",9,13,36,1,45,5,0,2,1,112,233
"Louis-Hébert/Louis-Hébert"," 134","Sainte-Foy",22,17,69,1,58,9,1,4,0,181,372
"Louis-Hébert/Louis-Hébert"," 135","Sainte-Foy",7,13,52,2,38,6,1,3,2,124,234
"Louis-Hébert/Louis-Hébert"," 136","Sainte-Foy",25,24,54,2,46,12,0,10,1,174,305
"Louis-Hébert/Louis-Hébert"," 137","Sainte-Foy",33,34,78,2,66,8,0,5,3,229,405
"Louis-Hébert/Louis-Hébert"," 138","Sainte-Foy",26,37,68,3,70,7,1,6,2,220,309
"Louis-Hébert/Louis-Hébert"," 139","Sainte-Foy",14,22,64,1,72,10,0,2,0,185,262
"Louis-Hébert/Louis-Hébert"," 140","Sainte-Foy",15,42,106,4,71,12,0,4,6,260,487
"Louis-Hébert/Louis-Hébert"," 141","Sainte-Foy",15,20,75,0,66,18,0,6,1,201,324
"Louis-Hébert/Louis-Hébert"," 142","Sainte-Foy",16,18,81,0,53,6,1,4,1,180,316
"Louis-Hébert/Louis-Hébert"," 143","Sainte-Foy",15,35,78,5,85,14,0,3,1,236,357
"Louis-Hébert/Louis-Hébert"," 144","Sainte-Foy",14,37,54,1,51,6,0,7,1,171,293
"Louis-Hébert/Louis-Hébert"," 145","Sainte-Foy",24,24,61,0,58,8,0,1,1,177,286
