Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Bell,John Duncan,Michael Mascall,Jim Mitchell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Island North/Île de Vancouver-Nord"," 1","Dawsons Landing",2,7,0,0,0,9,20
"Vancouver Island North/Île de Vancouver-Nord"," 2","Oweekeno",11,2,3,7,1,24,44
"Vancouver Island North/Île de Vancouver-Nord"," 3","Quatsino",6,25,6,2,0,39,49
"Vancouver Island North/Île de Vancouver-Nord"," 4","Holberg",20,23,0,18,1,62,94
"Vancouver Island North/Île de Vancouver-Nord"," 5","Coal Harbour",62,50,4,16,0,132,249
"Vancouver Island North/Île de Vancouver-Nord"," 6","Port Hardy",44,52,4,21,0,121,244
"Vancouver Island North/Île de Vancouver-Nord"," 7","Port Hardy",97,8,1,7,0,113,230
"Vancouver Island North/Île de Vancouver-Nord"," 8","Port Hardy",80,62,5,35,0,182,306
"Vancouver Island North/Île de Vancouver-Nord"," 9","Port Hardy",32,28,0,12,2,74,176
"Vancouver Island North/Île de Vancouver-Nord"," 10","Port Hardy",39,36,2,19,1,97,182
"Vancouver Island North/Île de Vancouver-Nord"," 11","Port Hardy",39,47,4,22,1,113,222
"Vancouver Island North/Île de Vancouver-Nord"," 12","Port Hardy",53,55,8,29,0,145,368
"Vancouver Island North/Île de Vancouver-Nord"," 13","Port Hardy",31,27,1,13,0,72,138
"Vancouver Island North/Île de Vancouver-Nord"," 14","Port Hardy",33,50,2,10,0,95,200
"Vancouver Island North/Île de Vancouver-Nord"," 15","Port Hardy",48,55,6,23,0,132,233
"Vancouver Island North/Île de Vancouver-Nord"," 16","Port Hardy",65,70,3,31,1,170,300
"Vancouver Island North/Île de Vancouver-Nord"," 17A","Port Hardy",73,40,3,13,0,129,312
"Vancouver Island North/Île de Vancouver-Nord"," 17B","Port Hardy",54,25,7,26,0,112,292
"Vancouver Island North/Île de Vancouver-Nord"," 18","Winter Harbour",0,6,1,5,0,12,19
"Vancouver Island North/Île de Vancouver-Nord"," 19","Port Alice",57,30,7,11,0,105,176
"Vancouver Island North/Île de Vancouver-Nord"," 20","Port Alice",55,54,4,13,0,126,203
"Vancouver Island North/Île de Vancouver-Nord"," 21","Port Alice",78,54,4,17,0,153,268
"Vancouver Island North/Île de Vancouver-Nord"," 22","Sullivan Bay",Void/Supprimé,,,,,,
"Vancouver Island North/Île de Vancouver-Nord"," 23","Kingcome Inlet",23,3,10,8,0,44,61
"Vancouver Island North/Île de Vancouver-Nord"," 24","Minstrel Island",4,6,1,3,0,14,19
"Vancouver Island North/Île de Vancouver-Nord"," 25","Echo Bay",12,1,2,4,0,19,39
"Vancouver Island North/Île de Vancouver-Nord"," 26A","Sointula",111,36,10,9,1,167,261
"Vancouver Island North/Île de Vancouver-Nord"," 26B","Sointula",101,59,6,13,0,179,284
"Vancouver Island North/Île de Vancouver-Nord"," 27A","Port McNeill",58,57,3,19,0,137,238
"Vancouver Island North/Île de Vancouver-Nord"," 27B","Port McNeill",49,61,5,19,0,134,245
"Vancouver Island North/Île de Vancouver-Nord"," 27-1","Mount Waddington",Void/Supprimé,,,,,,
"Vancouver Island North/Île de Vancouver-Nord"," 28","Port McNeill",80,88,3,30,1,202,378
"Vancouver Island North/Île de Vancouver-Nord"," 29","Port McNeill",78,124,5,35,0,242,442
"Vancouver Island North/Île de Vancouver-Nord"," 30","Port McNeill",86,122,6,33,1,248,462
"Vancouver Island North/Île de Vancouver-Nord"," 31","Port McNeill",75,116,14,17,0,222,391
"Vancouver Island North/Île de Vancouver-Nord"," 32","Alert Bay 1",273,9,4,8,0,294,454
"Vancouver Island North/Île de Vancouver-Nord"," 33","Alert Bay",224,44,9,32,0,309,460
"Vancouver Island North/Île de Vancouver-Nord"," 34","Kyuquot",48,18,6,2,0,74,112
"Vancouver Island North/Île de Vancouver-Nord"," 35","Zeballos",62,39,4,19,0,124,189
"Vancouver Island North/Île de Vancouver-Nord"," 36A","Blind Channel",4,3,0,2,0,9,12
"Vancouver Island North/Île de Vancouver-Nord"," 36B","Blind Channel",1,5,0,5,0,11,17
"Vancouver Island North/Île de Vancouver-Nord"," 37","Woss",78,34,2,15,0,129,183
"Vancouver Island North/Île de Vancouver-Nord"," 38","Sayward",149,111,8,25,0,293,469
"Vancouver Island North/Île de Vancouver-Nord"," 39A","Sayward",Merged with No. 58/Fusionné avec le nº 58,,,,,,26
"Vancouver Island North/Île de Vancouver-Nord"," 39B","Sayward",60,49,4,12,0,125,169
"Vancouver Island North/Île de Vancouver-Nord"," 40","Quadra Island",154,51,19,16,0,240,306
"Vancouver Island North/Île de Vancouver-Nord"," 41","Surge Narrows",26,0,8,4,0,38,56
