Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Justine Charlemagne,Stéphane Chénier,Laura Colella,Massimo Pacetti,Pierre-Louis Parant,Ercolano Pingiotti,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 1","Saint-Léonard",37,3,15,92,3,39,3,192,349
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 2","Saint-Léonard",24,0,12,166,4,49,0,255,493
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 3","Saint-Léonard",40,1,14,112,1,36,2,206,375
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 4","Saint-Léonard",18,0,6,101,6,19,3,153,324
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 5","Saint-Léonard",34,1,7,121,7,23,1,194,389
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 6","Saint-Léonard",41,2,18,106,4,13,6,190,346
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 7","Saint-Léonard",38,1,17,123,7,36,2,224,409
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 8","Saint-Léonard",40,0,13,53,6,15,2,129,262
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 9","Saint-Léonard",32,0,14,127,6,34,0,213,340
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 10","Saint-Léonard",46,0,12,103,3,31,3,198,372
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 11","Saint-Léonard",25,0,12,134,8,30,4,213,339
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 12","Saint-Léonard",38,1,8,97,6,20,3,173,378
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 13","Saint-Léonard",40,0,19,119,8,27,4,217,370
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 14","Saint-Léonard",55,0,12,89,4,31,3,194,343
