Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Barclay,Bill Brown,Roger Valley,Dave Vasey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kenora/Kenora"," 1","Fort Severn 89",40,4,114,1,1,160,216
"Kenora/Kenora"," 2","Bearskin Lake",16,3,117,2,0,138,225
"Kenora/Kenora"," 3","Big Trout Lake",129,4,60,2,0,195,449
"Kenora/Kenora"," 4","Wapekeka 1",36,2,102,0,0,140,178
"Kenora/Kenora"," 5","Kasabonika Lake",42,5,145,4,1,197,335
"Kenora/Kenora"," 6","Webequie",60,2,249,2,1,314,405
"Kenora/Kenora"," 7","Summer Beaver",76,2,58,1,0,137,189
"Kenora/Kenora"," 8","Wunnummin Lake",75,1,74,2,0,152,255
"Kenora/Kenora"," 9","Wawakepewin",Merged with No. 8/Fusionné avec le nº 8,,,,,,14
"Kenora/Kenora"," 10","Kingfisher Lake 1",7,0,178,0,0,185,235
"Kenora/Kenora"," 11","Weagamow Lake 87",110,9,121,5,3,248,378
"Kenora/Kenora"," 12","Pickle Lake",54,40,45,7,1,147,272
"Kenora/Kenora"," 13","Neskantaga (Lansdown House)",60,11,28,1,0,100,138
"Kenora/Kenora"," 14A","Fort Hope 64",44,7,63,5,0,119,272
"Kenora/Kenora"," 14B","Fort Hope 64",45,3,80,5,0,133,300
"Kenora/Kenora"," 15","Osnaburgh 63A",38,2,32,1,0,73,236
"Kenora/Kenora"," 16","Savant Lake",16,3,9,1,0,29,72
"Kenora/Kenora"," 17","Sachigo Lake 1",22,8,89,2,0,121,227
"Kenora/Kenora"," 18","Sandy Lake 88",18,2,177,2,0,199,317
"Kenora/Kenora"," 19","Sandy Lake 88",20,3,293,3,0,319,543
"Kenora/Kenora"," 20","Keewaywin",6,4,104,2,0,116,129
"Kenora/Kenora"," 21","Muskrat Dam Lake",52,3,41,0,0,96,141
"Kenora/Kenora"," 22","North Spirit Lake",14,0,87,0,0,101,148
"Kenora/Kenora"," 23","Deer Lake",34,6,182,0,0,222,380
"Kenora/Kenora"," 24","Poplar Hill",13,7,126,0,0,146,163
"Kenora/Kenora"," 25","Pikangikum 14",17,4,154,0,0,175,681
"Kenora/Kenora"," 26","Madsen",20,29,13,2,0,64,103
"Kenora/Kenora"," 27","McKenzie Island",15,8,12,1,0,36,64
"Kenora/Kenora"," 28","Red Lake",84,58,73,12,1,228,405
"Kenora/Kenora"," 29","Red Lake",71,52,68,8,0,199,405
"Kenora/Kenora"," 30","Cochenour",78,58,37,7,1,181,357
"Kenora/Kenora"," 31","Balmertown",56,55,47,6,1,165,294
"Kenora/Kenora"," 32","Red Lake",58,54,57,2,1,172,310
"Kenora/Kenora"," 33","Red Lake",68,49,36,8,0,161,393
"Kenora/Kenora"," 34A","Balmertown",51,46,41,4,1,143,257
"Kenora/Kenora"," 34B","Balmertown",55,45,44,4,0,148,252
"Kenora/Kenora"," 35","Balmertown",41,60,41,9,1,152,231
"Kenora/Kenora"," 36","Ear Falls",70,59,18,0,0,147,291
"Kenora/Kenora"," 37","Ear Falls",73,107,40,8,0,228,410
"Kenora/Kenora"," 38","Ear Falls",14,34,13,6,0,67,151
"Kenora/Kenora"," 39","Cat Lake 63C",39,7,48,1,3,98,187
"Kenora/Kenora"," 40","Slate Falls",5,2,56,0,0,63,88
"Kenora/Kenora"," 41","Islington 29",37,8,105,3,0,153,398
"Kenora/Kenora"," 42","Grassy Narrows",29,5,118,7,1,160,324
"Kenora/Kenora"," 43","Minaki",19,24,31,0,0,74,137
"Kenora/Kenora"," 44","Pellatt",51,53,27,2,0,133,216
"Kenora/Kenora"," 45A","Jaffray and Melick",62,62,45,9,0,178,310
"Kenora/Kenora"," 45B","Jaffray and Melick",13,0,41,2,0,56,98
"Kenora/Kenora"," 46","Redditt",35,23,15,5,1,79,113
"Kenora/Kenora"," 47","Jaffray and Melick",67,78,41,4,0,190,323
"Kenora/Kenora"," 48","Machin",Merged with No. 49A/Fusionné avec le nº 49A,,,,,,31
"Kenora/Kenora"," 49A","Machin",44,88,39,5,0,176,260
