Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joëlle Chevrier,Stéphane Deschênes,Huguette Guilhaumon,Yvan Loubier,Jacques Tétreault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1","Saint-Louis",25,28,63,187,21,4,328,564
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 2","Saint-Marcel-de-Richelieu",11,24,76,158,7,4,280,422
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 3","Saint-Hugues",20,12,52,128,7,4,223,318
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 4","Saint-Hugues",13,17,44,148,9,6,237,360
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 5","Saint-Hugues",26,9,82,119,8,5,249,363
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 6","Saint-Bernard-de-Michaudville",14,18,74,177,17,4,304,443
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 7","Saint-Jude",10,17,42,177,2,3,251,416
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 8","Saint-Jude",6,16,65,151,13,5,256,439
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 9","Saint-Barnabé-Sud",7,33,68,129,1,5,243,347
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 10","Saint-Barnabé-Sud",12,17,50,122,9,3,213,298
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 11","Sainte-Hélène-de-Bagot",13,10,72,142,9,2,248,461
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 12","Sainte-Hélène-de-Bagot",12,10,55,109,9,3,198,298
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 13","Sainte-Hélène-de-Bagot",17,20,70,104,6,2,219,367
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 14","Saint-Nazaire-d'Acton",11,26,58,110,6,3,214,332
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 15","Saint-Nazaire-d'Acton",22,13,54,81,7,3,180,298
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 16","Saint-Théodore-d'Acton",18,20,59,134,9,4,244,430
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 17","Saint-Théodore-d'Acton",11,22,54,115,10,4,216,354
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 18","Saint-Théodore-d'Acton",15,26,85,102,16,6,250,346
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 19A","Saint-André-d'Acton",8,15,57,107,7,1,195,339
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 19B","Saint-André-d'Acton",10,10,63,95,12,0,190,313
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 20","Acton Vale",20,21,94,151,9,6,301,526
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 21","Acton Vale",9,18,89,113,13,6,248,373
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 22A","Acton Vale",10,16,62,105,5,1,199,310
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 22B","Acton Vale",7,16,43,107,5,6,184,286
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 23","Acton Vale",15,21,89,136,8,2,271,443
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 24","Acton Vale",11,19,55,105,9,4,203,395
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 25","Acton Vale",15,36,66,122,11,4,254,473
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 26","Acton Vale",17,22,66,148,16,4,273,516
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 27","Acton Vale",7,12,73,135,13,6,246,473
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 28","Saint-André-d'Acton",13,11,82,137,18,2,263,487
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 29","Sainte-Christine",6,20,39,101,7,4,177,268
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 30","Sainte-Christine",11,17,43,110,17,3,201,298
