Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alice Brown,Gordon Campbell,Will Hansma,Colin Mayes,Harry Naegel,Neville O'Grady,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Okanagan--Shuswap/Okanagan--Shuswap"," 23A","White Lake",55,2,46,54,4,0,0,0,161,270
"Okanagan--Shuswap/Okanagan--Shuswap"," 23B","White Lake",34,2,41,91,6,1,1,1,177,268
"Okanagan--Shuswap/Okanagan--Shuswap"," 24A","Tappen",55,0,45,85,11,0,0,0,196,348
"Okanagan--Shuswap/Okanagan--Shuswap"," 24B","Tappen",80,1,42,87,8,1,1,3,223,354
"Okanagan--Shuswap/Okanagan--Shuswap"," 25","Sunnybrae",66,1,71,152,25,0,3,0,318,456
"Okanagan--Shuswap/Okanagan--Shuswap"," 26","Canoe",71,0,29,71,9,0,1,0,181,281
"Okanagan--Shuswap/Okanagan--Shuswap"," 27","Sicamous",52,1,58,89,13,0,0,0,213,424
"Okanagan--Shuswap/Okanagan--Shuswap"," 28","Six Mile Point",30,1,31,59,6,0,1,0,128,311
"Okanagan--Shuswap/Okanagan--Shuswap"," 29","Sicamous",51,5,61,75,9,0,4,1,206,416
"Okanagan--Shuswap/Okanagan--Shuswap"," 30","Sicamous",39,1,43,99,17,2,1,0,202,360
"Okanagan--Shuswap/Okanagan--Shuswap"," 31","Malakwa",65,6,90,96,17,0,0,0,274,461
"Okanagan--Shuswap/Okanagan--Shuswap"," 32","Three Valley",Void/Supprimé,,,,,,,,,
"Okanagan--Shuswap/Okanagan--Shuswap"," 33A","Sicamous",32,2,33,58,4,1,1,0,131,260
"Okanagan--Shuswap/Okanagan--Shuswap"," 33B","Sicamous",38,0,45,58,7,1,0,0,149,273
"Okanagan--Shuswap/Okanagan--Shuswap"," 34","Sicamous",73,5,58,104,8,2,2,1,253,437
"Okanagan--Shuswap/Okanagan--Shuswap"," 35A","Salmon Arm--Switzemalph",36,0,25,52,6,0,0,0,119,242
"Okanagan--Shuswap/Okanagan--Shuswap"," 35B","Salmon Arm--Switzemalph",32,0,22,61,8,1,0,0,124,258
"Okanagan--Shuswap/Okanagan--Shuswap"," 36A","Salmon Arm",57,0,33,83,2,0,0,0,175,392
"Okanagan--Shuswap/Okanagan--Shuswap"," 36B","Salmon Arm",43,1,34,77,4,1,0,1,161,389
"Okanagan--Shuswap/Okanagan--Shuswap"," 37","Canoe",57,1,50,114,7,0,0,0,229,378
"Okanagan--Shuswap/Okanagan--Shuswap"," 38A","Canoe",68,0,25,75,4,1,3,0,176,293
"Okanagan--Shuswap/Okanagan--Shuswap"," 38B","Canoe",61,1,38,86,5,0,5,1,197,321
