Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alice Brown,Gordon Campbell,Will Hansma,Colin Mayes,Harry Naegel,Neville O'Grady,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Okanagan--Shuswap/Okanagan--Shuswap"," 165B","Vernon",32,2,35,80,6,0,0,1,156,278
"Okanagan--Shuswap/Okanagan--Shuswap"," 166A","Vernon",39,0,37,72,2,1,2,1,154,308
"Okanagan--Shuswap/Okanagan--Shuswap"," 166B","Vernon",43,0,37,75,3,1,2,0,161,305
"Okanagan--Shuswap/Okanagan--Shuswap"," 166C","Vernon",30,2,35,63,6,0,1,1,138,278
"Okanagan--Shuswap/Okanagan--Shuswap"," 167","Vernon",16,1,39,53,3,0,0,0,112,192
"Okanagan--Shuswap/Okanagan--Shuswap"," 168","Kalamalka",14,0,17,37,1,0,1,0,70,160
"Okanagan--Shuswap/Okanagan--Shuswap"," 169A","Coldstream--Cousins Bay",44,0,43,57,7,0,0,0,151,259
"Okanagan--Shuswap/Okanagan--Shuswap"," 169B","Coldstream--Cousins Bay",37,1,41,69,5,0,1,0,154,240
"Okanagan--Shuswap/Okanagan--Shuswap"," 170","Coldstream Lookout",60,2,79,115,13,0,2,0,271,448
"Okanagan--Shuswap/Okanagan--Shuswap"," 171","Coldstream College",29,0,39,64,6,0,1,1,140,252
"Okanagan--Shuswap/Okanagan--Shuswap"," 172","Coldstream Lookout",29,2,40,56,7,0,1,1,136,238
"Okanagan--Shuswap/Okanagan--Shuswap"," 173A","Coldstream--Orchard Ridge",37,2,59,101,7,2,0,0,208,355
"Okanagan--Shuswap/Okanagan--Shuswap"," 173B","Coldstream--Orchard Ridge",39,1,54,106,9,0,2,1,212,366
"Okanagan--Shuswap/Okanagan--Shuswap"," 173C","Coldstream--Orchard Ridge",23,0,65,94,7,0,0,3,192,360
"Okanagan--Shuswap/Okanagan--Shuswap"," 174","Coldstream",44,1,32,80,16,0,2,0,175,290
"Okanagan--Shuswap/Okanagan--Shuswap"," 175","Coldstream",41,2,52,75,15,0,0,0,185,326
"Okanagan--Shuswap/Okanagan--Shuswap"," 176A","Coldstream",43,0,40,65,8,0,1,0,157,287
"Okanagan--Shuswap/Okanagan--Shuswap"," 176B","Coldstream",37,1,43,58,8,0,2,1,150,280
"Okanagan--Shuswap/Okanagan--Shuswap"," 177","Coldstream",30,0,25,33,4,0,1,0,93,136
"Okanagan--Shuswap/Okanagan--Shuswap"," 178","Coldstream",53,0,70,94,9,1,2,1,230,427
"Okanagan--Shuswap/Okanagan--Shuswap"," 179","Coldstream",57,0,35,68,4,1,1,1,167,295
"Okanagan--Shuswap/Okanagan--Shuswap"," 180","Coldstream",51,1,71,136,7,0,1,0,267,449
"Okanagan--Shuswap/Okanagan--Shuswap"," 181","Coldstream",64,4,68,114,21,0,2,1,274,424
"Okanagan--Shuswap/Okanagan--Shuswap"," 182","Lavington",49,1,37,106,8,1,1,4,207,352
"Okanagan--Shuswap/Okanagan--Shuswap"," 183","Lavington",54,0,43,109,5,0,2,0,213,319
"Okanagan--Shuswap/Okanagan--Shuswap"," 184","Lavington",71,1,37,143,12,2,4,0,270,471
"Okanagan--Shuswap/Okanagan--Shuswap"," 185","Coldstream",62,0,44,113,15,1,2,1,238,392
"Okanagan--Shuswap/Okanagan--Shuswap"," 186A","Lumby--Trinity Valley",37,1,15,76,12,0,0,1,142,253
"Okanagan--Shuswap/Okanagan--Shuswap"," 186B","Lumby--Trinity Valley",26,1,27,51,3,2,0,0,110,244
"Okanagan--Shuswap/Okanagan--Shuswap"," 187A","Lumby",51,1,35,83,8,0,0,2,180,367
"Okanagan--Shuswap/Okanagan--Shuswap"," 187B","Lumby",57,1,34,88,17,1,0,0,198,377
"Okanagan--Shuswap/Okanagan--Shuswap"," 188A","Lumby",30,1,29,61,10,1,1,2,135,272
"Okanagan--Shuswap/Okanagan--Shuswap"," 188B","Lumby",45,2,28,87,6,1,3,0,172,273
"Okanagan--Shuswap/Okanagan--Shuswap"," 189","Lumby--Creighton Valley",53,1,27,55,19,20,0,0,175,300
"Okanagan--Shuswap/Okanagan--Shuswap"," 190A","Lumby",64,1,39,85,11,0,1,1,202,362
"Okanagan--Shuswap/Okanagan--Shuswap"," 190B","Lumby",63,1,35,78,8,1,4,0,190,355
"Okanagan--Shuswap/Okanagan--Shuswap"," 191A","Lumby",47,0,22,38,7,1,0,1,116,236
"Okanagan--Shuswap/Okanagan--Shuswap"," 191B","Lumby",35,1,26,35,3,0,0,0,100,213
"Okanagan--Shuswap/Okanagan--Shuswap"," 192","Cherryville",94,1,31,76,16,16,5,0,239,395
"Okanagan--Shuswap/Okanagan--Shuswap"," 500","Mobile poll/Bureau itinérant",8,7,15,20,1,1,1,1,54,139
"Okanagan--Shuswap/Okanagan--Shuswap"," 501","Mobile poll/Bureau itinérant",26,3,6,32,0,0,1,2,70,142
"Okanagan--Shuswap/Okanagan--Shuswap"," 502","Mobile poll/Bureau itinérant",34,10,29,52,4,3,5,1,138,276
"Okanagan--Shuswap/Okanagan--Shuswap"," 503","Mobile poll/Bureau itinérant",12,3,9,8,1,0,0,2,35,86
"Okanagan--Shuswap/Okanagan--Shuswap"," 504A","Mobile poll/Bureau itinérant",13,2,8,25,1,1,1,1,52,19
"Okanagan--Shuswap/Okanagan--Shuswap"," 504B","Mobile poll/Bureau itinérant",32,4,19,39,3,0,2,1,100,104
"Okanagan--Shuswap/Okanagan--Shuswap"," 505","Mobile poll/Bureau itinérant",18,5,7,28,1,1,3,2,65,153
"Okanagan--Shuswap/Okanagan--Shuswap"," 600","Chase",59,0,63,135,9,1,1,1,269,
"Okanagan--Shuswap/Okanagan--Shuswap"," 601","Scotch Creek--Anglemont",45,1,40,65,5,3,2,0,161,
"Okanagan--Shuswap/Okanagan--Shuswap"," 602","Sorrento--Eagle Bay",83,2,99,250,6,0,0,1,441,
"Okanagan--Shuswap/Okanagan--Shuswap"," 603","Sicamous",68,2,62,131,12,1,0,3,279,
"Okanagan--Shuswap/Okanagan--Shuswap"," 604","Salmon Arm #1",185,3,100,282,17,0,7,2,596,
"Okanagan--Shuswap/Okanagan--Shuswap"," 605","Salmon Arm #2",187,5,131,294,14,1,4,1,637,
"Okanagan--Shuswap/Okanagan--Shuswap"," 606","Enderby",93,5,65,197,8,1,0,1,370,
"Okanagan--Shuswap/Okanagan--Shuswap"," 607","Armstrong--Spallumcheen",135,1,134,431,20,0,2,5,728,
"Okanagan--Shuswap/Okanagan--Shuswap"," 608","Vernon",98,0,81,237,9,0,1,0,426,
"Okanagan--Shuswap/Okanagan--Shuswap"," 609","Vernon",154,9,186,344,20,2,1,0,716,
"Okanagan--Shuswap/Okanagan--Shuswap"," 610","Vernon",191,15,247,376,22,1,2,6,860,
"Okanagan--Shuswap/Okanagan--Shuswap"," 611","Vernon",133,2,147,350,20,0,7,2,661,
"Okanagan--Shuswap/Okanagan--Shuswap"," 612","Vernon",176,8,174,370,10,1,5,2,746,
"Okanagan--Shuswap/Okanagan--Shuswap"," 613","Coldstream",75,0,70,170,11,0,0,0,326,
"Okanagan--Shuswap/Okanagan--Shuswap"," 614","Lumby",72,6,69,123,16,0,1,0,287,
"Okanagan--Shuswap/Okanagan--Shuswap",,Group 1/Groupe 1,15,1,24,52,12,1,1,7,113,210
"Okanagan--Shuswap/Okanagan--Shuswap",,Group 2/Groupe 2,306,4,399,918,45,5,9,17,1703,
