Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yurgo Alexopoulos,Maurizio Bevilacqua,Paolo Fabrizio,Richard Majkot,Adrian Visentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vaughan/Vaughan"," 1","Vaughan",14,112,0,122,20,0,268,494
"Vaughan/Vaughan"," 2A","Vaughan",7,102,2,85,22,0,218,385
"Vaughan/Vaughan"," 2B","Vaughan",11,128,3,82,15,1,240,421
"Vaughan/Vaughan"," 3","Vaughan",10,47,1,67,16,0,141,301
"Vaughan/Vaughan"," 4","Vaughan",18,134,1,118,25,0,296,471
"Vaughan/Vaughan"," 5","Vaughan",9,94,2,72,27,0,204,315
"Vaughan/Vaughan"," 6","Vaughan",10,96,0,111,12,0,229,361
"Vaughan/Vaughan"," 7","Vaughan",12,66,0,87,16,1,182,289
"Vaughan/Vaughan"," 8","Vaughan",13,72,0,54,8,0,147,315
"Vaughan/Vaughan"," 9A","Vaughan",18,133,2,67,14,1,235,447
"Vaughan/Vaughan"," 9B","Vaughan",38,136,1,68,19,1,263,482
"Vaughan/Vaughan"," 9C","Vaughan",17,128,2,59,13,2,221,443
"Vaughan/Vaughan"," 10A","Vaughan",13,84,0,71,7,0,175,310
"Vaughan/Vaughan"," 10B","Vaughan",10,92,1,59,15,0,177,300
"Vaughan/Vaughan"," 11","Vaughan",17,100,2,96,10,1,226,474
"Vaughan/Vaughan"," 12A","Vaughan",25,100,1,61,6,0,193,359
"Vaughan/Vaughan"," 12B","Vaughan",22,110,0,38,22,2,194,418
"Vaughan/Vaughan"," 13","Vaughan",16,149,4,99,7,0,275,425
"Vaughan/Vaughan"," 14","Vaughan",31,139,1,80,14,3,268,443
"Vaughan/Vaughan"," 15","Vaughan",15,115,0,80,12,1,223,359
"Vaughan/Vaughan"," 16A","Vaughan",25,125,2,46,4,3,205,355
"Vaughan/Vaughan"," 16B","Vaughan",24,133,2,63,6,2,230,454
"Vaughan/Vaughan"," 16C","Vaughan",17,127,6,61,7,0,218,412
"Vaughan/Vaughan"," 17","Vaughan",36,165,6,70,21,8,306,600
"Vaughan/Vaughan"," 18","Vaughan",21,124,3,51,9,2,210,369
"Vaughan/Vaughan"," 19","Vaughan",30,219,2,82,14,9,356,589
"Vaughan/Vaughan"," 20","Vaughan",23,154,4,90,28,2,301,498
"Vaughan/Vaughan"," 21","Vaughan",14,165,5,55,8,4,251,437
"Vaughan/Vaughan"," 22A","Vaughan",11,232,1,8,2,0,254,409
