Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Batters,Jo-Anne Dusel,Marcia Fogal,Larissa Shasko,John Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Palliser/Palliser"," 1","Caron",151,34,0,3,13,0,201,338
"Palliser/Palliser"," 2","Caronport",207,13,2,2,3,0,227,272
"Palliser/Palliser"," 3","Caronport",442,8,1,8,8,1,468,646
"Palliser/Palliser"," 4","Pasqua",101,18,0,0,12,0,131,217
"Palliser/Palliser"," 5","Boharm",123,32,1,9,16,0,181,319
"Palliser/Palliser"," 6","Bushell Park",51,11,1,7,13,2,85,203
"Palliser/Palliser"," 7","Baildon",120,45,0,2,10,1,178,275
"Palliser/Palliser"," 8","Moose Jaw",213,66,1,12,45,0,337,565
"Palliser/Palliser"," 9","Moose Jaw",134,62,3,10,49,0,258,411
"Palliser/Palliser"," 10","Moose Jaw",218,87,0,6,45,0,356,574
"Palliser/Palliser"," 11","Moose Jaw",144,70,2,3,26,1,246,352
"Palliser/Palliser"," 12","Moose Jaw",195,76,2,1,41,1,316,525
"Palliser/Palliser"," 13","Moose Jaw",182,114,0,8,69,2,375,619
"Palliser/Palliser"," 14","Moose Jaw",115,95,2,7,50,0,269,401
"Palliser/Palliser"," 15","Moose Jaw",138,72,0,4,30,0,244,361
"Palliser/Palliser"," 16","Moose Jaw",157,51,0,5,33,0,246,441
"Palliser/Palliser"," 17","Moose Jaw",111,62,0,3,46,0,222,378
"Palliser/Palliser"," 18","Moose Jaw",152,113,1,10,48,2,326,621
"Palliser/Palliser"," 19","Moose Jaw",130,62,0,7,37,1,237,405
"Palliser/Palliser"," 20","Moose Jaw",86,72,0,8,37,0,203,336
"Palliser/Palliser"," 21","Moose Jaw",81,52,0,3,32,0,168,289
"Palliser/Palliser"," 22","Moose Jaw",109,77,1,5,37,0,229,382
"Palliser/Palliser"," 23","Moose Jaw",70,59,3,9,18,1,160,297
"Palliser/Palliser"," 24","Moose Jaw",133,82,0,4,29,0,248,417
"Palliser/Palliser"," 25","Moose Jaw",58,44,0,0,9,0,111,183
"Palliser/Palliser"," 26","Moose Jaw",78,66,0,2,17,0,163,298
"Palliser/Palliser"," 27","Moose Jaw",83,72,5,6,19,1,186,351
"Palliser/Palliser"," 28","Moose Jaw",64,73,2,6,30,0,175,294
"Palliser/Palliser"," 29","Moose Jaw",60,57,0,8,14,0,139,246
"Palliser/Palliser"," 30","Moose Jaw",76,47,0,10,26,1,160,316
"Palliser/Palliser"," 31","Moose Jaw",88,72,1,8,14,0,183,359
"Palliser/Palliser"," 32","Moose Jaw",78,67,0,9,25,0,179,336
"Palliser/Palliser"," 33","Moose Jaw",97,94,3,7,31,1,233,395
"Palliser/Palliser"," 34","Moose Jaw",108,76,1,6,50,0,241,416
"Palliser/Palliser"," 35","Moose Jaw",80,88,1,9,26,0,204,363
"Palliser/Palliser"," 36","Moose Jaw",67,58,1,5,39,0,170,272
"Palliser/Palliser"," 37","Moose Jaw",91,54,0,10,19,1,175,313
"Palliser/Palliser"," 38","Moose Jaw",39,66,0,6,14,0,125,277
"Palliser/Palliser"," 39","Moose Jaw",76,65,3,8,26,1,179,345
"Palliser/Palliser"," 40","Moose Jaw",106,81,2,6,38,0,233,417
"Palliser/Palliser"," 41A","Moose Jaw",65,47,0,7,14,0,133,336
"Palliser/Palliser"," 41B","Mobile poll/Bureau itinérant",Merged with No. 400/Fusionné avec le nº 400,,,,,,,108
"Palliser/Palliser"," 42","Moose Jaw",46,47,0,12,18,0,123,312
"Palliser/Palliser"," 43","Moose Jaw",56,51,1,3,49,3,163,248
"Palliser/Palliser"," 44","Moose Jaw",112,75,1,5,53,1,247,386
"Palliser/Palliser"," 45","Moose Jaw",97,99,6,4,50,3,259,351
"Palliser/Palliser"," 46","Moose Jaw",47,42,1,2,24,0,116,302
"Palliser/Palliser"," 47","Moose Jaw",74,81,1,6,52,0,214,309
"Palliser/Palliser"," 48","Moose Jaw",57,54,1,5,27,0,144,308
"Palliser/Palliser"," 49","Moose Jaw",53,74,1,7,20,1,156,323
"Palliser/Palliser"," 50","Moose Jaw",61,55,2,9,25,0,152,309
"Palliser/Palliser"," 51","Moose Jaw",108,82,1,14,31,0,236,384
"Palliser/Palliser"," 52","Moose Jaw",86,77,1,12,32,0,208,372
"Palliser/Palliser"," 53","Moose Jaw",61,60,1,7,21,0,150,303
"Palliser/Palliser"," 54","Moose Jaw",43,61,0,6,31,0,141,298
"Palliser/Palliser"," 55","Moose Jaw",119,105,1,11,32,0,268,473
"Palliser/Palliser"," 56","Moose Jaw",76,79,2,4,29,0,190,337
"Palliser/Palliser"," 57","Moose Jaw",107,85,0,5,28,0,225,394
"Palliser/Palliser"," 58","Moose Jaw",95,95,0,6,31,1,228,386
"Palliser/Palliser"," 59","Moose Jaw",61,41,2,3,14,0,121,254
"Palliser/Palliser"," 60","Moose Jaw",77,82,0,2,22,2,185,351
"Palliser/Palliser"," 61","Moose Jaw",56,60,1,6,17,2,142,322
"Palliser/Palliser"," 62","Moose Jaw",56,69,1,11,21,0,158,328
"Palliser/Palliser"," 63","Moose Jaw",92,85,1,6,28,0,212,350
"Palliser/Palliser"," 64","Moose Jaw",78,99,1,13,37,1,229,386
"Palliser/Palliser"," 65","Moose Jaw",56,59,0,10,23,0,148,307
"Palliser/Palliser"," 66","Moose Jaw",82,98,1,8,17,0,206,403
"Palliser/Palliser"," 67","Moose Jaw",110,82,0,6,37,0,235,456
"Palliser/Palliser"," 68","Moose Jaw",81,74,0,10,28,0,193,364
"Palliser/Palliser"," 69","Moose Jaw",118,76,0,7,22,0,223,388
"Palliser/Palliser"," 70","Moose Jaw",96,41,0,8,21,0,166,298
"Palliser/Palliser"," 71","Moose Jaw",94,94,0,10,23,0,221,386
"Palliser/Palliser"," 72","Drinkwater",117,13,1,7,14,0,152,240
"Palliser/Palliser"," 73","Keystown",93,19,0,1,23,0,136,221
"Palliser/Palliser"," 74","Pense",166,54,1,5,37,1,264,382
"Palliser/Palliser"," 75","Regina",133,49,0,7,77,0,266,421
"Palliser/Palliser"," 76","Briercrest",137,21,1,5,13,0,177,256
"Palliser/Palliser"," 77","Rouleau",160,39,1,9,19,1,229,401
"Palliser/Palliser"," 78","Wilcox",124,21,1,8,47,0,201,293
"Palliser/Palliser"," 79","Regina",45,98,0,14,44,0,201,345
"Palliser/Palliser"," 80","Regina",37,115,0,9,30,0,191,311
"Palliser/Palliser"," 81","Regina",28,82,0,17,29,0,156,307
"Palliser/Palliser"," 82","Regina",48,127,0,17,56,0,248,421
"Palliser/Palliser"," 83","Regina",56,158,1,27,46,0,288,423
"Palliser/Palliser"," 84","Regina",58,128,3,11,92,1,293,412
"Palliser/Palliser"," 85","Regina",50,128,1,12,54,0,245,417
"Palliser/Palliser"," 86","Regina",37,144,1,22,55,2,261,416
"Palliser/Palliser"," 87","Regina",50,124,0,16,62,1,253,442
"Palliser/Palliser"," 88","Regina",43,142,2,13,56,0,256,396
"Palliser/Palliser"," 89","Regina",87,143,1,16,72,1,320,439
"Palliser/Palliser"," 90","Regina",62,171,0,18,52,0,303,465
"Palliser/Palliser"," 91","Regina",59,152,1,15,59,0,286,430
"Palliser/Palliser"," 92","Regina",89,115,0,4,41,1,250,380
"Palliser/Palliser"," 93","Regina",61,110,0,10,74,0,255,385
"Palliser/Palliser"," 94","Regina",65,92,0,13,64,0,234,340
"Palliser/Palliser"," 95","Regina",68,115,0,8,98,0,289,394
"Palliser/Palliser"," 96","Regina",63,85,0,14,63,0,225,312
"Palliser/Palliser"," 97","Regina",80,84,0,18,74,0,256,349
"Palliser/Palliser"," 98","Regina",49,85,0,6,45,0,185,320
"Palliser/Palliser"," 99","Regina",56,93,0,13,50,0,212,334
"Palliser/Palliser"," 100","Regina",61,99,1,17,67,0,245,355
"Palliser/Palliser"," 101","Regina",110,106,1,6,57,1,281,428
"Palliser/Palliser"," 102","Regina",62,92,0,10,55,1,220,324
"Palliser/Palliser"," 103","Regina",70,87,0,12,82,1,252,378
"Palliser/Palliser"," 104","Regina",71,80,0,8,78,0,237,325
"Palliser/Palliser"," 105","Regina",100,61,0,9,78,0,248,358
"Palliser/Palliser"," 106","Regina",92,84,0,10,89,1,276,394
"Palliser/Palliser"," 107","Regina",73,89,0,14,73,0,249,373
"Palliser/Palliser"," 108","Regina",98,77,0,8,68,1,252,385
"Palliser/Palliser"," 109","Regina",61,67,0,11,45,1,185,316
"Palliser/Palliser"," 110","Regina",50,69,1,5,62,1,188,359
"Palliser/Palliser"," 111","Regina",83,54,0,7,71,0,215,324
"Palliser/Palliser"," 112","Regina",74,69,1,10,71,0,225,361
"Palliser/Palliser"," 113","Regina",88,61,2,11,91,0,253,403
"Palliser/Palliser"," 114","Regina",61,50,0,6,58,0,175,314
"Palliser/Palliser"," 115","Regina",43,42,0,9,82,0,176,329
"Palliser/Palliser"," 116","Regina",117,85,1,4,75,1,283,435
"Palliser/Palliser"," 117","Regina",119,61,0,5,68,0,253,377
"Palliser/Palliser"," 118","Regina",81,62,0,9,80,1,233,354
"Palliser/Palliser"," 119","Regina",91,91,0,19,69,2,272,410
"Palliser/Palliser"," 120","Regina",72,72,1,7,74,0,226,359
"Palliser/Palliser"," 121","Regina",94,50,0,4,90,0,238,408
"Palliser/Palliser"," 122","Regina",62,54,0,4,97,1,218,377
"Palliser/Palliser"," 123","Regina",82,58,0,8,87,1,236,382
"Palliser/Palliser"," 124","Regina",100,50,0,6,93,1,250,399
"Palliser/Palliser"," 125","Regina",83,78,0,4,59,0,224,369
"Palliser/Palliser"," 126","Regina",127,41,1,11,72,0,252,365
"Palliser/Palliser"," 127","Regina",129,86,0,8,107,3,333,576
"Palliser/Palliser"," 128","Regina",117,54,0,11,100,1,283,450
"Palliser/Palliser"," 129","Regina",67,35,0,4,53,0,159,251
"Palliser/Palliser"," 130","Regina",92,67,1,5,99,0,264,463
"Palliser/Palliser"," 131","Old Wives",80,13,0,0,5,0,98,175
"Palliser/Palliser"," 132","Mossbank",131,38,0,2,28,2,201,271
"Palliser/Palliser"," 133","Ardill",63,14,0,1,16,0,94,155
"Palliser/Palliser"," 134","Avonlea",120,18,2,5,23,0,168,268
"Palliser/Palliser"," 135","Avonlea",142,30,0,5,22,0,199,321
"Palliser/Palliser"," 400","Mobile poll/Bureau itinérant",97,54,0,1,43,2,197,130
"Palliser/Palliser"," 401","Regina",Void/Supprimé,,,,,,,
"Palliser/Palliser"," 500","Mobile poll/Bureau itinérant",14,15,2,0,9,2,42,101
"Palliser/Palliser"," 501","Mobile poll/Bureau itinérant",38,48,3,1,27,1,118,181
"Palliser/Palliser"," 502","Mobile poll/Bureau itinérant",42,19,3,1,25,0,90,421
"Palliser/Palliser"," 503","Mobile poll/Bureau itinérant",37,32,4,1,20,2,96,151
"Palliser/Palliser"," 504","Mobile poll/Bureau itinérant",11,16,0,1,19,3,50,163
"Palliser/Palliser"," 505","Mobile poll/Bureau itinérant",17,23,2,2,23,1,68,200
"Palliser/Palliser"," 506","Mobile poll/Bureau itinérant",15,26,5,2,21,1,70,163
"Palliser/Palliser"," 600","Caronport",97,10,1,0,5,1,114,
"Palliser/Palliser"," 601","Moose Jaw",393,219,1,10,108,0,731,
