Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Duguid,Eduard Hiebert,Evelyn Myskiw,Joy Smith,Colleen Zobel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kildonan--St. Paul/Kildonan--St. Paul"," 1","Parkdale",43,1,30,101,3,2,180,325
"Kildonan--St. Paul/Kildonan--St. Paul"," 2","Rivercrest",44,1,72,145,12,0,274,448
"Kildonan--St. Paul/Kildonan--St. Paul"," 3","Middlechurch",86,4,63,134,13,0,300,515
"Kildonan--St. Paul/Kildonan--St. Paul"," 4","Middlechurch",82,1,46,139,18,0,286,430
"Kildonan--St. Paul/Kildonan--St. Paul"," 5","Rivercrest",51,0,45,112,12,0,220,375
"Kildonan--St. Paul/Kildonan--St. Paul"," 6","Middlechurch",50,3,53,85,5,4,200,439
"Kildonan--St. Paul/Kildonan--St. Paul"," 7","McNaughton",67,3,62,99,5,0,236,402
"Kildonan--St. Paul/Kildonan--St. Paul"," 8","Riverdale",88,1,34,131,7,0,261,476
"Kildonan--St. Paul/Kildonan--St. Paul"," 9","East St. Paul",67,0,32,149,12,2,262,435
"Kildonan--St. Paul/Kildonan--St. Paul"," 10","East St. Paul",52,1,29,114,4,0,200,339
"Kildonan--St. Paul/Kildonan--St. Paul"," 11A","East St. Paul",41,0,19,60,4,0,124,281
"Kildonan--St. Paul/Kildonan--St. Paul"," 11B","East St. Paul",49,1,24,74,3,0,151,315
"Kildonan--St. Paul/Kildonan--St. Paul"," 12","East St. Paul",61,0,20,136,11,1,229,385
"Kildonan--St. Paul/Kildonan--St. Paul"," 13","East St. Paul",90,0,42,172,15,4,323,494
"Kildonan--St. Paul/Kildonan--St. Paul"," 14","East St. Paul",39,1,15,87,4,1,147,235
"Kildonan--St. Paul/Kildonan--St. Paul"," 15","East St. Paul",55,0,14,105,1,0,175,289
"Kildonan--St. Paul/Kildonan--St. Paul"," 16","Birds Hill",87,2,26,152,8,0,275,406
