Province,Electoral District/Circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","Fabian Manning Conservative/Conservateur","St. Bride's, N.L./T.-N.-L.","Parliamentarian/Parlementaire",19132,51.55,      4814,  13.0
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","Bill Morrow Liberal/Libéral","Bay Roberts, N.L./T.-N.-L.","Lawyer/Avocat",14318,38.58,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","Eugene Conway N.D.P./N.P.D.","Conception Harbour, N.L./T.-N.-L.","Business Owner/Propriétaire d'entreprise",3365,9.07,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","Shannon Hillier Green Party/Parti Vert","St. John's, N.L./T.-N.-L.","Provincial Organizer/Organisatrice provinciale",297,.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","Scott Simms ** Liberal/Libéral","Bishop's Falls, N.L./T.-N.-L.","Parliamentarian/Parlementaire",19866,52.04,      4490,  11.8
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","Aaron Hynes Conservative/Conservateur","Eastport, N.L./T.-N.-L.","Legislative Assistant/Adjoint législatif",15376,40.28,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","Sandra Cooze N.D.P./N.P.D.","Brookfield, N.L./T.-N.-L.","Teacher/Enseignante",2668,6.99,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","Judy Davis Green Party/Parti Vert","Tatamagouche, N.S./N.-É.","Employment Counsellor/Conseillère en emploi",265,.69,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Gerry Byrne ** Liberal/Libéral","Corner Brook, N.L./T.-N.-L.","Parliamentarian/Parlementaire",17208,52.9,      7071,  21.7
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Cyril Jr. Pelley Conservative/Conservateur","Springdale, N.L./T.-N.-L.","Businessman/Homme d'affaires",10137,31.16,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Holly Pike N.D.P./N.P.D.","Corner Brook, N.L./T.-N.-L.","University Professor/Professeure d'université",4847,14.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Martin Hanzalek Green Party/Parti Vert","Pasadena, N.L./T.-N.-L.","Adventure Tourism/Tourisme d'aventure",339,1.04,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Todd Norman Russell ** Liberal/Libéral","Happy Valley-Goose Bay, N.L./T.-N.-L.","Parliamentarian/Parlementaire",5768,50.53,      1240,  10.9
