Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Charlton,Stephen Downey,Don Graves,Bill Kelly,Paul Lane,Susan Wadsworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hamilton Mountain/Hamilton Mountain"," 1","Hamilton ",64,0,54,52,0,6,0,176,306
"Hamilton Mountain/Hamilton Mountain"," 2","Hamilton ",67,2,42,48,0,2,0,161,316
"Hamilton Mountain/Hamilton Mountain"," 3","Hamilton ",72,0,39,49,1,6,1,168,312
"Hamilton Mountain/Hamilton Mountain"," 4","Hamilton ",100,0,45,36,0,7,2,190,338
"Hamilton Mountain/Hamilton Mountain"," 5","Hamilton ",83,2,40,52,0,3,0,180,284
"Hamilton Mountain/Hamilton Mountain"," 6","Hamilton ",47,3,51,68,1,4,1,175,364
"Hamilton Mountain/Hamilton Mountain"," 7","Hamilton ",99,2,35,62,0,9,1,208,340
"Hamilton Mountain/Hamilton Mountain"," 8","Hamilton ",43,2,48,71,0,7,1,172,306
"Hamilton Mountain/Hamilton Mountain"," 9","Hamilton ",84,3,59,35,0,6,3,190,375
"Hamilton Mountain/Hamilton Mountain"," 10","Hamilton ",84,0,55,76,1,6,2,224,330
"Hamilton Mountain/Hamilton Mountain"," 11","Hamilton ",74,0,49,76,0,6,0,205,308
"Hamilton Mountain/Hamilton Mountain"," 12","Hamilton ",96,3,63,60,0,6,1,229,360
"Hamilton Mountain/Hamilton Mountain"," 13","Hamilton ",87,2,56,96,1,7,1,250,386
"Hamilton Mountain/Hamilton Mountain"," 14","Hamilton ",103,1,48,47,0,7,0,206,424
"Hamilton Mountain/Hamilton Mountain"," 15","Hamilton ",97,1,52,80,0,9,0,239,406
"Hamilton Mountain/Hamilton Mountain"," 16","Hamilton ",73,1,70,66,0,10,1,221,350
"Hamilton Mountain/Hamilton Mountain"," 17","Hamilton ",75,0,64,80,1,11,2,233,346
"Hamilton Mountain/Hamilton Mountain"," 18","Hamilton ",75,2,53,78,0,5,3,216,366
"Hamilton Mountain/Hamilton Mountain"," 19","Hamilton ",58,2,39,73,0,8,0,180,317
"Hamilton Mountain/Hamilton Mountain"," 20","Hamilton ",105,1,22,43,1,10,0,182,325
"Hamilton Mountain/Hamilton Mountain"," 21","Hamilton ",78,0,39,53,3,8,2,183,351
"Hamilton Mountain/Hamilton Mountain"," 22","Hamilton ",100,3,62,68,1,8,0,242,381
"Hamilton Mountain/Hamilton Mountain"," 23","Hamilton ",78,1,60,72,0,8,2,221,368
"Hamilton Mountain/Hamilton Mountain"," 24","Hamilton ",111,1,78,76,0,8,0,274,436
"Hamilton Mountain/Hamilton Mountain"," 25","Hamilton ",98,1,65,52,0,7,0,223,387
"Hamilton Mountain/Hamilton Mountain"," 26","Hamilton ",95,1,74,74,0,14,0,258,383
"Hamilton Mountain/Hamilton Mountain"," 27","Hamilton ",116,1,59,55,0,7,2,240,393
"Hamilton Mountain/Hamilton Mountain"," 28","Hamilton ",134,2,50,57,1,8,1,253,383
"Hamilton Mountain/Hamilton Mountain"," 29","Hamilton ",99,1,56,71,0,10,3,240,400
"Hamilton Mountain/Hamilton Mountain"," 30","Hamilton ",98,4,61,56,1,16,0,236,350
"Hamilton Mountain/Hamilton Mountain"," 31","Hamilton ",121,2,73,52,0,10,4,262,435
"Hamilton Mountain/Hamilton Mountain"," 32","Hamilton ",130,1,58,64,0,12,1,266,428
"Hamilton Mountain/Hamilton Mountain"," 33","Hamilton ",117,1,50,51,0,6,1,226,374
"Hamilton Mountain/Hamilton Mountain"," 34","Hamilton ",95,0,46,49,0,7,5,202,356
"Hamilton Mountain/Hamilton Mountain"," 35","Hamilton ",90,0,67,56,0,7,3,223,367
"Hamilton Mountain/Hamilton Mountain"," 36","Hamilton ",100,4,42,40,4,3,0,193,382
"Hamilton Mountain/Hamilton Mountain"," 37","Hamilton ",77,1,44,50,0,4,0,176,310
"Hamilton Mountain/Hamilton Mountain"," 38","Hamilton ",96,1,40,41,0,13,0,191,345
"Hamilton Mountain/Hamilton Mountain"," 39","Hamilton ",68,1,44,54,0,7,0,174,330
"Hamilton Mountain/Hamilton Mountain"," 40","Hamilton ",66,3,39,61,2,5,0,176,346
"Hamilton Mountain/Hamilton Mountain"," 41","Hamilton ",103,1,45,49,1,5,0,204,455
"Hamilton Mountain/Hamilton Mountain"," 42","Hamilton ",83,1,73,57,0,8,1,223,310
"Hamilton Mountain/Hamilton Mountain"," 43","Hamilton ",75,2,41,50,0,2,0,170,293
"Hamilton Mountain/Hamilton Mountain"," 44","Hamilton ",78,1,42,66,1,5,2,195,382
"Hamilton Mountain/Hamilton Mountain"," 45","Hamilton ",93,2,78,100,0,2,1,276,408
"Hamilton Mountain/Hamilton Mountain"," 46","Hamilton ",111,0,64,104,0,4,1,284,447
"Hamilton Mountain/Hamilton Mountain"," 47","Hamilton ",52,2,69,89,0,4,0,216,316
"Hamilton Mountain/Hamilton Mountain"," 48","Hamilton ",70,2,45,55,0,6,0,178,386
"Hamilton Mountain/Hamilton Mountain"," 49","Hamilton ",94,2,69,98,0,3,2,268,464
"Hamilton Mountain/Hamilton Mountain"," 50","Hamilton ",87,4,49,115,0,8,2,265,473
"Hamilton Mountain/Hamilton Mountain"," 51","Hamilton ",100,0,83,114,0,6,1,304,453
"Hamilton Mountain/Hamilton Mountain"," 52","Hamilton ",74,3,18,44,0,3,1,143,405
"Hamilton Mountain/Hamilton Mountain"," 53","Hamilton ",85,4,51,81,1,3,1,226,396
"Hamilton Mountain/Hamilton Mountain"," 54","Hamilton ",119,3,59,120,2,12,3,318,472
"Hamilton Mountain/Hamilton Mountain"," 55","Hamilton ",85,2,40,49,0,4,1,181,305
"Hamilton Mountain/Hamilton Mountain"," 56","Hamilton ",74,0,48,61,1,5,0,189,313
"Hamilton Mountain/Hamilton Mountain"," 57","Hamilton ",117,2,38,53,1,5,0,216,395
"Hamilton Mountain/Hamilton Mountain"," 58","Hamilton ",103,3,36,62,0,9,0,213,400
"Hamilton Mountain/Hamilton Mountain"," 59","Hamilton ",123,0,55,67,2,4,0,251,382
"Hamilton Mountain/Hamilton Mountain"," 60","Hamilton ",108,0,31,34,0,5,0,178,337
"Hamilton Mountain/Hamilton Mountain"," 61","Hamilton ",103,3,42,40,1,6,0,195,365
"Hamilton Mountain/Hamilton Mountain"," 62","Hamilton ",129,0,56,49,1,8,0,243,404
"Hamilton Mountain/Hamilton Mountain"," 63","Hamilton ",135,2,46,37,0,7,0,227,405
"Hamilton Mountain/Hamilton Mountain"," 64","Hamilton ",135,3,57,40,1,6,1,243,409
"Hamilton Mountain/Hamilton Mountain"," 65","Hamilton ",130,3,44,32,0,3,1,213,354
"Hamilton Mountain/Hamilton Mountain"," 66","Hamilton ",127,1,52,44,0,2,1,227,365
"Hamilton Mountain/Hamilton Mountain"," 67","Hamilton ",102,2,40,58,1,4,2,209,368
"Hamilton Mountain/Hamilton Mountain"," 68","Hamilton ",93,1,44,58,1,10,1,208,391
"Hamilton Mountain/Hamilton Mountain"," 69","Hamilton ",90,1,39,34,0,1,0,165,348
"Hamilton Mountain/Hamilton Mountain"," 70","Hamilton ",123,3,64,45,0,4,0,239,383
"Hamilton Mountain/Hamilton Mountain"," 71","Hamilton ",83,0,29,37,0,8,0,157,340
"Hamilton Mountain/Hamilton Mountain"," 72","Hamilton ",94,1,33,23,0,4,2,157,299
"Hamilton Mountain/Hamilton Mountain"," 73","Hamilton ",99,1,38,42,0,6,1,187,339
"Hamilton Mountain/Hamilton Mountain"," 74","Hamilton ",132,3,47,43,0,7,0,232,384
"Hamilton Mountain/Hamilton Mountain"," 75","Hamilton ",125,4,52,50,0,7,2,240,387
"Hamilton Mountain/Hamilton Mountain"," 76","Hamilton ",98,3,60,48,0,13,3,225,344
"Hamilton Mountain/Hamilton Mountain"," 77","Hamilton ",139,1,49,65,1,7,1,263,418
"Hamilton Mountain/Hamilton Mountain"," 78","Hamilton ",100,2,56,64,0,5,0,227,389
"Hamilton Mountain/Hamilton Mountain"," 79","Hamilton ",103,2,68,83,1,4,2,263,417
"Hamilton Mountain/Hamilton Mountain"," 80","Hamilton ",139,0,66,93,3,12,1,314,506
"Hamilton Mountain/Hamilton Mountain"," 81","Hamilton ",64,0,54,49,2,4,2,175,287
"Hamilton Mountain/Hamilton Mountain"," 82","Hamilton ",94,0,40,53,1,10,6,204,376
"Hamilton Mountain/Hamilton Mountain"," 83","Hamilton ",98,1,35,80,0,2,1,217,355
"Hamilton Mountain/Hamilton Mountain"," 84","Hamilton ",98,2,42,58,0,2,1,203,403
"Hamilton Mountain/Hamilton Mountain"," 85","Hamilton ",99,0,67,79,1,10,0,256,392
"Hamilton Mountain/Hamilton Mountain"," 86","Hamilton ",105,0,69,107,0,6,0,287,454
"Hamilton Mountain/Hamilton Mountain"," 87","Hamilton ",108,0,66,63,0,10,1,248,440
"Hamilton Mountain/Hamilton Mountain"," 88","Hamilton ",107,0,43,61,0,4,2,217,401
"Hamilton Mountain/Hamilton Mountain"," 89A","Hamilton ",93,0,38,33,0,4,1,169,284
"Hamilton Mountain/Hamilton Mountain"," 89B","Hamilton ",70,0,29,28,0,8,0,135,273
"Hamilton Mountain/Hamilton Mountain"," 90","Hamilton ",132,3,40,61,0,5,1,242,396
"Hamilton Mountain/Hamilton Mountain"," 91","Hamilton ",70,1,49,46,1,10,1,178,317
"Hamilton Mountain/Hamilton Mountain"," 92","Hamilton ",116,0,45,57,1,6,0,225,358
"Hamilton Mountain/Hamilton Mountain"," 93","Hamilton ",79,3,66,68,0,6,0,222,345
"Hamilton Mountain/Hamilton Mountain"," 94","Hamilton ",154,0,69,92,0,5,1,321,500
"Hamilton Mountain/Hamilton Mountain"," 95","Hamilton ",77,1,46,66,0,3,0,193,242
"Hamilton Mountain/Hamilton Mountain"," 96","Hamilton ",132,2,43,89,2,6,1,275,386
"Hamilton Mountain/Hamilton Mountain"," 97","Hamilton ",116,2,42,53,0,6,0,219,424
"Hamilton Mountain/Hamilton Mountain"," 98","Hamilton ",101,4,60,81,0,14,1,261,413
"Hamilton Mountain/Hamilton Mountain"," 99","Hamilton ",128,3,81,88,0,9,0,309,507
"Hamilton Mountain/Hamilton Mountain"," 100","Hamilton ",103,1,74,65,0,11,0,254,428
"Hamilton Mountain/Hamilton Mountain"," 101","Hamilton ",126,3,48,67,2,9,5,260,434
"Hamilton Mountain/Hamilton Mountain"," 102","Hamilton ",94,1,52,84,1,1,0,233,386
"Hamilton Mountain/Hamilton Mountain"," 103","Hamilton ",71,0,86,45,0,9,1,212,338
"Hamilton Mountain/Hamilton Mountain"," 104","Hamilton ",101,1,59,68,1,2,0,232,366
"Hamilton Mountain/Hamilton Mountain"," 105","Hamilton ",89,4,55,62,1,4,0,215,361
"Hamilton Mountain/Hamilton Mountain"," 106","Hamilton ",68,1,78,59,0,13,1,220,366
"Hamilton Mountain/Hamilton Mountain"," 107","Hamilton ",86,0,84,77,0,5,0,252,417
"Hamilton Mountain/Hamilton Mountain"," 108","Hamilton ",76,0,108,95,0,9,0,288,410
"Hamilton Mountain/Hamilton Mountain"," 109","Hamilton ",111,0,52,38,1,6,1,209,428
"Hamilton Mountain/Hamilton Mountain"," 110","Hamilton ",94,1,23,51,0,8,0,177,333
"Hamilton Mountain/Hamilton Mountain"," 111","Hamilton ",57,0,71,77,1,10,0,216,358
"Hamilton Mountain/Hamilton Mountain"," 112","Hamilton ",96,2,86,75,0,9,0,268,463
"Hamilton Mountain/Hamilton Mountain"," 113","Hamilton ",84,4,68,65,0,12,0,233,386
"Hamilton Mountain/Hamilton Mountain"," 114","Hamilton ",93,4,74,45,1,10,1,228,421
"Hamilton Mountain/Hamilton Mountain"," 115","Hamilton ",83,1,85,71,1,8,0,249,399
"Hamilton Mountain/Hamilton Mountain"," 116","Hamilton ",92,1,74,74,0,7,0,248,366
"Hamilton Mountain/Hamilton Mountain"," 117","Hamilton ",106,3,73,52,1,6,0,241,379
"Hamilton Mountain/Hamilton Mountain"," 118","Hamilton ",118,2,50,75,0,8,0,253,432
"Hamilton Mountain/Hamilton Mountain"," 119","Hamilton ",89,1,61,60,0,4,1,216,453
"Hamilton Mountain/Hamilton Mountain"," 120","Hamilton ",82,1,56,72,0,14,1,226,353
"Hamilton Mountain/Hamilton Mountain"," 121","Hamilton ",54,4,42,141,0,3,2,246,382
"Hamilton Mountain/Hamilton Mountain"," 122","Hamilton ",64,1,75,109,0,6,3,258,377
"Hamilton Mountain/Hamilton Mountain"," 123","Hamilton ",84,4,56,62,0,7,0,213,359
"Hamilton Mountain/Hamilton Mountain"," 124","Hamilton ",60,0,67,52,1,2,2,184,364
"Hamilton Mountain/Hamilton Mountain"," 125A","Hamilton ",70,2,43,66,0,8,1,190,389
"Hamilton Mountain/Hamilton Mountain"," 125B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,10
"Hamilton Mountain/Hamilton Mountain"," 126","Hamilton ",98,0,81,140,2,3,3,327,497
"Hamilton Mountain/Hamilton Mountain"," 127","Hamilton ",77,2,59,62,0,6,0,206,314
"Hamilton Mountain/Hamilton Mountain"," 128","Hamilton ",99,2,44,53,1,2,0,201,392
"Hamilton Mountain/Hamilton Mountain"," 129","Hamilton ",84,2,63,60,0,6,0,215,417
"Hamilton Mountain/Hamilton Mountain"," 130","Hamilton ",83,3,54,153,1,5,1,300,472
"Hamilton Mountain/Hamilton Mountain"," 131","Hamilton ",69,4,55,76,0,4,1,209,410
"Hamilton Mountain/Hamilton Mountain"," 132","Hamilton ",90,1,53,58,1,8,0,211,392
"Hamilton Mountain/Hamilton Mountain"," 133","Hamilton ",97,1,29,34,0,4,1,166,382
"Hamilton Mountain/Hamilton Mountain"," 134","Hamilton ",106,4,69,67,1,4,0,251,419
"Hamilton Mountain/Hamilton Mountain"," 135","Hamilton ",113,2,56,69,1,5,2,248,513
"Hamilton Mountain/Hamilton Mountain"," 136","Hamilton ",78,2,72,68,1,3,3,227,431
"Hamilton Mountain/Hamilton Mountain"," 137","Hamilton ",125,3,42,85,1,8,2,266,465
"Hamilton Mountain/Hamilton Mountain"," 138","Hamilton ",100,0,67,73,1,7,1,249,410
"Hamilton Mountain/Hamilton Mountain"," 139","Hamilton ",52,1,47,60,2,1,5,168,295
"Hamilton Mountain/Hamilton Mountain"," 140A","Hamilton ",75,2,31,44,1,4,1,158,272
"Hamilton Mountain/Hamilton Mountain"," 140B","Hamilton ",76,4,43,56,0,0,0,179,273
"Hamilton Mountain/Hamilton Mountain"," 141","Hamilton ",60,4,73,101,3,2,0,243,400
"Hamilton Mountain/Hamilton Mountain"," 142","Hamilton ",82,2,84,71,2,5,0,246,372
"Hamilton Mountain/Hamilton Mountain"," 143","Hamilton ",83,1,45,69,1,5,3,207,422
"Hamilton Mountain/Hamilton Mountain"," 144A","Hamilton ",71,0,63,36,1,1,1,173,277
"Hamilton Mountain/Hamilton Mountain"," 144B","Hamilton ",53,3,38,42,0,8,1,145,175
"Hamilton Mountain/Hamilton Mountain"," 145","Hamilton ",71,1,88,70,0,5,2,237,537
"Hamilton Mountain/Hamilton Mountain"," 146A","Hamilton ",66,3,51,46,1,9,0,176,310
"Hamilton Mountain/Hamilton Mountain"," 146B","Hamilton ",31,0,58,48,0,5,5,147,319
"Hamilton Mountain/Hamilton Mountain"," 147A","Hamilton ",33,0,54,72,0,5,0,164,290
"Hamilton Mountain/Hamilton Mountain"," 147B","Hamilton ",75,4,36,47,0,2,0,164,310
"Hamilton Mountain/Hamilton Mountain"," 148","Hamilton ",112,1,78,120,0,5,4,320,499
"Hamilton Mountain/Hamilton Mountain"," 149","Hamilton ",63,3,89,127,0,5,0,287,451
"Hamilton Mountain/Hamilton Mountain"," 150","Hamilton ",63,2,61,68,0,3,2,199,315
"Hamilton Mountain/Hamilton Mountain"," 151","Hamilton ",92,0,75,87,0,7,1,262,438
"Hamilton Mountain/Hamilton Mountain"," 152","Hamilton ",100,1,92,96,1,8,1,299,495
"Hamilton Mountain/Hamilton Mountain"," 153","Hamilton ",89,6,88,114,0,7,1,305,467
"Hamilton Mountain/Hamilton Mountain"," 154","Hamilton ",81,2,87,118,3,5,3,299,502
"Hamilton Mountain/Hamilton Mountain"," 155","Hamilton ",79,1,104,117,0,3,3,307,485
"Hamilton Mountain/Hamilton Mountain"," 156","Hamilton ",71,2,67,121,0,6,2,269,440
"Hamilton Mountain/Hamilton Mountain"," 157A","Hamilton ",61,0,43,65,0,10,2,181,267
"Hamilton Mountain/Hamilton Mountain"," 157B","Hamilton ",54,2,53,57,1,3,0,170,286
"Hamilton Mountain/Hamilton Mountain"," 158","Hamilton ",74,2,48,50,0,3,3,180,364
"Hamilton Mountain/Hamilton Mountain"," 159A","Hamilton ",51,1,56,68,0,5,0,181,316
"Hamilton Mountain/Hamilton Mountain"," 159B","Hamilton ",61,0,50,56,0,2,1,170,327
"Hamilton Mountain/Hamilton Mountain"," 160","Hamilton ",87,3,91,102,0,5,0,288,445
"Hamilton Mountain/Hamilton Mountain"," 161A","Hamilton ",51,0,43,79,0,2,0,175,278
"Hamilton Mountain/Hamilton Mountain"," 161B","Hamilton ",63,1,38,45,0,3,0,150,282
"Hamilton Mountain/Hamilton Mountain"," 162","Hamilton ",69,0,41,33,0,6,0,149,281
"Hamilton Mountain/Hamilton Mountain"," 163","Hamilton ",77,6,75,109,2,5,1,275,445
"Hamilton Mountain/Hamilton Mountain"," 164","Hamilton ",72,2,66,88,0,8,0,236,467
"Hamilton Mountain/Hamilton Mountain"," 165","Hamilton ",82,1,81,85,0,6,1,256,474
"Hamilton Mountain/Hamilton Mountain"," 166","Hamilton ",94,0,50,90,1,6,0,241,461
"Hamilton Mountain/Hamilton Mountain"," 167","Hamilton ",73,3,78,139,0,11,0,304,471
"Hamilton Mountain/Hamilton Mountain"," 168","Hamilton ",83,3,101,96,2,6,0,291,512
"Hamilton Mountain/Hamilton Mountain"," 169","Hamilton ",98,0,98,143,0,7,2,348,496
"Hamilton Mountain/Hamilton Mountain"," 170","Hamilton ",96,3,55,124,2,8,5,293,521
"Hamilton Mountain/Hamilton Mountain"," 171","Hamilton ",61,2,33,53,0,4,0,153,311
"Hamilton Mountain/Hamilton Mountain"," 172","Hamilton ",80,2,72,131,1,3,2,291,494
"Hamilton Mountain/Hamilton Mountain"," 173A","Hamilton ",43,2,54,98,0,4,0,201,312
"Hamilton Mountain/Hamilton Mountain"," 173B","Hamilton ",29,7,54,32,0,1,0,123,244
"Hamilton Mountain/Hamilton Mountain"," 173C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,90
"Hamilton Mountain/Hamilton Mountain"," 174","Hamilton ",67,1,24,43,0,6,0,141,331
"Hamilton Mountain/Hamilton Mountain"," 175","Hamilton ",87,1,70,91,0,9,1,259,452
"Hamilton Mountain/Hamilton Mountain"," 176A","Hamilton ",52,3,42,102,0,6,2,207,322
"Hamilton Mountain/Hamilton Mountain"," 176B","Hamilton ",67,3,35,87,0,4,1,197,308
"Hamilton Mountain/Hamilton Mountain"," 177A","Hamilton ",70,0,48,45,0,2,0,165,301
"Hamilton Mountain/Hamilton Mountain"," 177B","Hamilton ",44,0,56,54,0,1,0,155,284
"Hamilton Mountain/Hamilton Mountain"," 178A","Hamilton ",75,2,54,47,1,6,0,185,280
"Hamilton Mountain/Hamilton Mountain"," 178B","Hamilton ",55,0,57,57,1,4,1,175,281
"Hamilton Mountain/Hamilton Mountain"," 179","Hamilton ",60,3,101,106,0,10,5,285,450
"Hamilton Mountain/Hamilton Mountain"," 180","Hamilton ",66,5,69,103,1,8,4,256,376
"Hamilton Mountain/Hamilton Mountain"," 181","Hamilton ",75,5,84,109,0,2,1,276,389
"Hamilton Mountain/Hamilton Mountain"," 182","Hamilton ",65,2,95,71,0,7,0,240,327
"Hamilton Mountain/Hamilton Mountain"," 183","Hamilton ",77,0,85,108,0,6,1,277,468
"Hamilton Mountain/Hamilton Mountain"," 184","Hamilton ",54,3,49,65,0,7,2,180,364
"Hamilton Mountain/Hamilton Mountain"," 185","Hamilton ",84,4,71,109,0,4,0,272,447
"Hamilton Mountain/Hamilton Mountain"," 186","Hamilton ",52,1,52,109,0,5,0,219,349
"Hamilton Mountain/Hamilton Mountain"," 187","Hamilton ",76,1,53,75,0,6,2,213,400
"Hamilton Mountain/Hamilton Mountain"," 188","Hamilton ",111,2,63,67,0,9,1,253,440
"Hamilton Mountain/Hamilton Mountain"," 189","Hamilton ",115,2,37,64,1,4,1,224,383
"Hamilton Mountain/Hamilton Mountain"," 190","Hamilton ",90,0,60,60,0,4,1,215,378
"Hamilton Mountain/Hamilton Mountain"," 191","Hamilton ",103,3,45,78,1,7,3,240,431
"Hamilton Mountain/Hamilton Mountain"," 192","Hamilton ",78,1,64,81,0,7,3,234,352
"Hamilton Mountain/Hamilton Mountain"," 193","Hamilton ",79,1,65,127,0,14,0,286,446
"Hamilton Mountain/Hamilton Mountain"," 194","Hamilton ",97,1,67,71,0,3,3,242,357
"Hamilton Mountain/Hamilton Mountain"," 195","Hamilton ",104,1,67,68,0,6,1,247,392
"Hamilton Mountain/Hamilton Mountain"," 196","Hamilton ",99,2,43,90,0,4,1,239,386
"Hamilton Mountain/Hamilton Mountain"," 197","Hamilton ",58,1,64,110,0,6,0,239,402
"Hamilton Mountain/Hamilton Mountain"," 198","Hamilton ",38,1,57,85,0,6,0,187,245
"Hamilton Mountain/Hamilton Mountain"," 199","Hamilton ",84,2,76,65,1,6,0,234,426
"Hamilton Mountain/Hamilton Mountain"," 200","Hamilton ",52,2,55,104,0,3,5,221,358
"Hamilton Mountain/Hamilton Mountain"," 201","Hamilton ",98,5,94,134,4,5,1,341,493
"Hamilton Mountain/Hamilton Mountain"," 202","Hamilton ",71,2,92,132,1,8,1,307,497
"Hamilton Mountain/Hamilton Mountain"," 203A","Hamilton ",52,0,77,54,0,7,0,190,336
"Hamilton Mountain/Hamilton Mountain"," 203B","Hamilton ",51,2,71,81,1,4,0,210,324
"Hamilton Mountain/Hamilton Mountain"," 204","Hamilton ",128,1,107,136,1,7,2,382,598
"Hamilton Mountain/Hamilton Mountain"," 205","Hamilton ",48,3,32,58,1,3,0,145,301
"Hamilton Mountain/Hamilton Mountain"," 206","Hamilton ",76,2,104,111,0,7,0,300,482
"Hamilton Mountain/Hamilton Mountain"," 207","Hamilton ",87,0,51,97,4,8,0,247,424
"Hamilton Mountain/Hamilton Mountain"," 208","Hamilton ",87,4,72,126,1,9,3,302,442
"Hamilton Mountain/Hamilton Mountain"," 209","Hamilton ",86,1,49,124,1,3,1,265,415
"Hamilton Mountain/Hamilton Mountain"," 210","Hamilton ",95,1,79,124,1,10,0,310,460
"Hamilton Mountain/Hamilton Mountain"," 211","Hamilton ",86,1,50,92,0,5,0,234,425
